Turn,Speaker,POS
1,MOT,co
1,MOT,det:art
1,MOT,n
1,MOT,!
2,MOT,co
2,MOT,det:art
2,MOT,n
3,MOT,co
3,MOT,det:art
3,MOT,n
4,MOT,cop
4,MOT,pro:per
4,MOT,part
4,MOT,v
4,MOT,qn
5,MOT,cop
5,MOT,pro:per
5,MOT,part
5,MOT,v
5,MOT,qn
6,MOT,cop
6,MOT,pro:per
6,MOT,part
6,MOT,v
6,MOT,qn
7,MOT,co
7,MOT,?
8,MOT,co
8,MOT,?
9,MOT,co
10,MOT,cop
10,MOT,pro:per
10,MOT,part
10,MOT,v
10,MOT,qn
11,MOT,cop
11,MOT,pro:per
11,MOT,part
11,MOT,v
11,MOT,qn
12,MOT,cop
12,MOT,pro:per
12,MOT,part
12,MOT,v
12,MOT,qn
13,CHI,co
13,CHI,!
14,CHI,co
15,CHI,co
16,MOT,co
17,MOT,co
18,MOT,co
19,MOT,co
20,MOT,co
21,MOT,co
22,MOT,pro:int
22,MOT,aux
22,MOT,pro:per
22,MOT,part
22,MOT,v
23,MOT,pro:int
23,MOT,aux
23,MOT,pro:per
23,MOT,part
23,MOT,v
24,MOT,pro:int
24,MOT,aux
24,MOT,pro:per
24,MOT,part
24,MOT,v
25,MOT,co
25,MOT,co
25,MOT,n
25,MOT,!
26,MOT,co
26,MOT,co
26,MOT,n
27,MOT,co
27,MOT,co
27,MOT,n
28,MOT,adj
28,MOT,v
28,MOT,pro:per
28,MOT,!
29,MOT,adj
29,MOT,v
29,MOT,pro:per
30,MOT,adj
30,MOT,v
30,MOT,pro:per
31,MOT,pro:per
31,MOT,v
31,MOT,pro:obj
31,MOT,qn
31,MOT,n
31,MOT,?
32,MOT,pro:per
32,MOT,v
32,MOT,pro:obj
32,MOT,qn
32,MOT,n
32,MOT,?
33,MOT,pro:per
33,MOT,v
33,MOT,pro:obj
33,MOT,qn
33,MOT,n
34,CHI,n
34,CHI,!
35,CHI,n
36,CHI,n
37,MOT,n
37,MOT,!
38,MOT,n
39,MOT,n
40,MOT,co
40,MOT,v
40,MOT,prep
40,MOT,qn
40,MOT,det:art
40,MOT,n
40,MOT,prep
40,MOT,n
41,MOT,co
41,MOT,v
41,MOT,prep
41,MOT,qn
41,MOT,det:art
41,MOT,n
41,MOT,prep
41,MOT,n
42,MOT,co
42,MOT,v
42,MOT,prep
42,MOT,qn
42,MOT,det:art
42,MOT,n
42,MOT,prep
42,MOT,n
43,MOT,v
43,MOT,prep
43,MOT,qn
43,MOT,det:art
43,MOT,n
43,MOT,!
44,MOT,v
44,MOT,prep
44,MOT,qn
44,MOT,det:art
44,MOT,n
45,MOT,v
45,MOT,prep
45,MOT,qn
45,MOT,det:art
45,MOT,n
46,MOT,co
46,MOT,v
46,MOT,det:art
46,MOT,n
46,MOT,prep
46,MOT,n
47,MOT,co
47,MOT,v
47,MOT,det:art
47,MOT,n
47,MOT,prep
47,MOT,n
48,MOT,co
48,MOT,v
48,MOT,det:art
48,MOT,n
48,MOT,prep
48,MOT,n
49,MOT,co
50,MOT,co
51,MOT,co
52,MOT,co
52,MOT,pro:sub
52,MOT,v
52,MOT,pro:int
52,MOT,pro:sub
52,MOT,+//
53,MOT,co
53,MOT,pro:sub
53,MOT,v
53,MOT,pro:int
53,MOT,pro:sub
53,MOT,+//
54,MOT,co
54,MOT,pro:sub
54,MOT,v
54,MOT,pro:int
54,MOT,pro:sub
54,MOT,+//
55,MOT,n:prop
55,MOT,pro:int
55,MOT,aux
55,MOT,pro:per
56,MOT,n:prop
56,MOT,pro:int
56,MOT,aux
56,MOT,pro:per
57,MOT,n:prop
57,MOT,pro:int
57,MOT,aux
57,MOT,pro:per
58,CHI,adj
58,CHI,!
59,CHI,adj
60,CHI,adj
61,MOT,co
61,MOT,pro:per
61,MOT,mod
61,MOT,v
62,MOT,co
62,MOT,pro:per
62,MOT,mod
62,MOT,v
63,MOT,co
63,MOT,pro:per
63,MOT,mod
63,MOT,v
64,MOT,pro:per
64,MOT,part
64,MOT,!
65,MOT,pro:per
65,MOT,part
66,MOT,pro:per
66,MOT,part
67,MOT,pro:per
67,MOT,part
67,MOT,v
67,MOT,part
67,MOT,prep
68,MOT,pro:per
68,MOT,part
68,MOT,v
68,MOT,part
68,MOT,prep
69,MOT,pro:per
69,MOT,part
69,MOT,v
69,MOT,part
69,MOT,prep
70,MOT,n
71,MOT,n
72,MOT,n
73,MOT,pro:per
73,MOT,part
73,MOT,v
73,MOT,det:art
73,MOT,n
73,MOT,?
74,MOT,pro:per
74,MOT,part
74,MOT,v
74,MOT,det:art
74,MOT,n
74,MOT,?
75,MOT,pro:per
75,MOT,part
75,MOT,v
75,MOT,det:art
75,MOT,n
76,MOT,co
76,MOT,pro:int
76,MOT,aux
76,MOT,pro:per
76,MOT,part
77,MOT,co
77,MOT,pro:int
77,MOT,aux
77,MOT,pro:per
77,MOT,part
78,MOT,co
78,MOT,pro:int
78,MOT,aux
78,MOT,pro:per
78,MOT,part
79,MOT,n
79,MOT,?
80,MOT,n
80,MOT,?
81,MOT,n
82,MOT,pro:dem
82,MOT,cop
82,MOT,det:art
82,MOT,n
82,MOT,?
83,MOT,pro:dem
83,MOT,cop
83,MOT,det:art
83,MOT,n
83,MOT,?
84,MOT,pro:dem
84,MOT,cop
84,MOT,det:art
84,MOT,n
85,MOT,mod
85,MOT,pro:sub
85,MOT,v
85,MOT,qn
85,MOT,prep
85,MOT,pro:dem
85,MOT,?
86,MOT,mod
86,MOT,pro:sub
86,MOT,v
86,MOT,qn
86,MOT,prep
86,MOT,pro:dem
86,MOT,?
87,MOT,mod
87,MOT,pro:sub
87,MOT,v
87,MOT,qn
87,MOT,prep
87,MOT,pro:dem
88,MOT,co
89,MOT,co
90,MOT,co
91,MOT,co
92,MOT,co
93,MOT,co
94,MOT,pro:int
94,MOT,prep
94,MOT,qn
94,MOT,n
94,MOT,!
95,MOT,pro:int
95,MOT,prep
95,MOT,qn
95,MOT,n
96,MOT,pro:int
96,MOT,prep
96,MOT,qn
96,MOT,n
97,MOT,v
97,MOT,pro:per
97,MOT,v
97,MOT,prep
97,MOT,det:art
97,MOT,n
97,MOT,?
98,MOT,v
98,MOT,pro:per
98,MOT,v
98,MOT,prep
98,MOT,det:art
98,MOT,n
98,MOT,?
99,MOT,v
99,MOT,pro:per
99,MOT,v
99,MOT,prep
99,MOT,det:art
99,MOT,n
100,MOT,v
100,MOT,pro:obj
100,MOT,prep
100,MOT,det:art
100,MOT,n
100,MOT,?
101,MOT,v
101,MOT,pro:obj
101,MOT,prep
101,MOT,det:art
101,MOT,n
101,MOT,?
102,MOT,v
102,MOT,pro:obj
102,MOT,prep
102,MOT,det:art
102,MOT,n
103,MOT,co
103,MOT,co
103,MOT,co
103,MOT,co
103,MOT,v
103,MOT,pro:obj
103,MOT,prep
104,MOT,co
104,MOT,co
104,MOT,co
104,MOT,co
104,MOT,v
104,MOT,pro:obj
104,MOT,prep
105,MOT,co
105,MOT,co
105,MOT,co
105,MOT,co
105,MOT,v
105,MOT,pro:obj
105,MOT,prep
106,MOT,qn
106,MOT,qn
106,MOT,det:art
106,MOT,n
107,MOT,qn
107,MOT,qn
107,MOT,det:art
107,MOT,n
108,MOT,qn
108,MOT,qn
108,MOT,det:art
108,MOT,n
109,MOT,cop
109,MOT,comp
109,MOT,det:art
109,MOT,n
109,MOT,?
110,MOT,cop
110,MOT,comp
110,MOT,det:art
110,MOT,n
110,MOT,?
111,MOT,cop
111,MOT,comp
111,MOT,det:art
111,MOT,n
112,MOT,det:dem
112,MOT,n
113,MOT,det:dem
113,MOT,n
114,MOT,det:dem
114,MOT,n
115,MOT,v
115,MOT,det:art
115,MOT,n
115,MOT,prep
