Turn,Speaker,POS
1,MOT,v
1,MOT,adv
1,MOT,prep
1,MOT,adv
2,MOT,v
2,MOT,adv
2,MOT,prep
2,MOT,adv
3,MOT,v
3,MOT,adv
3,MOT,prep
3,MOT,adv
4,MOT,qn
4,MOT,det:art
4,MOT,n
4,MOT,pro:sub
5,MOT,qn
5,MOT,det:art
5,MOT,n
5,MOT,pro:sub
6,MOT,qn
6,MOT,det:art
6,MOT,n
6,MOT,pro:sub
7,MOT,co
8,MOT,co
9,MOT,co
10,MOT,pro:int
10,MOT,mod
10,MOT,pro:per
10,MOT,v
10,MOT,v
10,MOT,?
11,MOT,pro:int
11,MOT,mod
11,MOT,pro:per
11,MOT,v
11,MOT,v
11,MOT,?
12,MOT,pro:int
12,MOT,mod
12,MOT,pro:per
12,MOT,v
12,MOT,v
13,MOT,co
13,MOT,pro:int
13,MOT,mod
13,MOT,pro:per
13,MOT,v
13,MOT,adv
14,MOT,co
14,MOT,pro:int
14,MOT,mod
14,MOT,pro:per
14,MOT,v
14,MOT,adv
15,MOT,co
15,MOT,pro:int
15,MOT,mod
15,MOT,pro:per
15,MOT,v
15,MOT,adv
16,MOT,mod
16,MOT,pro:per
16,MOT,v
16,MOT,?
17,MOT,mod
17,MOT,pro:per
17,MOT,v
17,MOT,?
18,MOT,mod
18,MOT,pro:per
18,MOT,v
19,MOT,mod
19,MOT,pro:per
19,MOT,v
19,MOT,det:dem
19,MOT,n
19,MOT,?
20,MOT,mod
20,MOT,pro:per
20,MOT,v
20,MOT,det:dem
20,MOT,n
20,MOT,?
21,MOT,mod
21,MOT,pro:per
21,MOT,v
21,MOT,det:dem
21,MOT,n
22,MOT,det:dem
22,MOT,n
22,MOT,n
22,MOT,?
23,MOT,det:dem
23,MOT,n
23,MOT,n
23,MOT,?
24,MOT,det:dem
24,MOT,n
24,MOT,n
25,MOT,cop
25,MOT,det:dem
25,MOT,pro:indef
25,MOT,adj
25,MOT,?
26,MOT,cop
26,MOT,det:dem
26,MOT,pro:indef
26,MOT,adj
26,MOT,?
27,MOT,cop
27,MOT,det:dem
27,MOT,pro:indef
27,MOT,adj
28,MOT,mod
28,MOT,pro:per
28,MOT,v
28,MOT,pro:int
28,MOT,det:dem
28,MOT,n
28,MOT,?
29,MOT,mod
29,MOT,pro:per
29,MOT,v
29,MOT,pro:int
29,MOT,det:dem
29,MOT,n
29,MOT,?
30,MOT,mod
30,MOT,pro:per
30,MOT,v
30,MOT,pro:int
30,MOT,det:dem
30,MOT,n
31,MOT,coord
31,MOT,pro:per
31,MOT,mod
31,MOT,v
31,MOT,det:poss
31,MOT,+
32,MOT,coord
32,MOT,pro:per
32,MOT,mod
32,MOT,v
32,MOT,det:poss
32,MOT,+
33,MOT,coord
33,MOT,pro:per
33,MOT,mod
33,MOT,v
33,MOT,det:poss
33,MOT,+
34,MOT,pro:rel
34,MOT,prep
34,MOT,n
34,MOT,?
35,MOT,pro:rel
35,MOT,prep
35,MOT,n
35,MOT,?
36,MOT,pro:rel
36,MOT,prep
36,MOT,n
37,CHI,n
38,CHI,n
39,CHI,n
40,MOT,pro:int
40,MOT,v
40,MOT,det:art
40,MOT,n
40,MOT,v
40,MOT,?
41,MOT,pro:int
41,MOT,v
41,MOT,det:art
41,MOT,n
41,MOT,v
41,MOT,?
42,MOT,pro:int
42,MOT,v
42,MOT,det:art
42,MOT,n
42,MOT,v
43,CHI,v
43,CHI,co
44,CHI,v
44,CHI,co
45,CHI,v
45,CHI,co
46,MOT,co
46,MOT,aux
46,MOT,pro:per
46,MOT,part
46,MOT,v
47,MOT,co
47,MOT,aux
47,MOT,pro:per
47,MOT,part
47,MOT,v
48,MOT,co
48,MOT,aux
48,MOT,pro:per
48,MOT,part
48,MOT,v
49,MOT,coord
49,MOT,det:poss
49,MOT,n
49,MOT,?
50,MOT,coord
50,MOT,det:poss
50,MOT,n
50,MOT,?
51,MOT,coord
51,MOT,det:poss
51,MOT,n
52,MOT,co
52,MOT,co
52,MOT,co
53,MOT,co
53,MOT,co
53,MOT,co
54,MOT,co
54,MOT,co
54,MOT,co
55,MOT,pro:int
55,MOT,v
55,MOT,det:art
55,MOT,n
55,MOT,v
55,MOT,?
56,MOT,pro:int
56,MOT,v
56,MOT,det:art
56,MOT,n
56,MOT,v
56,MOT,?
57,MOT,pro:int
57,MOT,v
57,MOT,det:art
57,MOT,n
57,MOT,v
58,CHI,v
59,CHI,v
60,CHI,v
61,MOT,coord
61,MOT,pro:int
61,MOT,v
61,MOT,det:art
61,MOT,adj
61,MOT,n
61,MOT,v
61,MOT,?
62,MOT,coord
62,MOT,pro:int
62,MOT,v
62,MOT,det:art
62,MOT,adj
62,MOT,n
62,MOT,v
62,MOT,?
63,MOT,coord
63,MOT,pro:int
63,MOT,v
63,MOT,det:art
63,MOT,adj
63,MOT,n
63,MOT,v
64,CHI,v
64,CHI,co
64,CHI,co
64,CHI,co
64,CHI,co
64,CHI,!
65,CHI,v
65,CHI,co
65,CHI,co
65,CHI,co
65,CHI,co
66,CHI,v
66,CHI,co
66,CHI,co
66,CHI,co
66,CHI,co
67,MOT,pro:dem
67,MOT,det:art
67,MOT,adj
67,MOT,n
67,MOT,n:prop
68,MOT,pro:dem
68,MOT,det:art
68,MOT,adj
68,MOT,n
68,MOT,n:prop
69,MOT,pro:dem
