Turn,Speaker,POS
1,EXP,prep
1,EXP,n
2,EXP,prep
2,EXP,n
3,EXP,prep
3,EXP,n
4,MOT,adv
4,MOT,v
4,MOT,v
4,MOT,adv
4,MOT,det:poss
5,MOT,adv
5,MOT,v
5,MOT,v
5,MOT,adv
5,MOT,det:poss
6,MOT,adv
6,MOT,v
6,MOT,v
6,MOT,adv
6,MOT,det:poss
7,MOT,mod
7,MOT,pro:per
7,MOT,v
7,MOT,qn
7,MOT,qn
7,MOT,n
7,MOT,?
8,MOT,mod
8,MOT,pro:per
8,MOT,v
8,MOT,qn
8,MOT,qn
8,MOT,n
8,MOT,?
9,MOT,mod
9,MOT,pro:per
9,MOT,v
9,MOT,qn
9,MOT,qn
9,MOT,n
10,MOT,co
10,MOT,mod
10,MOT,pro:sub
10,MOT,v
10,MOT,pro:obj
10,MOT,prep
11,MOT,co
11,MOT,mod
11,MOT,pro:sub
11,MOT,v
11,MOT,pro:obj
11,MOT,prep
12,MOT,co
12,MOT,mod
12,MOT,pro:sub
12,MOT,v
12,MOT,pro:obj
12,MOT,prep
13,CHI,pro:sub
13,CHI,v
13,CHI,v
13,CHI,n
13,CHI,!
14,CHI,pro:sub
14,CHI,v
14,CHI,v
14,CHI,n
15,CHI,pro:sub
15,CHI,v
15,CHI,v
15,CHI,n
16,MOT,co
16,MOT,v
16,MOT,v
16,MOT,det:art
16,MOT,n
16,MOT,+//
17,MOT,co
17,MOT,v
17,MOT,v
17,MOT,det:art
17,MOT,n
17,MOT,+//
18,MOT,co
18,MOT,v
18,MOT,v
18,MOT,det:art
18,MOT,n
18,MOT,+//
19,MOT,cop
19,MOT,pro:per
19,MOT,v
19,MOT,prep
19,MOT,det:art
20,MOT,cop
20,MOT,pro:per
20,MOT,v
20,MOT,prep
20,MOT,det:art
21,MOT,cop
21,MOT,pro:per
21,MOT,v
21,MOT,prep
21,MOT,det:art
22,MOT,n
22,MOT,part
22,MOT,v
22,MOT,det:art
22,MOT,qn
23,MOT,n
23,MOT,part
23,MOT,v
23,MOT,det:art
23,MOT,qn
24,MOT,n
24,MOT,part
24,MOT,v
24,MOT,det:art
24,MOT,qn
25,CHI,n
26,CHI,n
27,CHI,n
28,MOT,co
28,MOT,v
28,MOT,adv
29,MOT,co
29,MOT,v
29,MOT,adv
30,MOT,co
30,MOT,v
30,MOT,adv
31,EXP,pro:sub
31,EXP,v
32,EXP,pro:sub
32,EXP,v
33,EXP,pro:sub
33,EXP,v
34,EXP,v
34,EXP,qn
34,EXP,n
34,EXP,adv
34,EXP,prep
34,EXP,pro:per
35,EXP,v
35,EXP,qn
35,EXP,n
35,EXP,adv
35,EXP,prep
35,EXP,pro:per
36,EXP,v
36,EXP,qn
36,EXP,n
36,EXP,adv
36,EXP,prep
36,EXP,pro:per
37,MOT,co
37,MOT,pro:dem
37,MOT,cop
37,MOT,adj
37,MOT,n
37,MOT,prep
38,MOT,co
