Turn,Speaker,POS
1,MOT,co
1,MOT,v
1,MOT,prep
1,MOT,det:dem
1,MOT,n:prop
2,MOT,co
2,MOT,v
2,MOT,prep
2,MOT,det:dem
2,MOT,n:prop
3,MOT,co
3,MOT,v
3,MOT,prep
3,MOT,det:dem
3,MOT,n:prop
4,MOT,v
4,MOT,adv
4,MOT,prep
4,MOT,adv
5,MOT,v
5,MOT,adv
5,MOT,prep
5,MOT,adv
6,MOT,v
6,MOT,adv
6,MOT,prep
6,MOT,adv
7,MOT,pro:int
7,MOT,?
8,MOT,pro:int
8,MOT,?
9,MOT,pro:int
10,MOT,pro:int
10,MOT,cop
10,MOT,adv
10,MOT,?
11,MOT,pro:int
11,MOT,cop
11,MOT,adv
11,MOT,?
12,MOT,pro:int
12,MOT,cop
12,MOT,adv
13,MOT,v
13,MOT,prep
13,MOT,pro:indef
13,MOT,prep
13,MOT,pro:dem
14,MOT,v
14,MOT,prep
14,MOT,pro:indef
14,MOT,prep
14,MOT,pro:dem
15,MOT,v
15,MOT,prep
15,MOT,pro:indef
15,MOT,prep
15,MOT,pro:dem
16,MOT,pro:int
16,MOT,mod
16,MOT,pro:per
16,MOT,v
16,MOT,v
16,MOT,prep
16,MOT,?
17,MOT,pro:int
17,MOT,mod
17,MOT,pro:per
17,MOT,v
17,MOT,v
17,MOT,prep
17,MOT,?
18,MOT,pro:int
18,MOT,mod
18,MOT,pro:per
18,MOT,v
18,MOT,v
18,MOT,prep
19,CHI,n
20,CHI,n
21,CHI,n
22,MOT,pro:int
22,MOT,cop
22,MOT,pro:dem
22,MOT,?
23,MOT,pro:int
23,MOT,cop
23,MOT,pro:dem
23,MOT,?
24,MOT,pro:int
24,MOT,cop
24,MOT,pro:dem
25,CHI,n
26,CHI,n
27,CHI,n
28,MOT,pro:per
28,MOT,cop
28,MOT,co
28,MOT,det:art
28,MOT,n
29,MOT,pro:per
29,MOT,cop
29,MOT,co
29,MOT,det:art
29,MOT,n
30,MOT,pro:per
30,MOT,cop
30,MOT,co
30,MOT,det:art
30,MOT,n
31,MOT,pro:per
31,MOT,co
32,MOT,pro:per
32,MOT,co
33,MOT,pro:per
33,MOT,co
34,MOT,pro:sub
34,MOT,v
34,MOT,pro:per
34,MOT,det:art
34,MOT,adj
34,MOT,n
35,MOT,pro:sub
35,MOT,v
35,MOT,pro:per
35,MOT,det:art
35,MOT,adj
35,MOT,n
36,MOT,pro:sub
36,MOT,v
36,MOT,pro:per
36,MOT,det:art
36,MOT,adj
36,MOT,n
37,CHI,co
38,CHI,co
39,CHI,co
40,MOT,det:art
40,MOT,n
40,MOT,n
40,MOT,coord
40,MOT,pro:per
40,MOT,v
41,MOT,det:art
41,MOT,n
41,MOT,n
41,MOT,coord
41,MOT,pro:per
41,MOT,v
42,MOT,det:art
42,MOT,n
42,MOT,n
42,MOT,coord
42,MOT,pro:per
42,MOT,v
43,MOT,co
43,MOT,!
44,MOT,co
45,MOT,co
46,MOT,pro:per
46,MOT,v
46,MOT,det:poss
46,MOT,n
46,MOT,prep
46,MOT,n
47,MOT,pro:per
47,MOT,v
47,MOT,det:poss
47,MOT,n
47,MOT,prep
47,MOT,n
48,MOT,pro:per
48,MOT,v
48,MOT,det:poss
48,MOT,n
48,MOT,prep
48,MOT,n
49,MOT,prep
49,MOT,pro:dem
50,MOT,prep
50,MOT,pro:dem
51,MOT,prep
51,MOT,pro:dem
52,MOT,coord
52,MOT,pro:per
52,MOT,mod
52,MOT,v
52,MOT,pro:per
53,MOT,coord
53,MOT,pro:per
53,MOT,mod
53,MOT,v
53,MOT,pro:per
54,MOT,coord
54,MOT,pro:per
54,MOT,mod
54,MOT,v
54,MOT,pro:per
55,MOT,adv
55,MOT,adv
55,MOT,conj
55,MOT,pro:per
55,MOT,v
55,MOT,v
55,MOT,qn
56,MOT,adv
56,MOT,adv
56,MOT,conj
56,MOT,pro:per
56,MOT,v
56,MOT,v
56,MOT,qn
57,MOT,adv
57,MOT,adv
57,MOT,conj
57,MOT,pro:per
57,MOT,v
57,MOT,v
57,MOT,qn
