Turn,Speaker,POS
1,MOT,co
2,MOT,co
3,MOT,co
4,EXP,pro:dem
4,EXP,adj
4,EXP,!
5,EXP,pro:dem
5,EXP,adj
6,EXP,pro:dem
6,EXP,adj
7,MOT,co
7,MOT,n
8,MOT,co
8,MOT,n
9,MOT,co
9,MOT,n
10,MOT,adv
10,MOT,pro:sub
10,MOT,cop
10,MOT,adj
10,MOT,prep
10,MOT,n
11,MOT,adv
11,MOT,pro:sub
11,MOT,cop
11,MOT,adj
11,MOT,prep
11,MOT,n
12,MOT,adv
12,MOT,pro:sub
12,MOT,cop
12,MOT,adj
12,MOT,prep
12,MOT,n
13,MOT,part
13,MOT,part
13,MOT,det:num
13,MOT,det:num
14,MOT,part
14,MOT,part
14,MOT,det:num
14,MOT,det:num
15,MOT,part
15,MOT,part
15,MOT,det:num
15,MOT,det:num
16,MOT,v
16,MOT,v
17,MOT,v
17,MOT,v
18,MOT,v
18,MOT,v
19,MOT,v
19,MOT,v
20,MOT,v
20,MOT,v
21,MOT,v
21,MOT,v
22,MOT,pro:int
22,MOT,v
22,MOT,n:prop
22,MOT,?
23,MOT,pro:int
23,MOT,v
23,MOT,n:prop
23,MOT,?
24,MOT,pro:int
24,MOT,v
24,MOT,n:prop
25,MOT,pro:rel
25,MOT,v
25,MOT,conj
25,MOT,pro:per
25,MOT,n
26,MOT,pro:rel
26,MOT,v
26,MOT,conj
26,MOT,pro:per
26,MOT,n
27,MOT,pro:rel
27,MOT,v
27,MOT,conj
27,MOT,pro:per
27,MOT,n
28,EXP,adv
28,EXP,micro#n
29,EXP,adv
29,EXP,micro#n
30,EXP,adv
30,EXP,micro#n
31,EXP,det:num
31,EXP,det:num
31,EXP,det:num
31,EXP,det:num
31,EXP,n:let
32,EXP,det:num
32,EXP,det:num
32,EXP,det:num
32,EXP,det:num
32,EXP,n:let
33,EXP,det:num
33,EXP,det:num
33,EXP,det:num
33,EXP,det:num
33,EXP,n:let
34,MOT,pro:sub
34,MOT,v
34,MOT,pro:dem
