Turn,Speaker,POS
1,EXP,pro:dem
1,EXP,cop
1,EXP,n
1,EXP,det:num
1,EXP,det:num
2,EXP,pro:dem
2,EXP,cop
2,EXP,n
2,EXP,det:num
2,EXP,det:num
3,EXP,pro:dem
3,EXP,cop
3,EXP,n
3,EXP,det:num
3,EXP,det:num
4,EXP,adv:tem
4,EXP,cop
4,EXP,n:prop
4,EXP,adj
4,EXP,det:num
5,EXP,adv:tem
5,EXP,cop
5,EXP,n:prop
5,EXP,adj
5,EXP,det:num
6,EXP,adv:tem
6,EXP,cop
6,EXP,n:prop
6,EXP,adj
6,EXP,det:num
7,EXP,co
8,EXP,co
9,EXP,co
10,MOT,mod
10,MOT,pro:per
10,MOT,v
10,MOT,co
10,MOT,prep
10,MOT,det:art
11,MOT,mod
11,MOT,pro:per
11,MOT,v
11,MOT,co
11,MOT,prep
11,MOT,det:art
12,MOT,mod
12,MOT,pro:per
12,MOT,v
12,MOT,co
12,MOT,prep
12,MOT,det:art
13,MOT,pro:per
13,MOT,part
13,MOT,adv
13,MOT,qn
13,MOT,det:art
14,MOT,pro:per
14,MOT,part
14,MOT,adv
14,MOT,qn
14,MOT,det:art
15,MOT,pro:per
15,MOT,part
15,MOT,adv
15,MOT,qn
15,MOT,det:art
16,MOT,mod
16,MOT,pro:per
16,MOT,v
16,MOT,cop
16,MOT,prep
16,MOT,det:art
17,MOT,mod
17,MOT,pro:per
17,MOT,v
17,MOT,cop
17,MOT,prep
17,MOT,det:art
18,MOT,mod
18,MOT,pro:per
18,MOT,v
18,MOT,cop
18,MOT,prep
18,MOT,det:art
19,MOT,v
19,MOT,v
19,MOT,adv
20,MOT,v
20,MOT,v
20,MOT,adv
21,MOT,v
21,MOT,v
21,MOT,adv
22,MOT,co
22,MOT,n:prop
22,MOT,v
22,MOT,!
23,MOT,co
23,MOT,n:prop
23,MOT,v
24,MOT,co
24,MOT,n:prop
24,MOT,v
25,MOT,v
25,MOT,prep
25,MOT,det:art
25,MOT,n
26,MOT,v
