Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,pro:dem
4,EXP,cop
4,EXP,n
4,EXP,pro:indef
5,EXP,pro:dem
5,EXP,cop
5,EXP,n
5,EXP,pro:indef
6,EXP,pro:dem
6,EXP,cop
6,EXP,n
6,EXP,pro:indef
7,EXP,coord
7,EXP,adv:tem
7,EXP,n
7,EXP,cop
7,EXP,n:prop
8,EXP,coord
8,EXP,adv:tem
8,EXP,n
8,EXP,cop
8,EXP,n:prop
9,EXP,coord
9,EXP,adv:tem
9,EXP,n
9,EXP,cop
9,EXP,n:prop
10,EXP,pro:per
10,EXP,mod
10,EXP,v
10,EXP,pro:dem
10,EXP,pro:rel
11,EXP,pro:per
11,EXP,mod
11,EXP,v
11,EXP,pro:dem
11,EXP,pro:rel
12,EXP,pro:per
12,EXP,mod
12,EXP,v
12,EXP,pro:dem
12,EXP,pro:rel
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,co
17,MOT,co
18,MOT,co
19,MOT,mod
19,MOT,pro:sub
19,MOT,adj
19,MOT,n
19,MOT,prep
19,MOT,pro:obj
19,MOT,?
20,MOT,mod
20,MOT,pro:sub
20,MOT,adj
20,MOT,n
20,MOT,prep
20,MOT,pro:obj
20,MOT,?
21,MOT,mod
21,MOT,pro:sub
21,MOT,adj
21,MOT,n
21,MOT,prep
21,MOT,pro:obj
22,EXP,co
22,EXP,adv
22,EXP,+
23,EXP,co
23,EXP,adv
23,EXP,+
24,EXP,co
24,EXP,adv
24,EXP,+
25,MOT,co
26,MOT,co
27,MOT,co
28,MOT,co
28,MOT,adj
29,MOT,co
29,MOT,adj
30,MOT,co
30,MOT,adj
31,EXP,pro:int
31,EXP,pro:per
31,EXP,v
31,EXP,v
31,EXP,adv
31,EXP,+
32,EXP,pro:int
32,EXP,pro:per
32,EXP,v
32,EXP,v
32,EXP,adv
32,EXP,+
33,EXP,pro:int
33,EXP,pro:per
33,EXP,v
33,EXP,v
33,EXP,adv
33,EXP,+
34,MOT,pro:int
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,adv
34,MOT,?
35,MOT,pro:int
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,adv
35,MOT,?
36,MOT,pro:int
36,MOT,mod
36,MOT,pro:per
36,MOT,v
36,MOT,adv
37,MOT,n
37,MOT,?
38,MOT,n
38,MOT,?
39,MOT,n
40,MOT,pro:dem
40,MOT,n
41,MOT,pro:dem
41,MOT,n
42,MOT,pro:dem
42,MOT,n
43,MOT,det:dem
43,MOT,aux
43,MOT,part
43,MOT,n
44,MOT,det:dem
44,MOT,aux
44,MOT,part
44,MOT,n
45,MOT,det:dem
45,MOT,aux
45,MOT,part
45,MOT,n
46,MOT,pro:sub
46,MOT,v
46,MOT,qn
46,MOT,prep
46,MOT,det:dem
46,MOT,prep
46,MOT,n
47,MOT,pro:sub
47,MOT,v
47,MOT,qn
47,MOT,prep
47,MOT,det:dem
47,MOT,prep
47,MOT,n
48,MOT,pro:sub
48,MOT,v
48,MOT,qn
48,MOT,prep
48,MOT,det:dem
48,MOT,prep
48,MOT,n
49,MOT,n
50,MOT,n
51,MOT,n
52,MOT,coord
52,MOT,n
53,MOT,coord
53,MOT,n
54,MOT,coord
54,MOT,n
55,MOT,n
55,MOT,n
56,MOT,n
56,MOT,n
57,MOT,n
57,MOT,n
58,MOT,co
58,MOT,det:poss
58,MOT,adj
58,MOT,neg
58,MOT,adv
58,MOT,inf
59,MOT,co
59,MOT,det:poss
59,MOT,adj
59,MOT,neg
59,MOT,adv
59,MOT,inf
60,MOT,co
60,MOT,det:poss
60,MOT,adj
60,MOT,neg
60,MOT,adv
60,MOT,inf
61,MOT,co
61,MOT,pro:per
61,MOT,mod
61,MOT,v
61,MOT,prep
61,MOT,pro:int
62,MOT,co
