Turn,Speaker,POS
1,MOT,adv
1,MOT,v
1,MOT,coord
1,MOT,v
1,MOT,pro:int
1,MOT,pro:sub
1,MOT,mod
1,MOT,v
2,MOT,adv
2,MOT,v
2,MOT,coord
2,MOT,v
2,MOT,pro:int
2,MOT,pro:sub
2,MOT,mod
2,MOT,v
3,MOT,adv
3,MOT,v
3,MOT,coord
3,MOT,v
3,MOT,pro:int
3,MOT,pro:sub
3,MOT,mod
3,MOT,v
4,MOT,co
4,MOT,!
5,MOT,co
6,MOT,co
7,MOT,adv
7,MOT,qn
7,MOT,det:poss
7,MOT,n
7,MOT,cop
7,MOT,adj
8,MOT,adv
8,MOT,qn
8,MOT,det:poss
8,MOT,n
8,MOT,cop
8,MOT,adj
9,MOT,adv
9,MOT,qn
9,MOT,det:poss
9,MOT,n
9,MOT,cop
9,MOT,adj
10,MOT,coord
10,MOT,adv
10,MOT,det:poss
10,MOT,n
10,MOT,cop
10,MOT,adj
11,MOT,coord
11,MOT,adv
11,MOT,det:poss
11,MOT,n
11,MOT,cop
11,MOT,adj
12,MOT,coord
12,MOT,adv
12,MOT,det:poss
12,MOT,n
12,MOT,cop
12,MOT,adj
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,pro:sub
16,MOT,cop
16,MOT,adv
16,MOT,adj
16,MOT,det:dem
16,MOT,n
17,MOT,pro:sub
17,MOT,cop
17,MOT,adv
17,MOT,adj
17,MOT,det:dem
17,MOT,n
18,MOT,pro:sub
18,MOT,cop
18,MOT,adv
18,MOT,adj
18,MOT,det:dem
18,MOT,n
19,MOT,adv
19,MOT,v
19,MOT,prep
19,MOT,pro:dem
20,MOT,adv
20,MOT,v
20,MOT,prep
20,MOT,pro:dem
21,MOT,adv
21,MOT,v
21,MOT,prep
21,MOT,pro:dem
22,MOT,pro:int
22,MOT,mod
22,MOT,pro:per
22,MOT,v
22,MOT,?
23,MOT,pro:int
23,MOT,mod
23,MOT,pro:per
23,MOT,v
23,MOT,?
24,MOT,pro:int
24,MOT,mod
24,MOT,pro:per
24,MOT,v
25,MOT,n
25,MOT,adv
25,MOT,adj
25,MOT,adv
25,MOT,adj
25,MOT,mod
25,MOT,cop
26,MOT,n
26,MOT,adv
26,MOT,adj
26,MOT,adv
26,MOT,adj
26,MOT,mod
26,MOT,cop
27,MOT,n
27,MOT,adv
27,MOT,adj
27,MOT,adv
27,MOT,adj
27,MOT,mod
27,MOT,cop
28,MOT,n
28,MOT,v
29,MOT,n
29,MOT,v
30,MOT,n
30,MOT,v
31,MOT,co
32,MOT,co
33,MOT,co
34,MOT,pro:per
34,MOT,cop
34,MOT,adj
35,MOT,pro:per
35,MOT,cop
35,MOT,adj
36,MOT,pro:per
36,MOT,cop
36,MOT,adj
37,MOT,mod
37,MOT,adv
37,MOT,v
37,MOT,pro:indef
38,MOT,mod
38,MOT,adv
38,MOT,v
38,MOT,pro:indef
39,MOT,mod
39,MOT,adv
39,MOT,v
39,MOT,pro:indef
40,MOT,pro:sub
40,MOT,v
40,MOT,pro:per
40,MOT,mod
41,MOT,pro:sub
41,MOT,v
41,MOT,pro:per
41,MOT,mod
42,MOT,pro:sub
42,MOT,v
42,MOT,pro:per
42,MOT,mod
43,MOT,pro:sub
43,MOT,mod
43,MOT,v
43,MOT,pro:indef
44,MOT,pro:sub
44,MOT,mod
44,MOT,v
44,MOT,pro:indef
45,MOT,pro:sub
45,MOT,mod
45,MOT,v
45,MOT,pro:indef
46,MOT,co
46,MOT,!
47,MOT,co
48,MOT,co
49,MOT,pro:dem
49,MOT,cop
49,MOT,adj
50,MOT,pro:dem
50,MOT,cop
50,MOT,adj
51,MOT,pro:dem
51,MOT,cop
51,MOT,adj
52,MOT,adj
52,MOT,adj
52,MOT,n
52,MOT,coord
52,MOT,n
52,MOT,adv
53,MOT,adj
53,MOT,adj
53,MOT,n
53,MOT,coord
53,MOT,n
53,MOT,adv
54,MOT,adj
54,MOT,adj
54,MOT,n
54,MOT,coord
54,MOT,n
54,MOT,adv
55,mor,*MOT:+"
55,mor,we
55,mor,like
55,mor,all
55,mor,the
55,mor,things
55,mor,you
55,mor,can
55,mor,do
56,mor,*MOT:+"
56,mor,we
56,mor,like
56,mor,all
56,mor,the
56,mor,things
56,mor,you
56,mor,can
56,mor,do
57,mor,*MOT:+"
57,mor,we
57,mor,like
57,mor,all
57,mor,the
57,mor,things
57,mor,you
57,mor,can
57,mor,do
58,mor,*MOT:+"
58,mor,we
58,mor,like
58,mor,your
58,mor,spots
59,mor,*MOT:+"
59,mor,we
59,mor,like
59,mor,your
59,mor,spots
60,mor,*MOT:+"
60,mor,we
60,mor,like
60,mor,your
60,mor,spots
61,mor,*MOT:+"
61,mor,we
61,mor,like
61,mor,you
61,mor,too
61,mor,
61,mor,154022_159128
62,mor,*MOT:+"
62,mor,we
62,mor,like
62,mor,you
62,mor,too
62,mor,
62,mor,154022_159128
63,mor,*MOT:+"
63,mor,we
63,mor,like
63,mor,you
63,mor,too
63,mor,
63,mor,154022_159128
64,mor,prep
64,mor,qn
64,mor,det:art
64,mor,n
64,mor,pro:rel
64,mor,pro:per
65,mor,prep
65,mor,qn
65,mor,det:art
65,mor,n
65,mor,pro:rel
65,mor,pro:per
66,mor,prep
66,mor,qn
