Turn,Speaker,POS
1,MOT,co
1,MOT,n:prop
2,MOT,co
2,MOT,n:prop
3,MOT,co
3,MOT,n:prop
4,MOT,pro:int
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,?
5,MOT,pro:int
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,?
6,MOT,pro:int
6,MOT,mod
6,MOT,pro:per
6,MOT,v
7,MOT,v
7,MOT,prep
7,MOT,det:art
7,MOT,n
7,MOT,!
8,MOT,v
8,MOT,prep
8,MOT,det:art
8,MOT,n
9,MOT,v
9,MOT,prep
9,MOT,det:art
9,MOT,n
10,MOT,v
10,MOT,prep
10,MOT,det:art
10,MOT,n
10,MOT,!
11,MOT,v
11,MOT,prep
11,MOT,det:art
11,MOT,n
12,MOT,v
12,MOT,prep
12,MOT,det:art
12,MOT,n
13,MOT,mod
13,MOT,det:art
13,MOT,n
13,MOT,v
13,MOT,n
13,MOT,n
13,MOT,adv
14,MOT,mod
14,MOT,det:art
14,MOT,n
14,MOT,v
14,MOT,n
14,MOT,n
14,MOT,adv
15,MOT,mod
15,MOT,det:art
15,MOT,n
15,MOT,v
15,MOT,n
15,MOT,n
15,MOT,adv
16,MOT,adv
16,MOT,prep
16,MOT,pro:per
16,MOT,!
17,MOT,adv
17,MOT,prep
17,MOT,pro:per
18,MOT,adv
18,MOT,prep
18,MOT,pro:per
19,MOT,v
19,MOT,det:art
19,MOT,adj
19,MOT,n
19,MOT,coord
19,MOT,v
20,MOT,v
20,MOT,det:art
20,MOT,adj
20,MOT,n
20,MOT,coord
20,MOT,v
21,MOT,v
21,MOT,det:art
21,MOT,adj
21,MOT,n
21,MOT,coord
21,MOT,v
22,MOT,co
22,MOT,pro:rel
22,MOT,cop
22,MOT,adv
22,MOT,adj
22,MOT,!
23,MOT,co
23,MOT,pro:rel
23,MOT,cop
23,MOT,adv
23,MOT,adj
24,MOT,co
24,MOT,pro:rel
24,MOT,cop
24,MOT,adv
24,MOT,adj
25,MOT,cop
25,MOT,det:dem
25,MOT,n
25,MOT,n:prop
25,MOT,?
26,MOT,cop
26,MOT,det:dem
26,MOT,n
26,MOT,n:prop
26,MOT,?
27,MOT,cop
27,MOT,det:dem
27,MOT,n
27,MOT,n:prop
28,MOT,pro:int
28,MOT,mod
28,MOT,n:prop
28,MOT,v
28,MOT,?
29,MOT,pro:int
29,MOT,mod
29,MOT,n:prop
29,MOT,v
29,MOT,?
30,MOT,pro:int
30,MOT,mod
30,MOT,n:prop
30,MOT,v
31,MOT,mod
31,MOT,n:prop
31,MOT,co
31,MOT,det:dem
31,MOT,cop
31,MOT,v
31,MOT,?
32,MOT,mod
32,MOT,n:prop
32,MOT,co
32,MOT,det:dem
32,MOT,cop
32,MOT,v
32,MOT,?
33,MOT,mod
33,MOT,n:prop
33,MOT,co
33,MOT,det:dem
33,MOT,cop
33,MOT,v
34,MOT,mod
34,MOT,pro:dem
34,MOT,v
34,MOT,conj
34,MOT,adj
34,MOT,n
35,MOT,mod
35,MOT,pro:dem
35,MOT,v
35,MOT,conj
35,MOT,adj
35,MOT,n
36,MOT,mod
36,MOT,pro:dem
36,MOT,v
36,MOT,conj
36,MOT,adj
36,MOT,n
37,MOT,co
37,MOT,co
38,MOT,co
38,MOT,co
39,MOT,co
39,MOT,co
40,MOT,pro:dem
40,MOT,det:art
40,MOT,adj
40,MOT,n
40,MOT,inf
40,MOT,v
41,MOT,pro:dem
41,MOT,det:art
41,MOT,adj
41,MOT,n
41,MOT,inf
41,MOT,v
42,MOT,pro:dem
42,MOT,det:art
42,MOT,adj
42,MOT,n
42,MOT,inf
42,MOT,v
43,MOT,co
43,MOT,n:prop
43,MOT,!
44,MOT,co
44,MOT,n:prop
45,MOT,co
45,MOT,n:prop
46,MOT,co
46,MOT,n:prop
47,MOT,co
47,MOT,n:prop
48,MOT,co
48,MOT,n:prop
49,MOT,mod
49,MOT,pro:per
49,MOT,v
49,MOT,prep
49,MOT,pro:obj
49,MOT,?
50,MOT,mod
50,MOT,pro:per
50,MOT,v
50,MOT,prep
50,MOT,pro:obj
50,MOT,?
51,MOT,mod
51,MOT,pro:per
51,MOT,v
51,MOT,prep
51,MOT,pro:obj
52,MOT,v
52,MOT,det:art
52,MOT,n
52,MOT,n
52,MOT,?
53,MOT,v
53,MOT,det:art
53,MOT,n
53,MOT,n
53,MOT,?
54,MOT,v
54,MOT,det:art
54,MOT,n
54,MOT,n
55,MOT,mod
55,MOT,pro:sub
55,MOT,v
55,MOT,det:art
55,MOT,n
55,MOT,det:art
55,MOT,n
55,MOT,?
56,MOT,mod
56,MOT,pro:sub
56,MOT,v
56,MOT,det:art
56,MOT,n
56,MOT,det:art
56,MOT,n
56,MOT,?
57,MOT,mod
57,MOT,pro:sub
57,MOT,v
57,MOT,det:art
57,MOT,n
57,MOT,det:art
57,MOT,n
58,MOT,mod
58,MOT,pro:sub
58,MOT,v
58,MOT,det:art
58,MOT,n
58,MOT,det:art
58,MOT,n
58,MOT,?
59,MOT,mod
59,MOT,pro:sub
59,MOT,v
59,MOT,det:art
59,MOT,n
59,MOT,det:art
59,MOT,n
59,MOT,?
60,MOT,mod
60,MOT,pro:sub
60,MOT,v
60,MOT,det:art
60,MOT,n
60,MOT,det:art
60,MOT,n
61,MOT,co
61,MOT,mod
61,MOT,pro:per
61,MOT,v
61,MOT,inf
61,MOT,v
62,MOT,co
62,MOT,mod
62,MOT,pro:per
62,MOT,v
62,MOT,inf
62,MOT,v
63,MOT,co
63,MOT,mod
63,MOT,pro:per
63,MOT,v
63,MOT,inf
63,MOT,v
64,MOT,pro:sub
64,MOT,v
64,MOT,det:art
64,MOT,n
64,MOT,v
64,MOT,inf
64,MOT,v
65,MOT,pro:sub
65,MOT,v
65,MOT,det:art
65,MOT,n
65,MOT,v
65,MOT,inf
65,MOT,v
66,MOT,pro:sub
66,MOT,v
66,MOT,det:art
66,MOT,n
66,MOT,v
66,MOT,inf
66,MOT,v
67,MOT,mod
67,MOT,pro:sub
67,MOT,v
67,MOT,det:art
67,MOT,adj
68,MOT,mod
68,MOT,pro:sub
68,MOT,v
68,MOT,det:art
68,MOT,adj
69,MOT,mod
69,MOT,pro:sub
69,MOT,v
69,MOT,det:art
69,MOT,adj
70,mor,*MOT:pajamas
70,mor,on
70,mor,
70,mor,73297_74770
71,mor,*MOT:pajamas
71,mor,on
71,mor,
71,mor,73297_74770
72,mor,*MOT:pajamas
72,mor,on
72,mor,
72,mor,73297_74770
73,mor,pro:per
73,mor,adj
73,mor,v
73,mor,det:art
73,mor,adj
74,mor,pro:per
74,mor,adj
74,mor,v
74,mor,det:art
74,mor,adj
75,mor,pro:per
75,mor,adj
75,mor,v
75,mor,det:art
75,mor,adj
76,MOT,co
76,MOT,v
76,MOT,v
76,MOT,det:art
76,MOT,n
76,MOT,prep
77,MOT,co
77,MOT,v
77,MOT,v
77,MOT,det:art
77,MOT,n
77,MOT,prep
78,MOT,co
78,MOT,v
78,MOT,v
78,MOT,det:art
78,MOT,n
78,MOT,prep
79,MOT,part
79,MOT,v
79,MOT,det:poss
79,MOT,n
80,MOT,part
80,MOT,v
80,MOT,det:poss
80,MOT,n
81,MOT,part
81,MOT,v
81,MOT,det:poss
81,MOT,n
82,MOT,v
82,MOT,det:poss
82,MOT,n
83,MOT,v
83,MOT,det:poss
83,MOT,n
84,MOT,v
84,MOT,det:poss
84,MOT,n
85,mor,*MOT:<give
85,mor,him>
85,mor,[//]
85,mor,shampoo
85,mor,him
85,mor,here
85,mor,you
85,mor,go
85,mor,
85,mor,97584_100600
86,mor,*MOT:<give
86,mor,him>
86,mor,[//]
86,mor,shampoo
86,mor,him
86,mor,here
86,mor,you
86,mor,go
86,mor,
