Turn,Speaker,POS
1,MOT,n
2,MOT,n
3,MOT,n
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,det:art
4,MOT,n
4,MOT,?
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,det:art
5,MOT,n
5,MOT,?
6,MOT,mod
6,MOT,pro:per
6,MOT,v
6,MOT,det:art
6,MOT,n
7,MOT,co
8,MOT,co
9,MOT,co
10,MOT,co
10,MOT,n
11,MOT,co
11,MOT,n
12,MOT,co
12,MOT,n
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,co
17,MOT,co
18,MOT,co
19,MOT,pro:per
19,MOT,v
19,MOT,v
19,MOT,prep
19,MOT,det:poss
19,MOT,n
20,MOT,pro:per
20,MOT,v
20,MOT,v
20,MOT,prep
20,MOT,det:poss
20,MOT,n
21,MOT,pro:per
21,MOT,v
21,MOT,v
21,MOT,prep
21,MOT,det:poss
21,MOT,n
22,MOT,co
23,MOT,co
24,MOT,co
25,MOT,pro:per
25,MOT,v
25,MOT,v
25,MOT,qn
25,MOT,n
25,MOT,?
26,MOT,pro:per
26,MOT,v
26,MOT,v
26,MOT,qn
26,MOT,n
26,MOT,?
27,MOT,pro:per
27,MOT,v
27,MOT,v
27,MOT,qn
27,MOT,n
28,MOT,pro:int
28,MOT,prep
28,MOT,qn
28,MOT,n
28,MOT,?
29,MOT,pro:int
29,MOT,prep
29,MOT,qn
29,MOT,n
29,MOT,?
30,MOT,pro:int
30,MOT,prep
30,MOT,qn
30,MOT,n
31,MOT,n
31,MOT,?
32,MOT,n
32,MOT,?
33,MOT,n
34,MOT,v
34,MOT,det:poss
34,MOT,n
35,MOT,v
35,MOT,det:poss
35,MOT,n
36,MOT,v
36,MOT,det:poss
36,MOT,n
37,MOT,co
38,MOT,co
39,MOT,co
40,MOT,pro:per
40,MOT,part
40,MOT,v
40,MOT,pro:per
40,MOT,v
40,MOT,?
41,MOT,pro:per
41,MOT,part
41,MOT,v
41,MOT,pro:per
41,MOT,v
41,MOT,?
42,MOT,pro:per
42,MOT,part
42,MOT,v
42,MOT,pro:per
42,MOT,v
43,MOT,pro:per
43,MOT,v
43,MOT,det:poss
43,MOT,n
43,MOT,part
44,MOT,pro:per
44,MOT,v
44,MOT,det:poss
44,MOT,n
44,MOT,part
45,MOT,pro:per
45,MOT,v
45,MOT,det:poss
45,MOT,n
45,MOT,part
46,MOT,pro:per
46,MOT,v
46,MOT,v
46,MOT,det:poss
46,MOT,n
46,MOT,adv
46,MOT,?
47,MOT,pro:per
47,MOT,v
47,MOT,v
47,MOT,det:poss
47,MOT,n
47,MOT,adv
47,MOT,?
48,MOT,pro:per
48,MOT,v
48,MOT,v
48,MOT,det:poss
48,MOT,n
48,MOT,adv
49,MOT,pro:per
49,MOT,v
49,MOT,v
49,MOT,n
49,MOT,coord
49,MOT,v
49,MOT,?
50,MOT,pro:per
50,MOT,v
50,MOT,v
50,MOT,n
50,MOT,coord
50,MOT,v
50,MOT,?
51,MOT,pro:per
51,MOT,v
51,MOT,v
51,MOT,n
51,MOT,coord
51,MOT,v
52,MOT,adj
