Turn,Speaker,POS
1,MOT,pro:int
1,MOT,mod
1,MOT,pro:sub
1,MOT,v
1,MOT,adv
1,MOT,?
2,MOT,pro:int
2,MOT,mod
2,MOT,pro:sub
2,MOT,v
2,MOT,adv
2,MOT,?
3,MOT,pro:int
3,MOT,mod
3,MOT,pro:sub
3,MOT,v
3,MOT,adv
4,MOT,co
4,MOT,?
5,MOT,co
5,MOT,?
6,MOT,co
7,MOT,n
8,MOT,n
9,MOT,n
10,MOT,det:art
10,MOT,n
10,MOT,prep
10,MOT,n
11,MOT,det:art
11,MOT,n
11,MOT,prep
11,MOT,n
12,MOT,det:art
12,MOT,n
12,MOT,prep
12,MOT,n
13,MOT,det:art
13,MOT,n
14,MOT,det:art
14,MOT,n
15,MOT,det:art
15,MOT,n
16,MOT,pro:int
16,MOT,mod
16,MOT,pro:sub
16,MOT,v
16,MOT,?
17,MOT,pro:int
17,MOT,mod
17,MOT,pro:sub
17,MOT,v
17,MOT,?
18,MOT,pro:int
18,MOT,mod
18,MOT,pro:sub
18,MOT,v
19,MOT,det:art
19,MOT,n
20,MOT,det:art
20,MOT,n
21,MOT,det:art
21,MOT,n
22,MOT,det:art
22,MOT,n
23,MOT,det:art
23,MOT,n
24,MOT,det:art
24,MOT,n
25,MOT,inf
25,MOT,v
25,MOT,?
26,MOT,inf
26,MOT,v
26,MOT,?
27,MOT,inf
27,MOT,v
28,MOT,co
28,MOT,pro:sub
28,MOT,mod
28,MOT,v
28,MOT,n
29,MOT,co
29,MOT,pro:sub
29,MOT,mod
29,MOT,v
29,MOT,n
30,MOT,co
30,MOT,pro:sub
30,MOT,mod
30,MOT,v
30,MOT,n
31,MOT,pro:sub
31,MOT,v
31,MOT,det:poss
31,MOT,n
32,MOT,pro:sub
32,MOT,v
32,MOT,det:poss
32,MOT,n
33,MOT,pro:sub
33,MOT,v
33,MOT,det:poss
33,MOT,n
34,MOT,co
35,MOT,co
36,MOT,co
37,MOT,pro:int
37,MOT,mod
37,MOT,pro:per
37,MOT,co
37,MOT,prep
37,MOT,det:dem
38,MOT,pro:int
38,MOT,mod
38,MOT,pro:per
38,MOT,co
38,MOT,prep
38,MOT,det:dem
39,MOT,pro:int
39,MOT,mod
39,MOT,pro:per
39,MOT,co
39,MOT,prep
39,MOT,det:dem
40,MOT,part
40,MOT,det:art
40,MOT,n
40,MOT,?
41,MOT,part
41,MOT,det:art
41,MOT,n
41,MOT,?
42,MOT,part
42,MOT,det:art
42,MOT,n
43,MOT,co
43,MOT,?
44,MOT,co
44,MOT,?
45,MOT,co
46,MOT,pro:exist
46,MOT,det:art
46,MOT,n
47,MOT,pro:exist
47,MOT,det:art
47,MOT,n
48,MOT,pro:exist
48,MOT,det:art
48,MOT,n
49,MOT,pro:per
49,MOT,adv
49,MOT,v
49,MOT,v
49,MOT,pro:indef
50,MOT,pro:per
50,MOT,adv
50,MOT,v
50,MOT,v
50,MOT,pro:indef
51,MOT,pro:per
51,MOT,adv
51,MOT,v
51,MOT,v
51,MOT,pro:indef
52,MOT,cop
52,MOT,pro:per
52,MOT,part
52,MOT,adj
52,MOT,?
53,MOT,cop
53,MOT,pro:per
53,MOT,part
53,MOT,adj
53,MOT,?
54,MOT,cop
54,MOT,pro:per
54,MOT,part
54,MOT,adj
55,MOT,co
55,MOT,?
56,MOT,co
56,MOT,?
57,MOT,co
58,MOT,pro:exist
58,MOT,qn
58,MOT,n
58,MOT,prep
59,MOT,pro:exist
59,MOT,qn
59,MOT,n
59,MOT,prep
60,MOT,pro:exist
60,MOT,qn
60,MOT,n
60,MOT,prep
61,MOT,prep
61,MOT,n
62,MOT,prep
62,MOT,n
63,MOT,prep
63,MOT,n
64,MOT,n:prop
64,MOT,v
65,MOT,n:prop
65,MOT,v
66,MOT,n:prop
66,MOT,v
67,MOT,v
67,MOT,pro:obj
67,MOT,v
67,MOT,pro:per
67,MOT,pro:indef
68,MOT,v
68,MOT,pro:obj
68,MOT,v
68,MOT,pro:per
68,MOT,pro:indef
69,MOT,v
69,MOT,pro:obj
69,MOT,v
69,MOT,pro:per
69,MOT,pro:indef
70,MOT,v
70,MOT,pro:obj
70,MOT,v
70,MOT,pro:per
70,MOT,pro:indef
71,MOT,v
71,MOT,pro:obj
71,MOT,v
71,MOT,pro:per
71,MOT,pro:indef
72,MOT,v
72,MOT,pro:obj
72,MOT,v
72,MOT,pro:per
72,MOT,pro:indef
73,MOT,pro:per
73,MOT,mod
73,MOT,v
73,MOT,pro:dem
73,MOT,adv
74,MOT,pro:per
74,MOT,mod
74,MOT,v
74,MOT,pro:dem
74,MOT,adv
75,MOT,pro:per
75,MOT,mod
75,MOT,v
75,MOT,pro:dem
75,MOT,adv
76,MOT,v
76,MOT,pro:obj
76,MOT,v
76,MOT,comp
76,MOT,adv
77,MOT,v
77,MOT,pro:obj
77,MOT,v
77,MOT,comp
77,MOT,adv
78,MOT,v
78,MOT,pro:obj
78,MOT,v
78,MOT,comp
78,MOT,adv
79,MOT,co
80,MOT,co
81,MOT,co
82,MOT,co
82,MOT,adv
82,MOT,adj
82,MOT,?
83,MOT,co
83,MOT,adv
83,MOT,adj
83,MOT,?
84,MOT,co
84,MOT,adv
84,MOT,adj
85,MOT,pro:per
85,MOT,adv
85,MOT,prep
85,MOT,n:gerund
86,MOT,pro:per
86,MOT,adv
86,MOT,prep
86,MOT,n:gerund
87,MOT,pro:per
87,MOT,adv
87,MOT,prep
87,MOT,n:gerund
88,MOT,conj
88,MOT,pro:sub
88,MOT,mod
88,MOT,v
88,MOT,pro:per
88,MOT,n
88,MOT,co
89,MOT,conj
89,MOT,pro:sub
89,MOT,mod
89,MOT,v
89,MOT,pro:per
89,MOT,n
89,MOT,co
90,MOT,conj
90,MOT,pro:sub
90,MOT,mod
90,MOT,v
90,MOT,pro:per
90,MOT,n
90,MOT,co
91,MOT,prep
91,MOT,det:art
91,MOT,n
91,MOT,det:dem
91,MOT,n
91,MOT,?
92,MOT,prep
92,MOT,det:art
92,MOT,n
92,MOT,det:dem
92,MOT,n
92,MOT,?
93,MOT,prep
93,MOT,det:art
93,MOT,n
93,MOT,det:dem
93,MOT,n
94,MOT,pro:per
94,MOT,v
94,MOT,pro:per
95,MOT,pro:per
95,MOT,v
95,MOT,pro:per
96,MOT,pro:per
96,MOT,v
96,MOT,pro:per
97,MOT,pro:per
97,MOT,adj
98,MOT,pro:per
98,MOT,adj
99,MOT,pro:per
99,MOT,adj
100,MOT,pro:per
100,MOT,adv
100,MOT,v
100,MOT,v
101,MOT,pro:per
101,MOT,adv
101,MOT,v
101,MOT,v
102,MOT,pro:per
102,MOT,adv
102,MOT,v
102,MOT,v
103,MOT,adv
103,MOT,pro:per
103,MOT,v
104,MOT,adv
104,MOT,pro:per
104,MOT,v
105,MOT,adv
105,MOT,pro:per
105,MOT,v
106,MOT,v
106,MOT,qn
106,MOT,n
107,MOT,v
107,MOT,qn
107,MOT,n
108,MOT,v
108,MOT,qn
108,MOT,n
109,MOT,adv
109,MOT,pro:per
109,MOT,mod
109,MOT,v
109,MOT,pro:per
110,MOT,adv
110,MOT,pro:per
110,MOT,mod
110,MOT,v
110,MOT,pro:per
111,MOT,adv
111,MOT,pro:per
111,MOT,mod
111,MOT,v
111,MOT,pro:per
112,MOT,mod
112,MOT,pro:per
112,MOT,v
112,MOT,pro:per
112,MOT,?
113,MOT,mod
113,MOT,pro:per
113,MOT,v
113,MOT,pro:per
113,MOT,?
114,MOT,mod
114,MOT,pro:per
114,MOT,v
114,MOT,pro:per
115,MOT,adv
115,MOT,pro:per
115,MOT,v
116,MOT,adv
116,MOT,pro:per
116,MOT,v
117,MOT,adv
117,MOT,pro:per
117,MOT,v
118,MOT,adv
118,MOT,pro:per
118,MOT,v
119,MOT,adv
119,MOT,pro:per
119,MOT,v
120,MOT,adv
120,MOT,pro:per
120,MOT,v
121,MOT,co
121,MOT,pro:per
121,MOT,part
121,MOT,pro:per
122,MOT,co
122,MOT,pro:per
122,MOT,part
122,MOT,pro:per
123,MOT,co
123,MOT,pro:per
123,MOT,part
123,MOT,pro:per
124,MOT,pro:sub
124,MOT,v
124,MOT,pro:per
124,MOT,mod
124,MOT,v
124,MOT,qn
125,MOT,pro:sub
125,MOT,v
125,MOT,pro:per
125,MOT,mod
125,MOT,v
125,MOT,qn
126,MOT,pro:sub
126,MOT,v
126,MOT,pro:per
126,MOT,mod
126,MOT,v
126,MOT,qn
127,MOT,adv
127,MOT,pro:per
127,MOT,part
127,MOT,v
128,MOT,adv
128,MOT,pro:per
128,MOT,part
128,MOT,v
129,MOT,adv
129,MOT,pro:per
129,MOT,part
129,MOT,v
130,MOT,co
131,MOT,co
132,MOT,co
133,MOT,v
133,MOT,prep
133,MOT,det:art
133,MOT,n
133,MOT,n
133,MOT,prep
133,MOT,n
134,MOT,v
134,MOT,prep
134,MOT,det:art
134,MOT,n
134,MOT,n
134,MOT,prep
134,MOT,n
135,MOT,v
135,MOT,prep
135,MOT,det:art
135,MOT,n
135,MOT,n
135,MOT,prep
135,MOT,n
136,MOT,co
137,MOT,co
138,MOT,co
139,MOT,pro:int
139,MOT,adv
139,MOT,conj
139,MOT,pro:sub
139,MOT,v
140,MOT,pro:int
140,MOT,adv
140,MOT,conj
140,MOT,pro:sub
140,MOT,v
141,MOT,pro:int
141,MOT,adv
141,MOT,conj
141,MOT,pro:sub
141,MOT,v
142,MOT,co
142,MOT,?
143,MOT,co
143,MOT,?
144,MOT,co
145,MOT,v
145,MOT,pro:obj
145,MOT,v
145,MOT,det:art
145,MOT,+//
146,MOT,v
146,MOT,pro:obj
146,MOT,v
146,MOT,det:art
146,MOT,+//
147,MOT,v
147,MOT,pro:obj
147,MOT,v
147,MOT,det:art
147,MOT,+//
148,MOT,pro:sub
148,MOT,v
148,MOT,pro:dem
148,MOT,pro:indef
148,MOT,prep
148,MOT,n
149,MOT,pro:sub
149,MOT,v
149,MOT,pro:dem
149,MOT,pro:indef
149,MOT,prep
149,MOT,n
150,MOT,pro:sub
150,MOT,v
150,MOT,pro:dem
150,MOT,pro:indef
150,MOT,prep
150,MOT,n
151,MOT,n:prop
151,MOT,prep
151,MOT,det:dem
151,MOT,pro:indef
151,MOT,conj
152,MOT,n:prop
152,MOT,prep
152,MOT,det:dem
152,MOT,pro:indef
152,MOT,conj
153,MOT,n:prop
153,MOT,prep
153,MOT,det:dem
153,MOT,pro:indef
153,MOT,conj
154,MOT,pro:per
154,MOT,v
154,MOT,?
155,MOT,pro:per
155,MOT,v
155,MOT,?
156,MOT,pro:per
156,MOT,v
157,MOT,co
158,MOT,co
159,MOT,co
160,MOT,n:prop
160,MOT,n
160,MOT,v
160,MOT,mod
160,MOT,pro:per
160,MOT,?
161,MOT,n:prop
161,MOT,n
161,MOT,v
161,MOT,mod
161,MOT,pro:per
161,MOT,?
162,MOT,n:prop
162,MOT,n
162,MOT,v
162,MOT,mod
162,MOT,pro:per
163,MOT,prep
163,MOT,n:prop
164,MOT,prep
164,MOT,n:prop
165,MOT,prep
165,MOT,n:prop
166,MOT,co
166,MOT,det:art
166,MOT,adj
166,MOT,v
166,MOT,n:prop
167,MOT,co
167,MOT,det:art
167,MOT,adj
167,MOT,v
167,MOT,n:prop
168,MOT,co
168,MOT,det:art
168,MOT,adj
168,MOT,v
168,MOT,n:prop
169,MOT,pro:sub
169,MOT,mod
169,MOT,v
169,MOT,prep
169,MOT,det:art
169,MOT,n
170,MOT,pro:sub
170,MOT,mod
170,MOT,v
170,MOT,prep
170,MOT,det:art
170,MOT,n
171,MOT,pro:sub
171,MOT,mod
171,MOT,v
171,MOT,prep
171,MOT,det:art
171,MOT,n
172,MOT,pro:sub
172,MOT,mod
172,MOT,v
172,MOT,v
172,MOT,v
173,MOT,pro:sub
173,MOT,mod
173,MOT,v
173,MOT,v
173,MOT,v
174,MOT,pro:sub
174,MOT,mod
174,MOT,v
174,MOT,v
174,MOT,v
175,MOT,pro:sub
175,MOT,mod
175,MOT,v
175,MOT,prep
175,MOT,det:art
175,MOT,n
176,MOT,pro:sub
176,MOT,mod
176,MOT,v
176,MOT,prep
176,MOT,det:art
176,MOT,n
177,MOT,pro:sub
177,MOT,mod
177,MOT,v
177,MOT,prep
177,MOT,det:art
177,MOT,n
178,MOT,n:prop
178,MOT,n
178,MOT,n
179,MOT,n:prop
179,MOT,n
179,MOT,n
180,MOT,n:prop
180,MOT,n
180,MOT,n
181,MOT,pro:int
181,MOT,adv
181,MOT,pro:per
181,MOT,?
182,MOT,pro:int
182,MOT,adv
182,MOT,pro:per
182,MOT,?
183,MOT,pro:int
183,MOT,adv
183,MOT,pro:per
184,MOT,mod
184,MOT,pro:per
184,MOT,v
184,MOT,n
184,MOT,n
184,MOT,?
185,MOT,mod
185,MOT,pro:per
185,MOT,v
185,MOT,n
185,MOT,n
185,MOT,?
186,MOT,mod
186,MOT,pro:per
186,MOT,v
186,MOT,n
186,MOT,n
187,MOT,pro:sub
187,MOT,mod
187,MOT,v
187,MOT,prep
187,MOT,det:art
187,MOT,n
188,MOT,pro:sub
188,MOT,mod
188,MOT,v
188,MOT,prep
188,MOT,det:art
188,MOT,n
189,MOT,pro:sub
189,MOT,mod
189,MOT,v
189,MOT,prep
189,MOT,det:art
189,MOT,n
190,MOT,n
190,MOT,n
190,MOT,n
190,MOT,n
191,MOT,n
191,MOT,n
191,MOT,n
191,MOT,n
192,MOT,n
192,MOT,n
192,MOT,n
192,MOT,n
193,MOT,pro:sub
