Turn,Speaker,POS
1,MOT,pro:per
1,MOT,v
1,MOT,adv
2,MOT,pro:per
2,MOT,v
2,MOT,adv
3,MOT,pro:per
3,MOT,v
3,MOT,adv
4,MOT,co
5,MOT,co
6,MOT,co
7,MOT,pro:int
7,MOT,mod
7,MOT,pro:per
7,MOT,v
7,MOT,prep
7,MOT,det:dem
8,MOT,pro:int
8,MOT,mod
8,MOT,pro:per
8,MOT,v
8,MOT,prep
8,MOT,det:dem
9,MOT,pro:int
9,MOT,mod
9,MOT,pro:per
9,MOT,v
9,MOT,prep
9,MOT,det:dem
10,MOT,mod
10,MOT,pro:per
10,MOT,v
10,MOT,n
10,MOT,n
10,MOT,?
11,MOT,mod
11,MOT,pro:per
11,MOT,v
11,MOT,n
11,MOT,n
11,MOT,?
12,MOT,mod
12,MOT,pro:per
12,MOT,v
12,MOT,n
12,MOT,n
13,MOT,co
13,MOT,n
13,MOT,n
13,MOT,adj
13,MOT,n
14,MOT,co
14,MOT,n
14,MOT,n
14,MOT,adj
14,MOT,n
15,MOT,co
15,MOT,n
15,MOT,n
15,MOT,adj
15,MOT,n
16,MOT,n
16,MOT,n
16,MOT,n
17,MOT,n
17,MOT,n
17,MOT,n
18,MOT,n
18,MOT,n
18,MOT,n
19,MOT,mod
19,MOT,pro:per
19,MOT,v
19,MOT,n
19,MOT,prep
19,MOT,det:art
19,MOT,n
19,MOT,?
20,MOT,mod
20,MOT,pro:per
20,MOT,v
20,MOT,n
20,MOT,prep
20,MOT,det:art
20,MOT,n
20,MOT,?
21,MOT,mod
21,MOT,pro:per
21,MOT,v
21,MOT,n
21,MOT,prep
21,MOT,det:art
21,MOT,n
22,MOT,pro:int
22,MOT,post
22,MOT,mod
22,MOT,pro:per
22,MOT,v
22,MOT,?
23,MOT,pro:int
23,MOT,post
23,MOT,mod
23,MOT,pro:per
23,MOT,v
23,MOT,?
24,MOT,pro:int
24,MOT,post
24,MOT,mod
24,MOT,pro:per
24,MOT,v
25,MOT,qn
25,MOT,det:dem
25,MOT,n
25,MOT,n:prop
25,MOT,coord
25,MOT,pro:per
26,MOT,qn
26,MOT,det:dem
26,MOT,n
26,MOT,n:prop
26,MOT,coord
26,MOT,pro:per
27,MOT,qn
27,MOT,det:dem
27,MOT,n
27,MOT,n:prop
27,MOT,coord
27,MOT,pro:per
28,MOT,adv
28,MOT,v
28,MOT,v
28,MOT,det:dem
28,MOT,n
28,MOT,prep
28,MOT,n
29,MOT,adv
29,MOT,v
29,MOT,v
29,MOT,det:dem
29,MOT,n
29,MOT,prep
29,MOT,n
30,MOT,adv
30,MOT,v
30,MOT,v
30,MOT,det:dem
30,MOT,n
30,MOT,prep
30,MOT,n
31,MOT,co
31,MOT,adv
31,MOT,pro:per
31,MOT,v
32,MOT,co
32,MOT,adv
32,MOT,pro:per
32,MOT,v
33,MOT,co
33,MOT,adv
33,MOT,pro:per
33,MOT,v
34,MOT,v
34,MOT,det:art
34,MOT,n
34,MOT,?
35,MOT,v
35,MOT,det:art
35,MOT,n
35,MOT,?
36,MOT,v
36,MOT,det:art
36,MOT,n
37,MOT,n
37,MOT,n
37,MOT,n
37,MOT,n
37,MOT,n
38,MOT,n
38,MOT,n
38,MOT,n
38,MOT,n
38,MOT,n
39,MOT,n
39,MOT,n
39,MOT,n
39,MOT,n
39,MOT,n
40,MOT,co
40,MOT,n
40,MOT,n
40,MOT,n
40,MOT,n
41,MOT,co
41,MOT,n
41,MOT,n
41,MOT,n
41,MOT,n
42,MOT,co
42,MOT,n
42,MOT,n
42,MOT,n
42,MOT,n
43,MOT,pro:per
43,MOT,v
43,MOT,n
43,MOT,?
44,MOT,pro:per
44,MOT,v
44,MOT,n
44,MOT,?
45,MOT,pro:per
45,MOT,v
45,MOT,n
46,MOT,n
47,MOT,n
48,MOT,n
49,MOT,coord
49,MOT,v
49,MOT,co
49,MOT,det:dem
49,MOT,v
49,MOT,conj
50,MOT,coord
50,MOT,v
50,MOT,co
50,MOT,det:dem
50,MOT,v
50,MOT,conj
51,MOT,coord
51,MOT,v
51,MOT,co
51,MOT,det:dem
51,MOT,v
51,MOT,conj
52,MOT,n
52,MOT,coord
52,MOT,n
53,MOT,n
53,MOT,coord
53,MOT,n
54,MOT,n
54,MOT,coord
54,MOT,n
55,MOT,pro:dem
55,MOT,v
55,MOT,conj
55,MOT,n
56,MOT,pro:dem
56,MOT,v
56,MOT,conj
56,MOT,n
57,MOT,pro:dem
57,MOT,v
57,MOT,conj
57,MOT,n
58,MOT,pro:int
58,MOT,mod
58,MOT,v
58,MOT,n
58,MOT,?
59,MOT,pro:int
59,MOT,mod
59,MOT,v
59,MOT,n
59,MOT,?
60,MOT,pro:int
60,MOT,mod
60,MOT,v
60,MOT,n
61,MOT,co
61,MOT,co
61,MOT,co
61,MOT,adj
61,MOT,n
61,MOT,coord
61,MOT,adj
62,MOT,co
62,MOT,co
62,MOT,co
62,MOT,adj
62,MOT,n
62,MOT,coord
62,MOT,adj
63,MOT,co
63,MOT,co
63,MOT,co
63,MOT,adj
63,MOT,n
63,MOT,coord
63,MOT,adj
64,MOT,adj
64,MOT,n
65,MOT,adj
65,MOT,n
66,MOT,adj
66,MOT,n
67,MOT,pro:sub
67,MOT,mod
67,MOT,v
67,MOT,pro:per
67,MOT,adv
68,MOT,pro:sub
68,MOT,mod
68,MOT,v
68,MOT,pro:per
68,MOT,adv
69,MOT,pro:sub
69,MOT,mod
69,MOT,v
69,MOT,pro:per
69,MOT,adv
70,MOT,pro:sub
70,MOT,v
70,MOT,pro:sub
70,MOT,cop
70,MOT,adv
70,MOT,adj
71,MOT,pro:sub
71,MOT,v
71,MOT,pro:sub
71,MOT,cop
71,MOT,adv
71,MOT,adj
72,MOT,pro:sub
72,MOT,v
72,MOT,pro:sub
72,MOT,cop
72,MOT,adv
72,MOT,adj
73,MOT,coord
73,MOT,n
74,MOT,coord
74,MOT,n
75,MOT,coord
75,MOT,n
76,MOT,pro:rel
76,MOT,det:num
76,MOT,v
76,MOT,pro:per
76,MOT,v
76,MOT,pro:sub
77,MOT,pro:rel
77,MOT,det:num
77,MOT,v
77,MOT,pro:per
77,MOT,v
77,MOT,pro:sub
78,MOT,pro:rel
78,MOT,det:num
78,MOT,v
78,MOT,pro:per
78,MOT,v
78,MOT,pro:sub
79,MOT,pro:per
79,MOT,mod
79,MOT,v
79,MOT,pro:dem
79,MOT,adv
79,MOT,adv
80,MOT,pro:per
80,MOT,mod
80,MOT,v
80,MOT,pro:dem
80,MOT,adv
80,MOT,adv
81,MOT,pro:per
81,MOT,mod
81,MOT,v
81,MOT,pro:dem
81,MOT,adv
81,MOT,adv
82,MOT,co
82,MOT,pro:dem
83,MOT,co
83,MOT,pro:dem
84,MOT,co
84,MOT,pro:dem
85,MOT,co
86,MOT,co
87,MOT,co
88,MOT,pro:rel
88,MOT,adv
88,MOT,adj
89,MOT,pro:rel
89,MOT,adv
89,MOT,adj
90,MOT,pro:rel
90,MOT,adv
90,MOT,adj
91,MOT,n
91,MOT,n
91,MOT,n
91,MOT,n
92,MOT,n
92,MOT,n
92,MOT,n
92,MOT,n
93,MOT,n
93,MOT,n
93,MOT,n
93,MOT,n
94,MOT,co
94,MOT,co
95,MOT,co
95,MOT,co
96,MOT,co
96,MOT,co
97,MOT,mod
97,MOT,pro:per
97,MOT,v
97,MOT,pro:indef
97,MOT,inf
97,MOT,v
98,MOT,mod
98,MOT,pro:per
98,MOT,v
98,MOT,pro:indef
98,MOT,inf
98,MOT,v
99,MOT,mod
99,MOT,pro:per
99,MOT,v
99,MOT,pro:indef
99,MOT,inf
99,MOT,v
100,MOT,v
100,MOT,v
101,MOT,v
101,MOT,v
102,MOT,v
102,MOT,v
103,MOT,co
103,MOT,v
103,MOT,v
103,MOT,det:art
103,MOT,n
104,MOT,co
104,MOT,v
104,MOT,v
104,MOT,det:art
104,MOT,n
105,MOT,co
105,MOT,v
105,MOT,v
105,MOT,det:art
105,MOT,n
106,MOT,co
106,MOT,adv
106,MOT,pro:per
106,MOT,v
106,MOT,!
107,MOT,co
107,MOT,adv
107,MOT,pro:per
107,MOT,v
108,MOT,co
108,MOT,adv
108,MOT,pro:per
108,MOT,v
109,MOT,v
109,MOT,det:art
109,MOT,n
109,MOT,?
110,MOT,v
110,MOT,det:art
110,MOT,n
110,MOT,?
111,MOT,v
111,MOT,det:art
111,MOT,n
112,MOT,pro:per
112,MOT,mod
112,MOT,v
112,MOT,det:art
112,MOT,n
112,MOT,adv
113,MOT,pro:per
113,MOT,mod
113,MOT,v
113,MOT,det:art
113,MOT,n
113,MOT,adv
114,MOT,pro:per
114,MOT,mod
114,MOT,v
114,MOT,det:art
114,MOT,n
114,MOT,adv
115,MOT,adv
115,MOT,v
115,MOT,det:poss
115,MOT,n
115,MOT,?
116,MOT,adv
116,MOT,v
116,MOT,det:poss
116,MOT,n
116,MOT,?
117,MOT,adv
117,MOT,v
117,MOT,det:poss
117,MOT,n
118,MOT,n
118,MOT,n
118,MOT,n
119,MOT,n
119,MOT,n
119,MOT,n
120,MOT,n
120,MOT,n
120,MOT,n
121,MOT,cop
121,MOT,adv
121,MOT,n
121,MOT,?
122,MOT,cop
122,MOT,adv
122,MOT,n
122,MOT,?
123,MOT,cop
123,MOT,adv
123,MOT,n
124,MOT,co
124,MOT,co
124,MOT,n
124,MOT,pro:per
124,MOT,det:art
124,MOT,n
125,MOT,co
125,MOT,co
125,MOT,n
125,MOT,pro:per
125,MOT,det:art
125,MOT,n
126,MOT,co
126,MOT,co
126,MOT,n
126,MOT,pro:per
126,MOT,det:art
126,MOT,n
127,MOT,co
127,MOT,pro:exist
127,MOT,det:art
127,MOT,n
127,MOT,n
128,MOT,co
128,MOT,pro:exist
128,MOT,det:art
128,MOT,n
128,MOT,n
129,MOT,co
129,MOT,pro:exist
129,MOT,det:art
129,MOT,n
129,MOT,n
130,MOT,co
