Turn,Speaker,POS
1,MOT,adj
1,MOT,n
2,MOT,adj
2,MOT,n
3,MOT,adj
3,MOT,n
4,MOT,pro:sub
4,MOT,post
4,MOT,v
5,MOT,pro:sub
5,MOT,post
5,MOT,v
6,MOT,pro:sub
6,MOT,post
6,MOT,v
7,MOT,v
7,MOT,adv
7,MOT,prep
7,MOT,det:art
7,MOT,n
8,MOT,v
8,MOT,adv
8,MOT,prep
8,MOT,det:art
8,MOT,n
9,MOT,v
9,MOT,adv
9,MOT,prep
9,MOT,det:art
9,MOT,n
10,EXP,co
10,EXP,!
11,EXP,co
12,EXP,co
13,MOT,v
13,MOT,adv
13,MOT,adv
13,MOT,v
13,MOT,n
13,MOT,prep
13,MOT,det:dem
14,MOT,v
14,MOT,adv
14,MOT,adv
14,MOT,v
14,MOT,n
14,MOT,prep
14,MOT,det:dem
15,MOT,v
15,MOT,adv
15,MOT,adv
15,MOT,v
15,MOT,n
15,MOT,prep
15,MOT,det:dem
16,MOT,v
16,MOT,n
16,MOT,prep
16,MOT,det:dem
16,MOT,n
17,MOT,v
17,MOT,n
17,MOT,prep
17,MOT,det:dem
17,MOT,n
18,MOT,v
18,MOT,n
18,MOT,prep
18,MOT,det:dem
18,MOT,n
19,MOT,pro:sub
19,MOT,v
19,MOT,pro:per
19,MOT,v
19,MOT,n:pt
20,MOT,pro:sub
20,MOT,v
20,MOT,pro:per
20,MOT,v
20,MOT,n:pt
21,MOT,pro:sub
21,MOT,v
21,MOT,pro:per
21,MOT,v
21,MOT,n:pt
22,MOT,coord
22,MOT,pro:per
22,MOT,v
22,MOT,det:dem
22,MOT,n
22,MOT,prep
22,MOT,n
23,MOT,coord
23,MOT,pro:per
23,MOT,v
23,MOT,det:dem
23,MOT,n
23,MOT,prep
23,MOT,n
24,MOT,coord
24,MOT,pro:per
24,MOT,v
24,MOT,det:dem
24,MOT,n
24,MOT,prep
24,MOT,n
25,MOT,pro:int
25,MOT,cop
25,MOT,pro:dem
25,MOT,?
26,MOT,pro:int
26,MOT,cop
26,MOT,pro:dem
26,MOT,?
27,MOT,pro:int
27,MOT,cop
27,MOT,pro:dem
28,MOT,v
28,MOT,prep
28,MOT,det:dem
28,MOT,n
28,MOT,prep
28,MOT,n
29,MOT,v
29,MOT,prep
29,MOT,det:dem
29,MOT,n
29,MOT,prep
29,MOT,n
30,MOT,v
30,MOT,prep
30,MOT,det:dem
30,MOT,n
30,MOT,prep
30,MOT,n
31,MOT,n
31,MOT,prep
31,MOT,n
31,MOT,!
32,MOT,n
32,MOT,prep
32,MOT,n
33,MOT,n
33,MOT,prep
33,MOT,n
34,MOT,pro:sub
34,MOT,mod
34,MOT,v
34,MOT,det:art
34,MOT,n
35,MOT,pro:sub
35,MOT,mod
35,MOT,v
35,MOT,det:art
35,MOT,n
36,MOT,pro:sub
36,MOT,mod
36,MOT,v
36,MOT,det:art
36,MOT,n
37,MOT,v
37,MOT,prep
37,MOT,pro:dem
37,MOT,!
38,MOT,v
38,MOT,prep
38,MOT,pro:dem
39,MOT,v
39,MOT,prep
39,MOT,pro:dem
40,MOT,pro:per
40,MOT,v
40,MOT,det:dem
40,MOT,n
41,MOT,pro:per
41,MOT,v
41,MOT,det:dem
41,MOT,n
42,MOT,pro:per
42,MOT,v
42,MOT,det:dem
42,MOT,n
43,MOT,pro:sub
43,MOT,v
43,MOT,det:dem
43,MOT,n
44,MOT,pro:sub
44,MOT,v
44,MOT,det:dem
44,MOT,n
45,MOT,pro:sub
45,MOT,v
45,MOT,det:dem
45,MOT,n
46,MOT,n:prop
47,MOT,n:prop
48,MOT,n:prop
49,MOT,pro:per
49,MOT,det:art
49,MOT,adj
49,MOT,adj
49,MOT,prep
50,MOT,pro:per
50,MOT,det:art
50,MOT,adj
50,MOT,adj
50,MOT,prep
51,MOT,pro:per
51,MOT,det:art
51,MOT,adj
51,MOT,adj
51,MOT,prep
52,MOT,co
52,MOT,part
53,MOT,co
53,MOT,part
