Turn,Speaker,POS
1,MOT,pro:sub
1,MOT,v
1,MOT,inf
1,MOT,v
1,MOT,adj
1,MOT,n
1,MOT,?
2,MOT,pro:sub
2,MOT,v
2,MOT,inf
2,MOT,v
2,MOT,adj
2,MOT,n
2,MOT,?
3,MOT,pro:sub
3,MOT,v
3,MOT,inf
3,MOT,v
3,MOT,adj
3,MOT,n
4,MOT,co
4,MOT,?
5,MOT,co
5,MOT,?
6,MOT,co
7,MOT,pro:int
7,MOT,mod
7,MOT,pro:per
7,MOT,v
7,MOT,?
8,MOT,pro:int
8,MOT,mod
8,MOT,pro:per
8,MOT,v
8,MOT,?
9,MOT,pro:int
9,MOT,mod
9,MOT,pro:per
9,MOT,v
10,MOT,co
10,MOT,?
11,MOT,co
11,MOT,?
12,MOT,co
13,MOT,pro:sub
13,MOT,prep
13,MOT,n
13,MOT,?
14,MOT,pro:sub
14,MOT,prep
14,MOT,n
14,MOT,?
15,MOT,pro:sub
15,MOT,prep
15,MOT,n
16,MOT,pro:sub
16,MOT,prep
16,MOT,n
16,MOT,?
17,MOT,pro:sub
17,MOT,prep
17,MOT,n
17,MOT,?
18,MOT,pro:sub
18,MOT,prep
18,MOT,n
19,MOT,pro:per
19,MOT,v
19,MOT,det:art
19,MOT,n
19,MOT,?
20,MOT,pro:per
20,MOT,v
20,MOT,det:art
20,MOT,n
20,MOT,?
21,MOT,pro:per
21,MOT,v
21,MOT,det:art
21,MOT,n
22,MOT,co
22,MOT,pro:per
22,MOT,v
22,MOT,det:art
22,MOT,n
23,MOT,co
23,MOT,pro:per
23,MOT,v
23,MOT,det:art
23,MOT,n
24,MOT,co
24,MOT,pro:per
24,MOT,v
24,MOT,det:art
24,MOT,n
25,MOT,coord
25,MOT,pro:sub
25,MOT,v
25,MOT,det:art
25,MOT,n
25,MOT,adv
26,MOT,coord
26,MOT,pro:sub
26,MOT,v
26,MOT,det:art
26,MOT,n
26,MOT,adv
27,MOT,coord
27,MOT,pro:sub
27,MOT,v
27,MOT,det:art
27,MOT,n
27,MOT,adv
28,MOT,pro:dem
28,MOT,adv
28,MOT,n
29,MOT,pro:dem
29,MOT,adv
29,MOT,n
30,MOT,pro:dem
30,MOT,adv
30,MOT,n
31,MOT,pro:dem
31,MOT,adv
31,MOT,adj
31,MOT,co
31,MOT,?
32,MOT,pro:dem
32,MOT,adv
32,MOT,adj
32,MOT,co
32,MOT,?
33,MOT,pro:dem
33,MOT,adv
33,MOT,adj
33,MOT,co
34,MOT,v
34,MOT,pro:sub
34,MOT,v
34,MOT,det:art
34,MOT,adj
34,MOT,fam
34,MOT,+//
35,MOT,v
35,MOT,pro:sub
35,MOT,v
35,MOT,det:art
35,MOT,adj
35,MOT,fam
35,MOT,+//
36,MOT,v
36,MOT,pro:sub
36,MOT,v
36,MOT,det:art
36,MOT,adj
36,MOT,fam
36,MOT,+//
37,MOT,pro:sub
37,MOT,v
37,MOT,det:art
37,MOT,adj
37,MOT,fam
37,MOT,n
38,MOT,pro:sub
38,MOT,v
38,MOT,det:art
38,MOT,adj
38,MOT,fam
38,MOT,n
39,MOT,pro:sub
39,MOT,v
39,MOT,det:art
39,MOT,adj
39,MOT,fam
39,MOT,n
40,MOT,pro:int
40,MOT,mod
40,MOT,pro:per
40,MOT,v
40,MOT,prep
40,MOT,pro:obj
40,MOT,?
41,MOT,pro:int
41,MOT,mod
41,MOT,pro:per
41,MOT,v
41,MOT,prep
41,MOT,pro:obj
41,MOT,?
42,MOT,pro:int
42,MOT,mod
42,MOT,pro:per
42,MOT,v
42,MOT,prep
42,MOT,pro:obj
43,MOT,pro:int
43,MOT,mod
43,MOT,pro:per
43,MOT,v
43,MOT,?
44,MOT,pro:int
44,MOT,mod
44,MOT,pro:per
44,MOT,v
44,MOT,?
45,MOT,pro:int
45,MOT,mod
45,MOT,pro:per
45,MOT,v
46,MOT,pro:per
46,MOT,v
46,MOT,det:art
46,MOT,n
46,MOT,prep
46,MOT,det:art
47,MOT,pro:per
47,MOT,v
47,MOT,det:art
47,MOT,n
47,MOT,prep
47,MOT,det:art
48,MOT,pro:per
48,MOT,v
48,MOT,det:art
48,MOT,n
48,MOT,prep
48,MOT,det:art
49,MOT,pro:per
49,MOT,v
49,MOT,det:dem
49,MOT,pro:indef
49,MOT,?
50,MOT,pro:per
50,MOT,v
50,MOT,det:dem
50,MOT,pro:indef
50,MOT,?
51,MOT,pro:per
51,MOT,v
51,MOT,det:dem
51,MOT,pro:indef
52,MOT,pro:per
52,MOT,v
52,MOT,det:art
52,MOT,n
52,MOT,prep
52,MOT,det:art
53,MOT,pro:per
53,MOT,v
53,MOT,det:art
53,MOT,n
53,MOT,prep
53,MOT,det:art
54,MOT,pro:per
54,MOT,v
54,MOT,det:art
54,MOT,n
54,MOT,prep
54,MOT,det:art
55,MOT,pro:int
55,MOT,mod
55,MOT,pro:per
55,MOT,v
55,MOT,?
56,MOT,pro:int
56,MOT,mod
56,MOT,pro:per
56,MOT,v
56,MOT,?
57,MOT,pro:int
57,MOT,mod
57,MOT,pro:per
57,MOT,v
58,MOT,pro:per
58,MOT,v
58,MOT,prep
58,MOT,det:art
58,MOT,adj
58,MOT,co
58,MOT,co
59,MOT,pro:per
59,MOT,v
59,MOT,prep
59,MOT,det:art
59,MOT,adj
59,MOT,co
59,MOT,co
60,MOT,pro:per
60,MOT,v
60,MOT,prep
60,MOT,det:art
60,MOT,adj
60,MOT,co
60,MOT,co
61,MOT,pro:sub
61,MOT,v
61,MOT,pro:sub
61,MOT,v
61,MOT,det:dem
61,MOT,cop
62,MOT,pro:sub
62,MOT,v
62,MOT,pro:sub
62,MOT,v
62,MOT,det:dem
62,MOT,cop
63,MOT,pro:sub
63,MOT,v
63,MOT,pro:sub
63,MOT,v
63,MOT,det:dem
63,MOT,cop
64,MOT,pro:sub
64,MOT,n
64,MOT,conj
64,MOT,pro:sub
65,MOT,pro:sub
65,MOT,n
65,MOT,conj
65,MOT,pro:sub
66,MOT,pro:sub
66,MOT,n
66,MOT,conj
66,MOT,pro:sub
67,MOT,pro:int
67,MOT,adv
67,MOT,pro:sub
67,MOT,neg
67,MOT,v
67,MOT,det:art
67,MOT,n
68,MOT,pro:int
68,MOT,adv
68,MOT,pro:sub
68,MOT,neg
68,MOT,v
68,MOT,det:art
68,MOT,n
69,MOT,pro:int
69,MOT,adv
69,MOT,pro:sub
69,MOT,neg
69,MOT,v
69,MOT,det:art
69,MOT,n
70,MOT,v
70,MOT,v
71,MOT,v
71,MOT,v
72,MOT,v
72,MOT,v
73,MOT,cop
73,MOT,adv
73,MOT,pro:indef
73,MOT,pro:per
73,MOT,v
74,MOT,cop
74,MOT,adv
74,MOT,pro:indef
74,MOT,pro:per
74,MOT,v
75,MOT,cop
75,MOT,adv
75,MOT,pro:indef
75,MOT,pro:per
75,MOT,v
76,MOT,v
76,MOT,v
77,MOT,v
77,MOT,v
78,MOT,v
78,MOT,v
79,MOT,pro:int
79,MOT,mod
79,MOT,pro:per
79,MOT,v
79,MOT,?
80,MOT,pro:int
80,MOT,mod
80,MOT,pro:per
80,MOT,v
80,MOT,?
81,MOT,pro:int
81,MOT,mod
81,MOT,pro:per
81,MOT,v
82,MOT,pro:int
82,MOT,mod
82,MOT,pro:per
82,MOT,v
82,MOT,prep
82,MOT,pro:per
83,MOT,pro:int
83,MOT,mod
83,MOT,pro:per
83,MOT,v
83,MOT,prep
83,MOT,pro:per
84,MOT,pro:int
84,MOT,mod
84,MOT,pro:per
84,MOT,v
84,MOT,prep
84,MOT,pro:per
85,MOT,pro:per
85,MOT,v
85,MOT,n
86,MOT,pro:per
86,MOT,v
86,MOT,n
87,MOT,pro:per
87,MOT,v
87,MOT,n
88,MOT,pro:per
88,MOT,det:art
88,MOT,n
88,MOT,!
89,MOT,pro:per
89,MOT,det:art
89,MOT,n
90,MOT,pro:per
90,MOT,det:art
90,MOT,n
91,MOT,pro:per
91,MOT,det:art
91,MOT,n
92,MOT,pro:per
92,MOT,det:art
92,MOT,n
93,MOT,pro:per
93,MOT,det:art
93,MOT,n
94,MOT,co
94,MOT,?
95,MOT,co
95,MOT,?
96,MOT,co
97,MOT,v
97,MOT,det:art
97,MOT,n
98,MOT,v
98,MOT,det:art
98,MOT,n
99,MOT,v
99,MOT,det:art
99,MOT,n
100,MOT,det:art
100,MOT,adj
100,MOT,n
101,MOT,det:art
101,MOT,adj
101,MOT,n
102,MOT,det:art
102,MOT,adj
102,MOT,n
103,MOT,pro:int
103,MOT,mod
103,MOT,pro:per
103,MOT,v
103,MOT,?
104,MOT,pro:int
104,MOT,mod
104,MOT,pro:per
104,MOT,v
104,MOT,?
105,MOT,pro:int
105,MOT,mod
105,MOT,pro:per
105,MOT,v
106,MOT,co
106,MOT,co
106,MOT,mod
106,MOT,+//
107,MOT,co
107,MOT,co
107,MOT,mod
107,MOT,+//
108,MOT,co
108,MOT,co
108,MOT,mod
108,MOT,+//
109,MOT,co
109,MOT,adj
109,MOT,pro:per
109,MOT,mod
109,MOT,v
109,MOT,det:art
110,MOT,co
110,MOT,adj
110,MOT,pro:per
110,MOT,mod
110,MOT,v
110,MOT,det:art
111,MOT,co
111,MOT,adj
111,MOT,pro:per
111,MOT,mod
111,MOT,v
111,MOT,det:art
112,MOT,n
112,MOT,n
112,MOT,?
113,MOT,n
113,MOT,n
113,MOT,?
114,MOT,n
114,MOT,n
115,MOT,pro:per
115,MOT,v
115,MOT,pro:int
115,MOT,pro:per
115,MOT,v
115,MOT,prep
116,MOT,pro:per
116,MOT,v
116,MOT,pro:int
116,MOT,pro:per
116,MOT,v
116,MOT,prep
117,MOT,pro:per
117,MOT,v
117,MOT,pro:int
117,MOT,pro:per
117,MOT,v
117,MOT,prep
118,MOT,pro:exist
118,MOT,pro:indef
118,MOT,prep
118,MOT,det:art
119,MOT,pro:exist
119,MOT,pro:indef
119,MOT,prep
119,MOT,det:art
120,MOT,pro:exist
120,MOT,pro:indef
120,MOT,prep
120,MOT,det:art
121,MOT,n
121,MOT,?
122,MOT,n
122,MOT,?
123,MOT,n
124,MOT,n
124,MOT,adv
124,MOT,part
124,MOT,?
125,MOT,n
125,MOT,adv
125,MOT,part
125,MOT,?
126,MOT,n
126,MOT,adv
126,MOT,part
127,MOT,n
127,MOT,coord
127,MOT,n
127,MOT,adv
127,MOT,pro:exist
128,MOT,n
128,MOT,coord
128,MOT,n
128,MOT,adv
128,MOT,pro:exist
129,MOT,n
129,MOT,coord
129,MOT,n
129,MOT,adv
