Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,adv:tem
4,EXP,cop
4,EXP,det:art
4,EXP,adj
4,EXP,n
4,EXP,coord
5,EXP,adv:tem
5,EXP,cop
5,EXP,det:art
5,EXP,adj
5,EXP,n
5,EXP,coord
6,EXP,adv:tem
6,EXP,cop
6,EXP,det:art
6,EXP,adj
6,EXP,n
6,EXP,coord
7,EXP,pro:sub
7,EXP,mod
7,EXP,adv
7,EXP,mod
7,EXP,v
8,EXP,pro:sub
8,EXP,mod
8,EXP,adv
8,EXP,mod
8,EXP,v
9,EXP,pro:sub
9,EXP,mod
9,EXP,adv
9,EXP,mod
9,EXP,v
10,MOT,co
10,MOT,v
10,MOT,prep
10,MOT,pro:dem
10,MOT,!
11,MOT,co
11,MOT,v
11,MOT,prep
11,MOT,pro:dem
12,MOT,co
12,MOT,v
12,MOT,prep
12,MOT,pro:dem
13,MOT,co
13,MOT,pro:per
13,MOT,det:art
13,MOT,n
13,MOT,!
14,MOT,co
14,MOT,pro:per
14,MOT,det:art
14,MOT,n
15,MOT,co
15,MOT,pro:per
15,MOT,det:art
15,MOT,n
16,EXP,co
17,EXP,co
18,EXP,co
19,MOT,n:prop
20,MOT,n:prop
21,MOT,n:prop
22,MOT,v
22,MOT,prep
22,MOT,pro:dem
22,MOT,!
23,MOT,v
23,MOT,prep
23,MOT,pro:dem
24,MOT,v
24,MOT,prep
24,MOT,pro:dem
25,MOT,pro:int
25,MOT,mod
25,MOT,pro:per
25,MOT,v
25,MOT,prep
25,MOT,n
26,MOT,pro:int
26,MOT,mod
26,MOT,pro:per
26,MOT,v
26,MOT,prep
26,MOT,n
27,MOT,pro:int
27,MOT,mod
27,MOT,pro:per
27,MOT,v
27,MOT,prep
27,MOT,n
28,MOT,pro:sub
28,MOT,adv
28,MOT,part
28,MOT,v
29,MOT,pro:sub
29,MOT,adv
29,MOT,part
29,MOT,v
30,MOT,pro:sub
30,MOT,adv
30,MOT,part
30,MOT,v
31,MOT,v
31,MOT,prep
31,MOT,n
31,MOT,n:prop
32,MOT,v
32,MOT,prep
32,MOT,n
32,MOT,n:prop
33,MOT,v
33,MOT,prep
33,MOT,n
33,MOT,n:prop
34,MOT,v
34,MOT,prep
34,MOT,pro:dem
35,MOT,v
35,MOT,prep
35,MOT,pro:dem
36,MOT,v
36,MOT,prep
36,MOT,pro:dem
37,MOT,pro:int
37,MOT,cop
37,MOT,pro:dem
37,MOT,?
38,MOT,pro:int
38,MOT,cop
38,MOT,pro:dem
38,MOT,?
39,MOT,pro:int
39,MOT,cop
39,MOT,pro:dem
40,MOT,co
40,MOT,?
41,MOT,co
41,MOT,?
42,MOT,co
43,MOT,co
43,MOT,v
43,MOT,prep
43,MOT,pro:dem
44,MOT,co
44,MOT,v
44,MOT,prep
44,MOT,pro:dem
45,MOT,co
45,MOT,v
45,MOT,prep
45,MOT,pro:dem
46,MOT,n
46,MOT,n
47,MOT,n
47,MOT,n
48,MOT,n
48,MOT,n
49,MOT,pro:per
49,MOT,part
49,MOT,pro:per
49,MOT,?
50,MOT,pro:per
50,MOT,part
50,MOT,pro:per
50,MOT,?
51,MOT,pro:per
51,MOT,part
51,MOT,pro:per
52,MOT,pro:int
52,MOT,aux
52,MOT,pro:per
52,MOT,part
52,MOT,?
53,MOT,pro:int
53,MOT,aux
53,MOT,pro:per
53,MOT,part
53,MOT,?
54,MOT,pro:int
54,MOT,aux
54,MOT,pro:per
54,MOT,part
55,MOT,part
55,MOT,det:art
55,MOT,adj
55,MOT,n
55,MOT,!
56,MOT,part
56,MOT,det:art
56,MOT,adj
56,MOT,n
57,MOT,part
57,MOT,det:art
57,MOT,adj
57,MOT,n
58,MOT,cop
58,MOT,comp
58,MOT,det:art
58,MOT,adj
59,MOT,cop
59,MOT,comp
59,MOT,det:art
