Turn,Speaker,POS
1,MOT,pro:int
1,MOT,mod
1,MOT,pro:per
1,MOT,pro:per
1,MOT,v
1,MOT,?
2,MOT,pro:int
2,MOT,mod
2,MOT,pro:per
2,MOT,pro:per
2,MOT,v
2,MOT,?
3,MOT,pro:int
3,MOT,mod
3,MOT,pro:per
3,MOT,pro:per
3,MOT,v
4,MOT,pro:int
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,?
5,MOT,pro:int
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,?
6,MOT,pro:int
6,MOT,mod
6,MOT,pro:per
6,MOT,v
7,MOT,co
7,MOT,!
8,MOT,co
9,MOT,co
10,MOT,v
10,MOT,prep
10,MOT,qn
10,MOT,pro:dem
10,MOT,!
11,MOT,v
11,MOT,prep
11,MOT,qn
11,MOT,pro:dem
12,MOT,v
12,MOT,prep
12,MOT,qn
12,MOT,pro:dem
13,MOT,pro:int
13,MOT,?
14,MOT,pro:int
14,MOT,?
15,MOT,pro:int
16,MOT,pro:per
16,MOT,v
16,MOT,det:num
16,MOT,?
17,MOT,pro:per
17,MOT,v
17,MOT,det:num
17,MOT,?
18,MOT,pro:per
18,MOT,v
18,MOT,det:num
19,MOT,det:art
19,MOT,n
19,MOT,?
20,MOT,det:art
20,MOT,n
20,MOT,?
21,MOT,det:art
21,MOT,n
22,MOT,v
22,MOT,det:art
22,MOT,n
22,MOT,?
23,MOT,v
23,MOT,det:art
23,MOT,n
23,MOT,?
24,MOT,v
24,MOT,det:art
24,MOT,n
25,MOT,v
25,MOT,pro:per
25,MOT,?
26,MOT,v
26,MOT,pro:per
26,MOT,?
27,MOT,v
27,MOT,pro:per
28,MOT,co
28,MOT,pro:per
28,MOT,adj
29,MOT,co
29,MOT,pro:per
29,MOT,adj
30,MOT,co
30,MOT,pro:per
30,MOT,adj
31,MOT,neg
31,MOT,adv
31,MOT,qn
31,MOT,prep
31,MOT,det:art
31,MOT,n
31,MOT,?
32,MOT,neg
32,MOT,adv
32,MOT,qn
32,MOT,prep
32,MOT,det:art
32,MOT,n
32,MOT,?
33,MOT,neg
33,MOT,adv
33,MOT,qn
33,MOT,prep
33,MOT,det:art
33,MOT,n
34,MOT,co
34,MOT,!
35,MOT,co
36,MOT,co
37,MOT,pro:rel
37,MOT,det:num
37,MOT,v
37,MOT,pro:per
37,MOT,v
37,MOT,?
38,MOT,pro:rel
38,MOT,det:num
38,MOT,v
38,MOT,pro:per
38,MOT,v
38,MOT,?
39,MOT,pro:rel
39,MOT,det:num
39,MOT,v
39,MOT,pro:per
39,MOT,v
40,MOT,co
41,MOT,co
42,MOT,co
43,MOT,co
43,MOT,?
44,MOT,co
44,MOT,?
45,MOT,co
46,MOT,det:art
46,MOT,n
46,MOT,?
47,MOT,det:art
47,MOT,n
47,MOT,?
48,MOT,det:art
48,MOT,n
49,MOT,on
50,MOT,on
51,MOT,on
52,MOT,on
53,MOT,on
54,MOT,on
55,MOT,pro:int
55,MOT,mod
55,MOT,pro:per
55,MOT,v
55,MOT,v
55,MOT,adv:tem
55,MOT,?
56,MOT,pro:int
56,MOT,mod
56,MOT,pro:per
56,MOT,v
56,MOT,v
56,MOT,adv:tem
56,MOT,?
57,MOT,pro:int
57,MOT,mod
57,MOT,pro:per
57,MOT,v
57,MOT,v
57,MOT,adv:tem
58,MOT,pro:per
58,MOT,adv
58,MOT,part
58,MOT,v
58,MOT,pro:obj
59,MOT,pro:per
59,MOT,adv
59,MOT,part
59,MOT,v
59,MOT,pro:obj
60,MOT,pro:per
60,MOT,adv
60,MOT,part
60,MOT,v
60,MOT,pro:obj
61,MOT,co
61,MOT,?
62,MOT,co
62,MOT,?
63,MOT,co
64,MOT,adv
64,MOT,qn
64,MOT,n
65,MOT,adv
65,MOT,qn
65,MOT,n
66,MOT,adv
66,MOT,qn
66,MOT,n
67,MOT,pro:per
67,MOT,mod
67,MOT,co
67,MOT,adv
67,MOT,det:num
67,MOT,adv
68,MOT,pro:per
68,MOT,mod
68,MOT,co
68,MOT,adv
68,MOT,det:num
68,MOT,adv
69,MOT,pro:per
69,MOT,mod
69,MOT,co
69,MOT,adv
69,MOT,det:num
69,MOT,adv
70,MOT,pro:int
70,MOT,mod
70,MOT,pro:per
70,MOT,v
70,MOT,?
71,MOT,pro:int
71,MOT,mod
71,MOT,pro:per
71,MOT,v
71,MOT,?
72,MOT,pro:int
72,MOT,mod
72,MOT,pro:per
72,MOT,v
73,MOT,co
73,MOT,!
74,MOT,co
75,MOT,co
76,MOT,det:art
76,MOT,adj
77,MOT,det:art
77,MOT,adj
78,MOT,det:art
78,MOT,adj
79,MOT,co
79,MOT,!
80,MOT,co
81,MOT,co
82,MOT,pro:int
82,MOT,?
83,MOT,pro:int
83,MOT,?
84,MOT,pro:int
85,MOT,pro:per
85,MOT,adv
85,MOT,part
85,MOT,adj
85,MOT,n
85,MOT,?
86,MOT,pro:per
86,MOT,adv
86,MOT,part
86,MOT,adj
86,MOT,n
86,MOT,?
87,MOT,pro:per
87,MOT,adv
87,MOT,part
87,MOT,adj
87,MOT,n
88,MOT,pro:per
88,MOT,re#n:gerund
88,MOT,?
89,MOT,pro:per
89,MOT,re#n:gerund
89,MOT,?
90,MOT,pro:per
90,MOT,re#n:gerund
91,MOT,pro:int
91,MOT,v
91,MOT,?
92,MOT,pro:int
92,MOT,v
92,MOT,?
93,MOT,pro:int
93,MOT,v
94,MOT,pro:int
94,MOT,mod
94,MOT,pro:per
94,MOT,part
94,MOT,?
95,MOT,pro:int
95,MOT,mod
95,MOT,pro:per
95,MOT,part
95,MOT,?
96,MOT,pro:int
96,MOT,mod
96,MOT,pro:per
96,MOT,part
97,MOT,co
97,MOT,!
98,MOT,co
99,MOT,co
100,MOT,pro:per
100,MOT,part
100,MOT,pro:obj
101,MOT,pro:per
101,MOT,part
101,MOT,pro:obj
102,MOT,pro:per
102,MOT,part
102,MOT,pro:obj
103,MOT,pro:sub
103,MOT,aux
103,MOT,pro:per
103,MOT,adv
103,MOT,!
104,MOT,pro:sub
104,MOT,aux
104,MOT,pro:per
104,MOT,adv
105,MOT,pro:sub
105,MOT,aux
105,MOT,pro:per
105,MOT,adv
106,MOT,pro:per
106,MOT,part
106,MOT,v
106,MOT,pro:per
106,MOT,adv
107,MOT,pro:per
107,MOT,part
107,MOT,v
107,MOT,pro:per
107,MOT,adv
108,MOT,pro:per
108,MOT,part
108,MOT,v
108,MOT,pro:per
108,MOT,adv
109,MOT,co
109,MOT,!
110,MOT,co
111,MOT,co
112,MOT,adv
112,MOT,cop
113,MOT,adv
113,MOT,cop
114,MOT,adv
114,MOT,cop
115,MOT,pro:sub
115,MOT,part
115,MOT,v
116,MOT,pro:sub
116,MOT,part
116,MOT,v
117,MOT,pro:sub
117,MOT,part
117,MOT,v
118,MOT,pro:per
118,MOT,part
118,MOT,v
118,MOT,pro:per
119,MOT,pro:per
119,MOT,part
119,MOT,v
119,MOT,pro:per
120,MOT,pro:per
120,MOT,part
120,MOT,v
120,MOT,pro:per
121,MOT,adj
121,MOT,?
122,MOT,adj
122,MOT,?
123,MOT,adj
124,MOT,co
124,MOT,pro:per
124,MOT,part
124,MOT,v
124,MOT,pro:per
124,MOT,!
125,MOT,co
125,MOT,pro:per
125,MOT,part
125,MOT,v
125,MOT,pro:per
126,MOT,co
126,MOT,pro:per
126,MOT,part
126,MOT,v
126,MOT,pro:per
127,MOT,pro:per
127,MOT,part
127,MOT,v
127,MOT,pro:per
127,MOT,!
128,MOT,pro:per
128,MOT,part
128,MOT,v
128,MOT,pro:per
129,MOT,pro:per
129,MOT,part
129,MOT,v
129,MOT,pro:per
130,MOT,pro:int
130,MOT,mod
130,MOT,pro:per
130,MOT,v
130,MOT,?
131,MOT,pro:int
131,MOT,mod
131,MOT,pro:per
131,MOT,v
131,MOT,?
132,MOT,pro:int
132,MOT,mod
132,MOT,pro:per
132,MOT,v
133,MOT,co
133,MOT,!
134,MOT,co
135,MOT,co
136,MOT,v
136,MOT,prep
136,MOT,qn
136,MOT,pro:dem
136,MOT,v
136,MOT,prep
136,MOT,n
137,MOT,v
137,MOT,prep
137,MOT,qn
137,MOT,pro:dem
137,MOT,v
137,MOT,prep
137,MOT,n
138,MOT,v
138,MOT,prep
138,MOT,qn
138,MOT,pro:dem
138,MOT,v
138,MOT,prep
138,MOT,n
139,MOT,mod
139,MOT,pro:sub
139,MOT,v
139,MOT,det:art
139,MOT,n
139,MOT,?
140,MOT,mod
140,MOT,pro:sub
140,MOT,v
140,MOT,det:art
140,MOT,n
140,MOT,?
141,MOT,mod
141,MOT,pro:sub
141,MOT,v
141,MOT,det:art
141,MOT,n
142,MOT,pro:int
142,MOT,det:art
142,MOT,n
142,MOT,?
143,MOT,pro:int
143,MOT,det:art
143,MOT,n
143,MOT,?
144,MOT,pro:int
144,MOT,det:art
144,MOT,n
145,MOT,pro:per
145,MOT,v
145,MOT,det:art
145,MOT,n
145,MOT,pro:per
145,MOT,v
145,MOT,?
146,MOT,pro:per
146,MOT,v
146,MOT,det:art
146,MOT,n
146,MOT,pro:per
146,MOT,v
146,MOT,?
147,MOT,pro:per
147,MOT,v
147,MOT,det:art
147,MOT,n
147,MOT,pro:per
147,MOT,v
148,MOT,pro:per
148,MOT,v
148,MOT,det:art
148,MOT,n
148,MOT,co
149,MOT,pro:per
149,MOT,v
149,MOT,det:art
149,MOT,n
149,MOT,co
150,MOT,pro:per
150,MOT,v
150,MOT,det:art
150,MOT,n
150,MOT,co
151,MOT,co
151,MOT,pro:per
151,MOT,v
151,MOT,pro:indef
151,MOT,pro:rel
152,MOT,co
152,MOT,pro:per
152,MOT,v
152,MOT,pro:indef
152,MOT,pro:rel
153,MOT,co
153,MOT,pro:per
153,MOT,v
153,MOT,pro:indef
153,MOT,pro:rel
154,MOT,pro:int
154,MOT,?
155,MOT,pro:int
155,MOT,?
156,MOT,pro:int
157,MOT,co
157,MOT,prep
157,MOT,det:art
157,MOT,n
157,MOT,?
158,MOT,co
158,MOT,prep
158,MOT,det:art
158,MOT,n
158,MOT,?
159,MOT,co
159,MOT,prep
159,MOT,det:art
159,MOT,n
160,MOT,co
161,MOT,co
162,MOT,co
163,MOT,co
164,MOT,co
165,MOT,co
166,MOT,mod
166,MOT,pro:dem
166,MOT,v
166,MOT,adj
166,MOT,?
167,MOT,mod
167,MOT,pro:dem
167,MOT,v
167,MOT,adj
167,MOT,?
168,MOT,mod
168,MOT,pro:dem
168,MOT,v
168,MOT,adj
169,MOT,mod
169,MOT,pro:dem
169,MOT,v
169,MOT,conj
169,MOT,det:art
169,MOT,adj
170,MOT,mod
170,MOT,pro:dem
170,MOT,v
170,MOT,conj
170,MOT,det:art
170,MOT,adj
171,MOT,mod
171,MOT,pro:dem
171,MOT,v
171,MOT,conj
171,MOT,det:art
171,MOT,adj
172,MOT,mod
172,MOT,pro:dem
172,MOT,v
172,MOT,conj
172,MOT,det:art
172,MOT,adj
173,MOT,mod
173,MOT,pro:dem
173,MOT,v
173,MOT,conj
173,MOT,det:art
173,MOT,adj
174,MOT,mod
174,MOT,pro:dem
174,MOT,v
174,MOT,conj
174,MOT,det:art
174,MOT,adj
175,MOT,co
175,MOT,!
176,MOT,co
177,MOT,co
178,MOT,co
178,MOT,!
179,MOT,co
180,MOT,co
181,MOT,v
181,MOT,prep
181,MOT,qn
181,MOT,pro:dem
181,MOT,n
181,MOT,pro:per
181,MOT,v
182,MOT,v
182,MOT,prep
182,MOT,qn
182,MOT,pro:dem
182,MOT,n
182,MOT,pro:per
182,MOT,v
183,MOT,v
183,MOT,prep
183,MOT,qn
183,MOT,pro:dem
183,MOT,n
183,MOT,pro:per
183,MOT,v
184,MOT,co
185,MOT,co
186,MOT,co
187,MOT,co
187,MOT,pro:rel
187,MOT,prep
187,MOT,det:dem
187,MOT,n
187,MOT,?
188,MOT,co
188,MOT,pro:rel
188,MOT,prep
188,MOT,det:dem
188,MOT,n
188,MOT,?
189,MOT,co
189,MOT,pro:rel
189,MOT,prep
189,MOT,det:dem
189,MOT,n
190,MOT,cop
190,MOT,comp
190,MOT,pro:per
190,MOT,?
191,MOT,cop
191,MOT,comp
191,MOT,pro:per
191,MOT,?
192,MOT,cop
192,MOT,comp
192,MOT,pro:per
193,MOT,co
193,MOT,!
194,MOT,co
195,MOT,co
196,MOT,v
196,MOT,pro:sub
196,MOT,v
196,MOT,pro:per
196,MOT,!
197,MOT,v
197,MOT,pro:sub
197,MOT,v
197,MOT,pro:per
198,MOT,v
198,MOT,pro:sub
198,MOT,v
198,MOT,pro:per
199,MOT,v
199,MOT,v
199,MOT,det:art
199,MOT,n
199,MOT,?
200,MOT,v
200,MOT,v
200,MOT,det:art
200,MOT,n
200,MOT,?
201,MOT,v
201,MOT,v
201,MOT,det:art
201,MOT,n
202,MOT,co
202,MOT,pro:rel
202,MOT,prep
202,MOT,det:art
202,MOT,n
202,MOT,?
203,MOT,co
203,MOT,pro:rel
203,MOT,prep
203,MOT,det:art
203,MOT,n
203,MOT,?
204,MOT,co
204,MOT,pro:rel
204,MOT,prep
204,MOT,det:art
204,MOT,n
205,MOT,pro:int
205,MOT,cop
205,MOT,pro:per
205,MOT,?
206,MOT,pro:int
206,MOT,cop
206,MOT,pro:per
206,MOT,?
207,MOT,pro:int
207,MOT,cop
207,MOT,pro:per
208,MOT,co
208,MOT,n
209,MOT,co
209,MOT,n
210,MOT,co
210,MOT,n
211,MOT,co
211,MOT,!
