Turn,Speaker,POS
1,EXP,co
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,co
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,co
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,v
4,EXP,det:num
5,EXP,v
5,EXP,det:num
6,EXP,v
6,EXP,det:num
7,EXP,adv:tem
7,EXP,cop
7,EXP,det:num
7,EXP,det:num
7,EXP,det:num
8,EXP,adv:tem
8,EXP,cop
8,EXP,det:num
8,EXP,det:num
8,EXP,det:num
9,EXP,adv:tem
9,EXP,cop
9,EXP,det:num
9,EXP,det:num
9,EXP,det:num
10,EXP,co
11,EXP,co
12,EXP,co
13,MOT,v
13,MOT,prep
13,MOT,pro:dem
14,MOT,v
14,MOT,prep
14,MOT,pro:dem
15,MOT,v
15,MOT,prep
15,MOT,pro:dem
16,MOT,pro:int
16,MOT,mod
16,MOT,pro:per
16,MOT,v
16,MOT,?
17,MOT,pro:int
17,MOT,mod
17,MOT,pro:per
17,MOT,v
17,MOT,?
18,MOT,pro:int
18,MOT,mod
18,MOT,pro:per
18,MOT,v
19,MOT,co
19,MOT,!
20,MOT,co
21,MOT,co
22,MOT,co
22,MOT,!
23,MOT,co
24,MOT,co
25,MOT,co
25,MOT,co
25,MOT,co
25,MOT,co
25,MOT,co
25,MOT,co
25,MOT,co
26,MOT,co
26,MOT,co
26,MOT,co
26,MOT,co
26,MOT,co
26,MOT,co
26,MOT,co
27,MOT,co
27,MOT,co
27,MOT,co
27,MOT,co
27,MOT,co
27,MOT,co
27,MOT,co
28,MOT,co
28,MOT,!
29,MOT,co
30,MOT,co
31,MOT,comp
31,MOT,det:art
31,MOT,adj
31,MOT,adj
31,MOT,?
32,MOT,comp
32,MOT,det:art
32,MOT,adj
32,MOT,adj
32,MOT,?
33,MOT,comp
33,MOT,det:art
33,MOT,adj
33,MOT,adj
34,MOT,pro:per
34,MOT,v
34,MOT,?
35,MOT,pro:per
35,MOT,v
35,MOT,?
36,MOT,pro:per
36,MOT,v
37,MOT,co
37,MOT,!
38,MOT,co
39,MOT,co
40,MOT,pro:per
40,MOT,v
40,MOT,pro:per
41,MOT,pro:per
41,MOT,v
41,MOT,pro:per
42,MOT,pro:per
42,MOT,v
42,MOT,pro:per
43,MOT,co
43,MOT,pro:per
43,MOT,v
44,MOT,co
44,MOT,pro:per
44,MOT,v
45,MOT,co
45,MOT,pro:per
45,MOT,v
46,MOT,co
46,MOT,co
46,MOT,co
46,MOT,co
47,MOT,co
47,MOT,co
47,MOT,co
47,MOT,co
48,MOT,co
48,MOT,co
48,MOT,co
48,MOT,co
49,MOT,co
49,MOT,co
49,MOT,co
49,MOT,co
49,MOT,!
50,MOT,co
50,MOT,co
50,MOT,co
50,MOT,co
51,MOT,co
51,MOT,co
51,MOT,co
51,MOT,co
52,MOT,aux
52,MOT,pro:per
52,MOT,part
52,MOT,pro:per
52,MOT,?
53,MOT,aux
53,MOT,pro:per
53,MOT,part
53,MOT,pro:per
53,MOT,?
54,MOT,aux
54,MOT,pro:per
54,MOT,part
54,MOT,pro:per
55,MOT,adj
55,MOT,n
55,MOT,?
56,MOT,adj
56,MOT,n
56,MOT,?
57,MOT,adj
57,MOT,n
58,MOT,co
58,MOT,adj
59,MOT,co
59,MOT,adj
60,MOT,co
60,MOT,adj
61,MOT,cop
61,MOT,pro:dem
61,MOT,adj
61,MOT,?
62,MOT,cop
62,MOT,pro:dem
62,MOT,adj
62,MOT,?
63,MOT,cop
63,MOT,pro:dem
63,MOT,adj
64,MOT,co
64,MOT,pro:dem
64,MOT,cop
64,MOT,n
65,MOT,co
65,MOT,pro:dem
65,MOT,cop
65,MOT,n
66,MOT,co
66,MOT,pro:dem
66,MOT,cop
66,MOT,n
67,MOT,pro:per
67,MOT,v
67,MOT,pro:dem
68,MOT,pro:per
68,MOT,v
68,MOT,pro:dem
69,MOT,pro:per
69,MOT,v
69,MOT,pro:dem
70,MOT,co
71,MOT,co
72,MOT,co
73,MOT,cop
73,MOT,pro:dem
73,MOT,adv
73,MOT,?
74,MOT,cop
74,MOT,pro:dem
74,MOT,adv
74,MOT,?
75,MOT,cop
75,MOT,pro:dem
75,MOT,adv
76,CHI,co
77,CHI,co
78,CHI,co
79,MOT,co
79,MOT,adj
80,MOT,co
80,MOT,adj
81,MOT,co
81,MOT,adj
82,MOT,v
82,MOT,prep
82,MOT,pro:dem
83,MOT,v
83,MOT,prep
83,MOT,pro:dem
84,MOT,v
84,MOT,prep
84,MOT,pro:dem
85,MOT,qn
85,MOT,n
86,MOT,qn
86,MOT,n
87,MOT,qn
87,MOT,n
88,MOT,coord
88,MOT,pro:per
88,MOT,v
88,MOT,qn
88,MOT,n
89,MOT,coord
89,MOT,pro:per
89,MOT,v
89,MOT,qn
89,MOT,n
90,MOT,coord
90,MOT,pro:per
90,MOT,v
90,MOT,qn
90,MOT,n
91,MOT,v
91,MOT,prep
91,MOT,adv
91,MOT,n:prop
91,MOT,det:art
91,MOT,n
91,MOT,n
91,MOT,n
92,MOT,v
92,MOT,prep
92,MOT,adv
92,MOT,n:prop
92,MOT,det:art
92,MOT,n
92,MOT,n
92,MOT,n
93,MOT,v
93,MOT,prep
93,MOT,adv
93,MOT,n:prop
93,MOT,det:art
93,MOT,n
93,MOT,n
93,MOT,n
94,MOT,n:prop
94,MOT,n
94,MOT,det:dem
95,MOT,n:prop
95,MOT,n
95,MOT,det:dem
96,MOT,n:prop
96,MOT,n
96,MOT,det:dem
97,MOT,mod
97,MOT,pro:dem
97,MOT,co
97,MOT,co
97,MOT,n
97,MOT,?
98,MOT,mod
98,MOT,pro:dem
98,MOT,co
98,MOT,co
98,MOT,n
98,MOT,?
99,MOT,mod
99,MOT,pro:dem
99,MOT,co
99,MOT,co
99,MOT,n
100,MOT,co
100,MOT,co
100,MOT,!
101,MOT,co
101,MOT,co
102,MOT,co
102,MOT,co
103,MOT,v
103,MOT,prep
103,MOT,pro:dem
103,MOT,!
104,MOT,v
104,MOT,prep
104,MOT,pro:dem
105,MOT,v
105,MOT,prep
105,MOT,pro:dem
106,MOT,co
106,MOT,pro:per
106,MOT,v
106,MOT,pro:obj
106,MOT,?
107,MOT,co
107,MOT,pro:per
107,MOT,v
107,MOT,pro:obj
107,MOT,?
108,MOT,co
108,MOT,pro:per
108,MOT,v
108,MOT,pro:obj
