Turn,Speaker,POS
1,MOT,det:num
1,MOT,det:num
1,MOT,det:num
1,MOT,det:num
1,MOT,n:let
1,MOT,n:let
2,MOT,det:num
2,MOT,det:num
2,MOT,det:num
2,MOT,det:num
2,MOT,n:let
2,MOT,n:let
3,MOT,det:num
3,MOT,det:num
3,MOT,det:num
3,MOT,det:num
3,MOT,n:let
3,MOT,n:let
4,MOT,pro:int
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,adv
4,MOT,n:prop
4,MOT,?
5,MOT,pro:int
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,adv
5,MOT,n:prop
5,MOT,?
6,MOT,pro:int
6,MOT,mod
6,MOT,pro:per
6,MOT,v
6,MOT,adv
6,MOT,n:prop
7,MOT,co
7,MOT,pro:per
7,MOT,mod
7,MOT,v
7,MOT,pro:dem
7,MOT,prep
8,MOT,co
8,MOT,pro:per
8,MOT,mod
8,MOT,v
8,MOT,pro:dem
8,MOT,prep
9,MOT,co
9,MOT,pro:per
9,MOT,mod
9,MOT,v
9,MOT,pro:dem
9,MOT,prep
10,MOT,conj
10,MOT,pro:per
10,MOT,v
10,MOT,v
10,MOT,pro:per
10,MOT,conj
11,MOT,conj
11,MOT,pro:per
11,MOT,v
11,MOT,v
11,MOT,pro:per
11,MOT,conj
12,MOT,conj
12,MOT,pro:per
12,MOT,v
12,MOT,v
12,MOT,pro:per
12,MOT,conj
13,MOT,pro:int
13,MOT,post
13,MOT,pro:per
13,MOT,v
13,MOT,prep
13,MOT,n
13,MOT,?
14,MOT,pro:int
14,MOT,post
14,MOT,pro:per
14,MOT,v
14,MOT,prep
14,MOT,n
14,MOT,?
15,MOT,pro:int
15,MOT,post
15,MOT,pro:per
15,MOT,v
15,MOT,prep
15,MOT,n
16,MOT,co
16,MOT,n
17,MOT,co
17,MOT,n
18,MOT,co
18,MOT,n
19,MOT,co
19,MOT,v
19,MOT,pro:per
20,MOT,co
20,MOT,v
20,MOT,pro:per
21,MOT,co
21,MOT,v
21,MOT,pro:per
22,MOT,pro:per
22,MOT,mod
22,MOT,v
22,MOT,v
23,MOT,pro:per
23,MOT,mod
23,MOT,v
23,MOT,v
24,MOT,pro:per
24,MOT,mod
24,MOT,v
24,MOT,v
25,MOT,pro:per
25,MOT,mod
25,MOT,v
25,MOT,det:art
25,MOT,n
26,MOT,pro:per
26,MOT,mod
26,MOT,v
26,MOT,det:art
26,MOT,n
27,MOT,pro:per
27,MOT,mod
27,MOT,v
27,MOT,det:art
27,MOT,n
28,MOT,pro:per
28,MOT,det:art
28,MOT,adj
28,MOT,n
29,MOT,pro:per
29,MOT,det:art
29,MOT,adj
29,MOT,n
30,MOT,pro:per
30,MOT,det:art
30,MOT,adj
30,MOT,n
31,MOT,v
31,MOT,v
31,MOT,det:art
31,MOT,n
31,MOT,?
32,MOT,v
32,MOT,v
32,MOT,det:art
32,MOT,n
32,MOT,?
33,MOT,v
33,MOT,v
33,MOT,det:art
33,MOT,n
34,MOT,co
34,MOT,pro:dem
34,MOT,det:art
34,MOT,adj
34,MOT,n
34,MOT,pro:per
35,MOT,co
35,MOT,pro:dem
35,MOT,det:art
35,MOT,adj
35,MOT,n
35,MOT,pro:per
36,MOT,co
36,MOT,pro:dem
36,MOT,det:art
36,MOT,adj
36,MOT,n
36,MOT,pro:per
37,MOT,v
37,MOT,pro:int
37,MOT,pro:per
37,MOT,cop
37,MOT,!
38,MOT,v
38,MOT,pro:int
38,MOT,pro:per
38,MOT,cop
39,MOT,v
39,MOT,pro:int
39,MOT,pro:per
39,MOT,cop
40,MOT,pro:per
40,MOT,n:prop
40,MOT,!
41,MOT,pro:per
41,MOT,n:prop
42,MOT,pro:per
42,MOT,n:prop
43,MOT,co
44,MOT,co
45,MOT,co
46,MOT,co
47,MOT,co
48,MOT,co
49,MOT,co
49,MOT,pro:per
49,MOT,n:prop
49,MOT,coord
49,MOT,n:prop
49,MOT,!
50,MOT,co
50,MOT,pro:per
50,MOT,n:prop
50,MOT,coord
50,MOT,n:prop
51,MOT,co
51,MOT,pro:per
51,MOT,n:prop
51,MOT,coord
51,MOT,n:prop
52,MOT,on
53,MOT,on
54,MOT,on
55,MOT,on
56,MOT,on
57,MOT,on
58,MOT,pro:sub
58,MOT,mod
58,MOT,v
58,MOT,prep
58,MOT,det:dem
59,MOT,pro:sub
59,MOT,mod
59,MOT,v
59,MOT,prep
59,MOT,det:dem
60,MOT,pro:sub
60,MOT,mod
60,MOT,v
60,MOT,prep
60,MOT,det:dem
61,MOT,co
61,MOT,pro:sub
61,MOT,v
61,MOT,pro:per
61,MOT,adv
62,MOT,co
62,MOT,pro:sub
62,MOT,v
62,MOT,pro:per
62,MOT,adv
63,MOT,co
63,MOT,pro:sub
63,MOT,v
63,MOT,pro:per
63,MOT,adv
64,MOT,pro:dem
64,MOT,cop
64,MOT,adv
64,MOT,co
64,MOT,det:poss
64,MOT,n
65,MOT,pro:dem
65,MOT,cop
65,MOT,adv
65,MOT,co
65,MOT,det:poss
65,MOT,n
66,MOT,pro:dem
66,MOT,cop
66,MOT,adv
66,MOT,co
66,MOT,det:poss
66,MOT,n
67,MOT,pro:int
67,MOT,post
67,MOT,pro:per
67,MOT,v
67,MOT,adv
67,MOT,?
68,MOT,pro:int
68,MOT,post
