Turn,Speaker,POS
1,MOT,co
1,MOT,pro:sub
1,MOT,part
1,MOT,v
2,MOT,co
2,MOT,pro:sub
2,MOT,part
2,MOT,v
3,MOT,co
3,MOT,pro:sub
3,MOT,part
3,MOT,v
4,MOT,conj
4,MOT,neg
4,MOT,adv
5,MOT,conj
5,MOT,neg
5,MOT,adv
6,MOT,conj
6,MOT,neg
6,MOT,adv
7,EXP,n
7,EXP,det:num
7,EXP,det:num
7,EXP,det:num
7,EXP,det:num
8,EXP,n
8,EXP,det:num
8,EXP,det:num
8,EXP,det:num
8,EXP,det:num
9,EXP,n
9,EXP,det:num
9,EXP,det:num
9,EXP,det:num
9,EXP,det:num
10,EXP,n:let
10,EXP,n:let
11,EXP,n:let
11,EXP,n:let
12,EXP,n:let
12,EXP,n:let
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,v
16,MOT,prep
16,MOT,pro:per
16,MOT,v
16,MOT,det:art
16,MOT,n
17,MOT,v
17,MOT,prep
17,MOT,pro:per
17,MOT,v
17,MOT,det:art
17,MOT,n
18,MOT,v
18,MOT,prep
18,MOT,pro:per
18,MOT,v
18,MOT,det:art
18,MOT,n
19,MOT,co
19,MOT,pro:int
19,MOT,pro:dem
19,MOT,?
20,MOT,co
20,MOT,pro:int
20,MOT,pro:dem
20,MOT,?
21,MOT,co
21,MOT,pro:int
21,MOT,pro:dem
22,MOT,v
22,MOT,pro:per
23,MOT,v
23,MOT,pro:per
24,MOT,v
24,MOT,pro:per
25,MOT,v
25,MOT,pro:per
26,MOT,v
26,MOT,pro:per
27,MOT,v
27,MOT,pro:per
28,MOT,co
28,MOT,?
29,MOT,co
29,MOT,?
30,MOT,co
31,MOT,cop
31,MOT,comp
31,MOT,det:art
31,MOT,n
31,MOT,?
32,MOT,cop
32,MOT,comp
32,MOT,det:art
32,MOT,n
32,MOT,?
33,MOT,cop
33,MOT,comp
33,MOT,det:art
33,MOT,n
34,MOT,v
34,MOT,pro:per
35,MOT,v
35,MOT,pro:per
36,MOT,v
36,MOT,pro:per
37,MOT,pro:int
37,MOT,pro:per
37,MOT,part
37,MOT,n
37,MOT,?
38,MOT,pro:int
38,MOT,pro:per
38,MOT,part
38,MOT,n
38,MOT,?
39,MOT,pro:int
39,MOT,pro:per
39,MOT,part
39,MOT,n
40,MOT,pro:int
40,MOT,pro:dem
40,MOT,?
41,MOT,pro:int
41,MOT,pro:dem
41,MOT,?
42,MOT,pro:int
42,MOT,pro:dem
43,MOT,n
43,MOT,n
43,MOT,?
44,MOT,n
44,MOT,n
44,MOT,?
45,MOT,n
45,MOT,n
46,MOT,co
46,MOT,pro:per
46,MOT,mod
46,MOT,v
46,MOT,prep
46,MOT,n
47,MOT,co
47,MOT,pro:per
47,MOT,mod
47,MOT,v
47,MOT,prep
47,MOT,n
48,MOT,co
48,MOT,pro:per
48,MOT,mod
48,MOT,v
48,MOT,prep
48,MOT,n
49,MOT,pro:exist
49,MOT,det:art
49,MOT,n
50,MOT,pro:exist
50,MOT,det:art
50,MOT,n
51,MOT,pro:exist
51,MOT,det:art
51,MOT,n
52,MOT,mod
52,MOT,pro:per
52,MOT,v
52,MOT,det:art
52,MOT,n
52,MOT,prep
53,MOT,mod
53,MOT,pro:per
53,MOT,v
53,MOT,det:art
53,MOT,n
53,MOT,prep
54,MOT,mod
54,MOT,pro:per
54,MOT,v
54,MOT,det:art
54,MOT,n
54,MOT,prep
55,MOT,mod
55,MOT,pro:per
55,MOT,v
55,MOT,n:prop
55,MOT,det:art
55,MOT,n
55,MOT,?
56,MOT,mod
56,MOT,pro:per
56,MOT,v
56,MOT,n:prop
56,MOT,det:art
56,MOT,n
56,MOT,?
57,MOT,mod
57,MOT,pro:per
57,MOT,v
57,MOT,n:prop
