Turn,Speaker,POS
1,MOT,n:prop
1,MOT,adj
1,MOT,adj
2,MOT,n:prop
2,MOT,adj
2,MOT,adj
3,MOT,n:prop
3,MOT,adj
3,MOT,adj
4,EXP,pro:sub
4,EXP,adv
4,EXP,part
4,EXP,inf
4,EXP,v
4,EXP,det:art
5,EXP,pro:sub
5,EXP,adv
5,EXP,part
5,EXP,inf
5,EXP,v
5,EXP,det:art
6,EXP,pro:sub
6,EXP,adv
6,EXP,part
6,EXP,inf
6,EXP,v
6,EXP,det:art
7,EXP,prep
7,EXP,det:art
7,EXP,n
8,EXP,prep
8,EXP,det:art
8,EXP,n
9,EXP,prep
9,EXP,det:art
9,EXP,n
10,EXP,adv:tem
10,EXP,cop
10,EXP,n
10,EXP,n:prop
10,EXP,n
11,EXP,adv:tem
11,EXP,cop
11,EXP,n
11,EXP,n:prop
11,EXP,n
12,EXP,adv:tem
12,EXP,cop
12,EXP,n
12,EXP,n:prop
12,EXP,n
13,MOT,pro:sub
13,MOT,v
13,MOT,co
14,MOT,pro:sub
14,MOT,v
14,MOT,co
15,MOT,pro:sub
15,MOT,v
15,MOT,co
16,MOT,pro:sub
16,MOT,v
16,MOT,det:art
16,MOT,n
17,MOT,pro:sub
17,MOT,v
17,MOT,det:art
17,MOT,n
18,MOT,pro:sub
18,MOT,v
18,MOT,det:art
18,MOT,n
19,MOT,det:num
19,MOT,adj
19,MOT,adj
19,MOT,n
19,MOT,part
19,MOT,n
20,MOT,det:num
20,MOT,adj
20,MOT,adj
20,MOT,n
20,MOT,part
20,MOT,n
21,MOT,det:num
21,MOT,adj
21,MOT,adj
21,MOT,n
21,MOT,part
21,MOT,n
22,MOT,det:num
22,MOT,adj
22,MOT,n
23,MOT,det:num
23,MOT,adj
23,MOT,n
24,MOT,det:num
24,MOT,adj
24,MOT,n
25,MOT,det:num
25,MOT,adj
25,MOT,n
25,MOT,part
25,MOT,prep
26,MOT,det:num
26,MOT,adj
26,MOT,n
26,MOT,part
26,MOT,prep
27,MOT,det:num
27,MOT,adj
27,MOT,n
27,MOT,part
27,MOT,prep
28,MOT,pro:int
28,MOT,qn
28,MOT,n
28,MOT,cop
28,MOT,adv
28,MOT,?
29,MOT,pro:int
29,MOT,qn
29,MOT,n
29,MOT,cop
29,MOT,adv
29,MOT,?
30,MOT,pro:int
30,MOT,qn
30,MOT,n
30,MOT,cop
30,MOT,adv
31,CHI,det:num
31,CHI,det:num
31,CHI,det:num
31,CHI,det:num
31,CHI,det:num
32,CHI,det:num
32,CHI,det:num
32,CHI,det:num
32,CHI,det:num
32,CHI,det:num
33,CHI,det:num
33,CHI,det:num
33,CHI,det:num
33,CHI,det:num
33,CHI,det:num
34,MOT,co
35,MOT,co
36,MOT,co
37,MOT,pro:exist
37,MOT,det:num
38,MOT,pro:exist
38,MOT,det:num
39,MOT,pro:exist
39,MOT,det:num
40,MOT,det:num
40,MOT,det:num
40,MOT,det:num
41,MOT,det:num
41,MOT,det:num
