Turn,Speaker,POS
1,EXP,pro:dem
1,EXP,cop
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,pro:dem
2,EXP,cop
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,pro:dem
3,EXP,cop
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,MOT,co
5,MOT,co
6,MOT,co
7,MOT,pro:sub
7,MOT,v
7,MOT,pro:int
7,MOT,inf
7,MOT,v
8,MOT,pro:sub
8,MOT,v
8,MOT,pro:int
8,MOT,inf
8,MOT,v
9,MOT,pro:sub
9,MOT,v
9,MOT,pro:int
9,MOT,inf
9,MOT,v
10,MOT,pro:int
10,MOT,mod
10,MOT,pro:per
10,MOT,v
10,MOT,n
10,MOT,?
11,MOT,pro:int
11,MOT,mod
11,MOT,pro:per
11,MOT,v
11,MOT,n
11,MOT,?
12,MOT,pro:int
12,MOT,mod
12,MOT,pro:per
12,MOT,v
12,MOT,n
13,MOT,pro:int
13,MOT,mod
13,MOT,pro:per
13,MOT,v
13,MOT,?
14,MOT,pro:int
14,MOT,mod
14,MOT,pro:per
14,MOT,v
14,MOT,?
15,MOT,pro:int
15,MOT,mod
15,MOT,pro:per
15,MOT,v
16,MOT,pro:dem
16,MOT,neg
16,MOT,prep
16,MOT,n
16,MOT,prep
17,MOT,pro:dem
17,MOT,neg
17,MOT,prep
17,MOT,n
17,MOT,prep
18,MOT,pro:dem
18,MOT,neg
18,MOT,prep
18,MOT,n
18,MOT,prep
19,MOT,pro:dem
19,MOT,cop
19,MOT,inf
19,MOT,v
19,MOT,prep
20,MOT,pro:dem
20,MOT,cop
20,MOT,inf
20,MOT,v
20,MOT,prep
21,MOT,pro:dem
21,MOT,cop
21,MOT,inf
21,MOT,v
21,MOT,prep
22,MOT,v
22,MOT,pro:int
22,MOT,pro:per
22,MOT,part
22,MOT,v
22,MOT,?
23,MOT,v
23,MOT,pro:int
23,MOT,pro:per
23,MOT,part
23,MOT,v
23,MOT,?
24,MOT,v
