Turn,Speaker,POS
1,EXP,pro:dem
1,EXP,cop
1,EXP,n
1,EXP,det:num
1,EXP,det:num
2,EXP,pro:dem
2,EXP,cop
2,EXP,n
2,EXP,det:num
2,EXP,det:num
3,EXP,pro:dem
3,EXP,cop
3,EXP,n
3,EXP,det:num
3,EXP,det:num
4,mor,adv
4,mor,pro:sub
4,mor,part
4,mor,v
4,mor,comp
5,mor,adv
5,mor,pro:sub
5,mor,part
5,mor,v
5,mor,comp
6,mor,adv
6,mor,pro:sub
6,mor,part
6,mor,v
6,mor,comp
7,MOT,pro:int
7,MOT,post
7,MOT,v
7,MOT,pro:per
7,MOT,v
7,MOT,?
8,MOT,pro:int
8,MOT,post
8,MOT,v
8,MOT,pro:per
8,MOT,v
8,MOT,?
9,MOT,pro:int
9,MOT,post
9,MOT,v
9,MOT,pro:per
9,MOT,v
10,MOT,v
10,MOT,v
10,MOT,det:art
10,MOT,fam
11,MOT,v
11,MOT,v
11,MOT,det:art
11,MOT,fam
12,MOT,v
12,MOT,v
12,MOT,det:art
12,MOT,fam
13,MOT,v
13,MOT,adj
13,MOT,n
14,MOT,v
14,MOT,adj
14,MOT,n
15,MOT,v
15,MOT,adj
15,MOT,n
16,MOT,pro:int
16,MOT,post
16,MOT,v
16,MOT,pro:per
16,MOT,v
16,MOT,v
17,MOT,pro:int
17,MOT,post
17,MOT,v
17,MOT,pro:per
17,MOT,v
17,MOT,v
18,MOT,pro:int
18,MOT,post
18,MOT,v
18,MOT,pro:per
18,MOT,v
18,MOT,v
19,MOT,det:art
19,MOT,n
19,MOT,?
20,MOT,det:art
20,MOT,n
20,MOT,?
21,MOT,det:art
21,MOT,n
22,MOT,coord
22,MOT,n
23,MOT,coord
23,MOT,n
24,MOT,coord
24,MOT,n
25,MOT,n
26,MOT,n
27,MOT,n
28,MOT,co
28,MOT,v
28,MOT,pro:per
29,MOT,co
29,MOT,v
29,MOT,pro:per
30,MOT,co
30,MOT,v
30,MOT,pro:per
31,MOT,pro:per
31,MOT,v
