Turn,Speaker,POS
1,MOT,v
1,MOT,pro:per
2,MOT,v
2,MOT,pro:per
3,MOT,v
3,MOT,pro:per
4,MOT,co
5,MOT,co
6,MOT,co
7,MOT,v
7,MOT,pro:per
8,MOT,v
8,MOT,pro:per
9,MOT,v
9,MOT,pro:per
10,MOT,cop
10,MOT,comp
10,MOT,det:art
10,MOT,n
10,MOT,?
11,MOT,cop
11,MOT,comp
11,MOT,det:art
11,MOT,n
11,MOT,?
12,MOT,cop
12,MOT,comp
12,MOT,det:art
12,MOT,n
13,MOT,pro:dem
13,MOT,neg
13,MOT,prep
13,MOT,n:prop
14,MOT,pro:dem
14,MOT,neg
14,MOT,prep
14,MOT,n:prop
15,MOT,pro:dem
15,MOT,neg
15,MOT,prep
15,MOT,n:prop
16,MOT,pro:dem
16,MOT,adj
17,MOT,pro:dem
17,MOT,adj
18,MOT,pro:dem
18,MOT,adj
19,MOT,pro:dem
19,MOT,conj
19,MOT,adj
20,MOT,pro:dem
20,MOT,conj
20,MOT,adj
21,MOT,pro:dem
21,MOT,conj
21,MOT,adj
22,CHI,co
23,CHI,co
24,CHI,co
25,MOT,pro:per
25,MOT,mod
25,MOT,v
25,MOT,prep
25,MOT,qn
25,MOT,det:art
25,MOT,n
26,MOT,pro:per
26,MOT,mod
26,MOT,v
26,MOT,prep
26,MOT,qn
26,MOT,det:art
26,MOT,n
27,MOT,pro:per
27,MOT,mod
27,MOT,v
27,MOT,prep
27,MOT,qn
27,MOT,det:art
27,MOT,n
28,MOT,adv
28,MOT,?
29,MOT,adv
29,MOT,?
30,MOT,adv
31,MOT,pro:per
31,MOT,v
31,MOT,pro:int
31,MOT,v
31,MOT,prep
31,MOT,det:art
31,MOT,n
31,MOT,?
32,MOT,pro:per
32,MOT,v
32,MOT,pro:int
32,MOT,v
32,MOT,prep
32,MOT,det:art
32,MOT,n
32,MOT,?
33,MOT,pro:per
33,MOT,v
33,MOT,pro:int
33,MOT,v
33,MOT,prep
33,MOT,det:art
33,MOT,n
34,MOT,n
34,MOT,v
34,MOT,pro:per
35,MOT,n
35,MOT,v
35,MOT,pro:per
36,MOT,n
36,MOT,v
36,MOT,pro:per
37,MOT,pro:dem
38,MOT,pro:dem
39,MOT,pro:dem
40,MOT,co
41,MOT,co
42,MOT,co
43,MOT,adv
43,MOT,pro:int
43,MOT,mod
43,MOT,pro:per
44,MOT,adv
44,MOT,pro:int
44,MOT,mod
44,MOT,pro:per
45,MOT,adv
45,MOT,pro:int
45,MOT,mod
45,MOT,pro:per
46,MOT,mod
46,MOT,pro:per
46,MOT,v
46,MOT,n
46,MOT,det:art
46,MOT,n
46,MOT,prep
47,MOT,mod
47,MOT,pro:per
47,MOT,v
