Turn,Speaker,POS
1,MOT,pro:per
1,MOT,v
1,MOT,det:art
1,MOT,n
1,MOT,?
2,MOT,pro:per
2,MOT,v
2,MOT,det:art
2,MOT,n
2,MOT,?
3,MOT,pro:per
3,MOT,v
3,MOT,det:art
3,MOT,n
4,MOT,cop
4,MOT,comp
4,MOT,det:art
4,MOT,n
4,MOT,?
5,MOT,cop
5,MOT,comp
5,MOT,det:art
5,MOT,n
5,MOT,?
6,MOT,cop
6,MOT,comp
6,MOT,det:art
6,MOT,n
7,MOT,n
8,MOT,n
9,MOT,n
10,MOT,adj
10,MOT,n
11,MOT,adj
11,MOT,n
12,MOT,adj
12,MOT,n
13,MOT,pro:int
13,MOT,det:art
13,MOT,n
13,MOT,?
14,MOT,pro:int
14,MOT,det:art
14,MOT,n
14,MOT,?
15,MOT,pro:int
15,MOT,det:art
15,MOT,n
16,MOT,pro:int
16,MOT,det:art
16,MOT,n
16,MOT,?
17,MOT,pro:int
17,MOT,det:art
17,MOT,n
17,MOT,?
18,MOT,pro:int
18,MOT,det:art
18,MOT,n
19,MOT,v
19,MOT,pro:exist
19,MOT,det:art
19,MOT,n
20,MOT,v
20,MOT,pro:exist
20,MOT,det:art
20,MOT,n
21,MOT,v
21,MOT,pro:exist
21,MOT,det:art
21,MOT,n
22,MOT,pro:int
22,MOT,det:art
22,MOT,n
22,MOT,?
23,MOT,pro:int
23,MOT,det:art
23,MOT,n
23,MOT,?
24,MOT,pro:int
24,MOT,det:art
24,MOT,n
25,MOT,pro:int
25,MOT,det:art
25,MOT,n
25,MOT,?
26,MOT,pro:int
26,MOT,det:art
26,MOT,n
26,MOT,?
27,MOT,pro:int
27,MOT,det:art
27,MOT,n
28,MOT,pro:dem
28,MOT,det:art
28,MOT,n
28,MOT,co
28,MOT,?
29,MOT,pro:dem
29,MOT,det:art
29,MOT,n
29,MOT,co
29,MOT,?
30,MOT,pro:dem
30,MOT,det:art
30,MOT,n
30,MOT,co
31,MOT,pro:dem
31,MOT,neg
31,MOT,det:art
31,MOT,n
32,MOT,pro:dem
32,MOT,neg
32,MOT,det:art
32,MOT,n
33,MOT,pro:dem
33,MOT,neg
33,MOT,det:art
33,MOT,n
34,MOT,pro:dem
34,MOT,n
35,MOT,pro:dem
35,MOT,n
36,MOT,pro:dem
36,MOT,n
37,MOT,pro:dem
37,MOT,neg
37,MOT,det:art
37,MOT,n
38,MOT,pro:dem
38,MOT,neg
38,MOT,det:art
38,MOT,n
39,MOT,pro:dem
39,MOT,neg
39,MOT,det:art
39,MOT,n
40,MOT,pro:dem
40,MOT,det:art
40,MOT,n
40,MOT,!
41,MOT,pro:dem
41,MOT,det:art
41,MOT,n
42,MOT,pro:dem
42,MOT,det:art
42,MOT,n
43,MOT,cop
43,MOT,comp
43,MOT,det:poss
43,MOT,n
43,MOT,?
44,MOT,cop
44,MOT,comp
44,MOT,det:poss
44,MOT,n
44,MOT,?
45,MOT,cop
45,MOT,comp
45,MOT,det:poss
45,MOT,n
46,MOT,co
46,MOT,adj
46,MOT,?
47,MOT,co
47,MOT,adj
47,MOT,?
48,MOT,co
48,MOT,adj
49,MOT,pro:int
49,MOT,det:art
49,MOT,n
49,MOT,n
49,MOT,?
50,MOT,pro:int
50,MOT,det:art
50,MOT,n
50,MOT,n
50,MOT,?
51,MOT,pro:int
51,MOT,det:art
51,MOT,n
51,MOT,n
52,MOT,mod
52,MOT,pro:per
52,MOT,v
52,MOT,n
52,MOT,n
52,MOT,?
53,MOT,mod
53,MOT,pro:per
53,MOT,v
53,MOT,n
53,MOT,n
53,MOT,?
54,MOT,mod
54,MOT,pro:per
54,MOT,v
54,MOT,n
54,MOT,n
55,MOT,pro:sub
55,MOT,v
55,MOT,n
55,MOT,n
55,MOT,adv
55,MOT,n
55,MOT,co
55,MOT,?
56,MOT,pro:sub
56,MOT,v
56,MOT,n
56,MOT,n
56,MOT,adv
56,MOT,n
56,MOT,co
56,MOT,?
57,MOT,pro:sub
57,MOT,v
57,MOT,n
57,MOT,n
57,MOT,adv
57,MOT,n
57,MOT,co
58,MOT,co
58,MOT,pro:per
58,MOT,v
58,MOT,det:art
58,MOT,n
58,MOT,?
59,MOT,co
59,MOT,pro:per
59,MOT,v
59,MOT,det:art
59,MOT,n
59,MOT,?
60,MOT,co
60,MOT,pro:per
60,MOT,v
60,MOT,det:art
60,MOT,n
61,MOT,co
61,MOT,pro:per
61,MOT,adj
61,MOT,prep
61,MOT,det:art
62,MOT,co
62,MOT,pro:per
62,MOT,adj
62,MOT,prep
62,MOT,det:art
63,MOT,co
63,MOT,pro:per
63,MOT,adj
63,MOT,prep
63,MOT,det:art
64,MOT,co
64,MOT,n
65,MOT,co
65,MOT,n
66,MOT,co
66,MOT,n
67,MOT,v
67,MOT,det:art
67,MOT,n
67,MOT,co
67,MOT,?
68,MOT,v
68,MOT,det:art
68,MOT,n
68,MOT,co
68,MOT,?
69,MOT,v
69,MOT,det:art
69,MOT,n
69,MOT,co
70,MOT,n
71,MOT,n
72,MOT,n
73,MOT,pro:sub
73,MOT,v
73,MOT,det:dem
73,MOT,prep
73,MOT,det:art
73,MOT,n
74,MOT,pro:sub
74,MOT,v
74,MOT,det:dem
74,MOT,prep
74,MOT,det:art
74,MOT,n
75,MOT,pro:sub
75,MOT,v
75,MOT,det:dem
75,MOT,prep
75,MOT,det:art
75,MOT,n
76,MOT,n
76,MOT,prep
76,MOT,n
77,MOT,n
77,MOT,prep
77,MOT,n
78,MOT,n
78,MOT,prep
78,MOT,n
79,MOT,adj
79,MOT,!
80,MOT,adj
81,MOT,adj
82,MOT,mod
82,MOT,pro:per
82,MOT,v
82,MOT,det:art
82,MOT,adj
82,MOT,prep
83,MOT,mod
83,MOT,pro:per
83,MOT,v
83,MOT,det:art
83,MOT,adj
83,MOT,prep
84,MOT,mod
84,MOT,pro:per
84,MOT,v
84,MOT,det:art
84,MOT,adj
84,MOT,prep
85,MOT,n:prop
85,MOT,mod
85,MOT,co
85,MOT,adv
85,MOT,co
85,MOT,?
86,MOT,n:prop
86,MOT,mod
86,MOT,co
86,MOT,adv
86,MOT,co
86,MOT,?
87,MOT,n:prop
87,MOT,mod
87,MOT,co
87,MOT,adv
87,MOT,co
88,MOT,n
88,MOT,mod
88,MOT,prep
88,MOT,pro:dem
88,MOT,mod
89,MOT,n
89,MOT,mod
89,MOT,prep
89,MOT,pro:dem
89,MOT,mod
90,MOT,n
90,MOT,mod
90,MOT,prep
90,MOT,pro:dem
90,MOT,mod
91,MOT,cop
91,MOT,pro:dem
91,MOT,prep
91,MOT,n:prop
91,MOT,?
92,MOT,cop
92,MOT,pro:dem
92,MOT,prep
92,MOT,n:prop
92,MOT,?
93,MOT,cop
93,MOT,pro:dem
93,MOT,prep
93,MOT,n:prop
94,MOT,cop
94,MOT,pro:dem
94,MOT,prep
94,MOT,n:prop
94,MOT,?
95,MOT,cop
95,MOT,pro:dem
95,MOT,prep
95,MOT,n:prop
95,MOT,?
96,MOT,cop
96,MOT,pro:dem
96,MOT,prep
96,MOT,n:prop
97,MOT,pro:per
97,MOT,mod
97,MOT,v
97,MOT,adv
97,MOT,prep
97,MOT,n:prop
98,MOT,pro:per
98,MOT,mod
98,MOT,v
98,MOT,adv
98,MOT,prep
98,MOT,n:prop
99,MOT,pro:per
99,MOT,mod
99,MOT,v
99,MOT,adv
99,MOT,prep
99,MOT,n:prop
100,MOT,pro:sub
100,MOT,v
100,MOT,det:art
100,MOT,adj
101,MOT,pro:sub
101,MOT,v
101,MOT,det:art
101,MOT,adj
102,MOT,pro:sub
102,MOT,v
102,MOT,det:art
102,MOT,adj
103,MOT,mod
103,MOT,pro:per
103,MOT,v
103,MOT,det:art
103,MOT,adj
103,MOT,?
104,MOT,mod
104,MOT,pro:per
104,MOT,v
104,MOT,det:art
104,MOT,adj
104,MOT,?
105,MOT,mod
105,MOT,pro:per
105,MOT,v
105,MOT,det:art
105,MOT,adj
106,MOT,pro:int
106,MOT,det:art
106,MOT,adj
106,MOT,?
107,MOT,pro:int
107,MOT,det:art
107,MOT,adj
107,MOT,?
108,MOT,pro:int
108,MOT,det:art
108,MOT,adj
109,MOT,pro:int
109,MOT,det:art
109,MOT,adj
109,MOT,?
110,MOT,pro:int
110,MOT,det:art
110,MOT,adj
110,MOT,?
111,MOT,pro:int
111,MOT,det:art
111,MOT,adj
112,MOT,co
112,MOT,pro:dem
112,MOT,det:art
112,MOT,+/
113,MOT,co
113,MOT,pro:dem
113,MOT,det:art
113,MOT,+/
114,MOT,co
114,MOT,pro:dem
114,MOT,det:art
114,MOT,+/
115,MOT,pro:dem
115,MOT,+/
116,MOT,pro:dem
116,MOT,+/
117,MOT,pro:dem
117,MOT,+/
118,MOT,pro:sub
118,MOT,mod
118,MOT,pro:int
118,MOT,cop
118,MOT,pro:dem
119,MOT,pro:sub
119,MOT,mod
119,MOT,pro:int
119,MOT,cop
119,MOT,pro:dem
120,MOT,pro:sub
120,MOT,mod
120,MOT,pro:int
120,MOT,cop
120,MOT,pro:dem
121,MOT,pro:exist
121,MOT,det:art
121,MOT,n
122,MOT,pro:exist
122,MOT,det:art
122,MOT,n
123,MOT,pro:exist
123,MOT,det:art
123,MOT,n
124,MOT,co
124,MOT,?
125,MOT,co
125,MOT,?
126,MOT,co
127,MOT,pro:exist
127,MOT,neg
127,MOT,det:art
127,MOT,n
127,MOT,?
128,MOT,pro:exist
128,MOT,neg
128,MOT,det:art
128,MOT,n
128,MOT,?
129,MOT,pro:exist
129,MOT,neg
129,MOT,det:art
129,MOT,n
130,MOT,co
130,MOT,pro:int
130,MOT,prep
130,MOT,n
130,MOT,?
131,MOT,co
131,MOT,pro:int
131,MOT,prep
131,MOT,n
131,MOT,?
132,MOT,co
132,MOT,pro:int
132,MOT,prep
132,MOT,n
133,MOT,cop
133,MOT,adv
133,MOT,det:art
133,MOT,fam
133,MOT,prep
