Turn,Speaker,POS
1,MOT,co
1,MOT,!
2,MOT,co
3,MOT,co
4,MOT,pro:int
4,MOT,pro:dem
4,MOT,?
5,MOT,pro:int
5,MOT,pro:dem
5,MOT,?
6,MOT,pro:int
6,MOT,pro:dem
7,MOT,n
7,MOT,+
8,MOT,n
8,MOT,+
9,MOT,n
9,MOT,+
10,MOT,co
11,MOT,co
12,MOT,co
13,MOT,pro:per
13,MOT,adv
13,MOT,prep
13,MOT,n
13,MOT,n
14,MOT,pro:per
14,MOT,adv
14,MOT,prep
14,MOT,n
14,MOT,n
15,MOT,pro:per
15,MOT,adv
15,MOT,prep
15,MOT,n
15,MOT,n
16,EXP,pro:dem
16,EXP,cop
16,EXP,n:prop
16,EXP,det:num
16,EXP,det:num
17,EXP,pro:dem
17,EXP,cop
17,EXP,n:prop
17,EXP,det:num
17,EXP,det:num
18,EXP,pro:dem
18,EXP,cop
18,EXP,n:prop
18,EXP,det:num
18,EXP,det:num
19,EXP,adv:tem
19,EXP,n
19,EXP,cop
19,EXP,n:prop
19,EXP,adj
20,EXP,adv:tem
20,EXP,n
20,EXP,cop
20,EXP,n:prop
20,EXP,adj
21,EXP,adv:tem
21,EXP,n
21,EXP,cop
21,EXP,n:prop
21,EXP,adj
22,MOT,pro:int
22,MOT,pro:dem
22,MOT,?
23,MOT,pro:int
23,MOT,pro:dem
23,MOT,?
24,MOT,pro:int
24,MOT,pro:dem
25,MOT,n
26,MOT,n
27,MOT,n
28,MOT,v
28,MOT,n
28,MOT,prep
28,MOT,pro:per
28,MOT,?
29,MOT,v
29,MOT,n
29,MOT,prep
29,MOT,pro:per
29,MOT,?
30,MOT,v
30,MOT,n
30,MOT,prep
30,MOT,pro:per
31,MOT,co
31,MOT,n
31,MOT,?
32,MOT,co
32,MOT,n
32,MOT,?
33,MOT,co
33,MOT,n
34,MOT,co
34,MOT,pro:per
34,MOT,part
34,MOT,det:art
34,MOT,n
34,MOT,?
35,MOT,co
35,MOT,pro:per
35,MOT,part
35,MOT,det:art
35,MOT,n
35,MOT,?
36,MOT,co
36,MOT,pro:per
36,MOT,part
36,MOT,det:art
36,MOT,n
