Turn,Speaker,POS
1,CHI,n
2,CHI,n
3,CHI,n
4,MOT,co
5,MOT,co
6,MOT,co
7,MOT,co
7,MOT,adv
7,MOT,cop
7,MOT,det:art
7,MOT,n
7,MOT,prep
7,MOT,n
7,MOT,n
8,MOT,co
8,MOT,adv
8,MOT,cop
8,MOT,det:art
8,MOT,n
8,MOT,prep
8,MOT,n
8,MOT,n
9,MOT,co
9,MOT,adv
9,MOT,cop
9,MOT,det:art
9,MOT,n
9,MOT,prep
9,MOT,n
9,MOT,n
10,MOT,n
10,MOT,?
11,MOT,n
11,MOT,?
12,MOT,n
13,CHI,n
14,CHI,n
15,CHI,n
16,MOT,n
17,MOT,n
18,MOT,n
19,MOT,co
19,MOT,?
20,MOT,co
20,MOT,?
21,MOT,co
22,CHI,n
23,CHI,n
24,CHI,n
25,MOT,co
25,MOT,pro:dem
25,MOT,det:art
25,MOT,n
26,MOT,co
26,MOT,pro:dem
26,MOT,det:art
26,MOT,n
27,MOT,co
27,MOT,pro:dem
27,MOT,det:art
27,MOT,n
28,MOT,pro:per
28,MOT,v
28,MOT,det:dem
28,MOT,n
28,MOT,?
29,MOT,pro:per
29,MOT,v
29,MOT,det:dem
29,MOT,n
29,MOT,?
30,MOT,pro:per
30,MOT,v
30,MOT,det:dem
30,MOT,n
31,MOT,adv
32,MOT,adv
33,MOT,adv
34,MOT,pro:per
34,MOT,mod
34,MOT,v
34,MOT,det:art
34,MOT,n
35,MOT,pro:per
35,MOT,mod
35,MOT,v
35,MOT,det:art
35,MOT,n
36,MOT,pro:per
36,MOT,mod
36,MOT,v
36,MOT,det:art
36,MOT,n
37,MOT,co
38,MOT,co
39,MOT,co
40,MOT,pro:int
40,MOT,n
40,MOT,part
40,MOT,?
41,MOT,pro:int
41,MOT,n
41,MOT,part
41,MOT,?
42,MOT,pro:int
42,MOT,n
42,MOT,part
43,MOT,pro:int
43,MOT,pro:dem
43,MOT,?
44,MOT,pro:int
44,MOT,pro:dem
44,MOT,?
45,MOT,pro:int
45,MOT,pro:dem
46,CHI,n
47,CHI,n
48,CHI,n
49,MOT,pro:int
49,MOT,pro:per
49,MOT,v
49,MOT,?
50,MOT,pro:int
50,MOT,pro:per
50,MOT,v
50,MOT,?
51,MOT,pro:int
51,MOT,pro:per
51,MOT,v
52,MOT,v
52,MOT,v
52,MOT,pro:per
52,MOT,prep
52,MOT,det:poss
52,MOT,n
52,MOT,?
53,MOT,v
53,MOT,v
53,MOT,pro:per
53,MOT,prep
53,MOT,det:poss
53,MOT,n
53,MOT,?
54,MOT,v
54,MOT,v
54,MOT,pro:per
54,MOT,prep
54,MOT,det:poss
54,MOT,n
55,MOT,adv
55,MOT,pro:per
55,MOT,v
56,MOT,adv
56,MOT,pro:per
56,MOT,v
57,MOT,adv
57,MOT,pro:per
57,MOT,v
58,CHI,adj
59,CHI,adj
60,CHI,adj
61,MOT,adj
61,MOT,co
62,MOT,adj
62,MOT,co
63,MOT,adj
63,MOT,co
64,MOT,adj
65,MOT,adj
