Turn,Speaker,POS
1,MOT,n:prop
2,MOT,n:prop
3,MOT,n:prop
4,MOT,pro:int
4,MOT,pro:per
4,MOT,part
4,MOT,prep
4,MOT,?
5,MOT,pro:int
5,MOT,pro:per
5,MOT,part
5,MOT,prep
5,MOT,?
6,MOT,pro:int
6,MOT,pro:per
6,MOT,part
6,MOT,prep
7,MOT,mod
7,MOT,pro:per
7,MOT,v
7,MOT,pro:indef
7,MOT,pro:per
8,MOT,mod
8,MOT,pro:per
8,MOT,v
8,MOT,pro:indef
8,MOT,pro:per
9,MOT,mod
9,MOT,pro:per
9,MOT,v
9,MOT,pro:indef
9,MOT,pro:per
10,MOT,pro:per
10,MOT,mod
10,MOT,v
10,MOT,prep
10,MOT,pro:dem
11,MOT,pro:per
11,MOT,mod
11,MOT,v
11,MOT,prep
11,MOT,pro:dem
12,MOT,pro:per
12,MOT,mod
12,MOT,v
12,MOT,prep
12,MOT,pro:dem
13,MOT,pro:rel
13,MOT,det:num
13,MOT,v
13,MOT,pro:per
13,MOT,v
13,MOT,?
14,MOT,pro:rel
14,MOT,det:num
14,MOT,v
14,MOT,pro:per
14,MOT,v
14,MOT,?
15,MOT,pro:rel
15,MOT,det:num
15,MOT,v
15,MOT,pro:per
15,MOT,v
16,MOT,v
16,MOT,det:art
16,MOT,n
16,MOT,?
17,MOT,v
17,MOT,det:art
17,MOT,n
17,MOT,?
18,MOT,v
18,MOT,det:art
18,MOT,n
19,MOT,v
19,MOT,n
19,MOT,?
20,MOT,v
20,MOT,n
20,MOT,?
21,MOT,v
21,MOT,n
22,MOT,pro:sub
22,MOT,v
22,MOT,qn
22,MOT,n
22,MOT,adv:tem
23,MOT,pro:sub
23,MOT,v
23,MOT,qn
23,MOT,n
23,MOT,adv:tem
24,MOT,pro:sub
24,MOT,v
24,MOT,qn
24,MOT,n
24,MOT,adv:tem
25,MOT,v
25,MOT,v
26,MOT,v
26,MOT,v
27,MOT,v
27,MOT,v
28,MOT,pro:exist
28,MOT,det:art
28,MOT,qn
28,MOT,n
29,MOT,pro:exist
29,MOT,det:art
29,MOT,qn
29,MOT,n
30,MOT,pro:exist
30,MOT,det:art
30,MOT,qn
30,MOT,n
31,MOT,co
31,MOT,n
32,MOT,co
32,MOT,n
33,MOT,co
33,MOT,n
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,n
34,MOT,?
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,n
35,MOT,?
36,MOT,mod
36,MOT,pro:per
36,MOT,v
36,MOT,n
37,MOT,n
37,MOT,?
38,MOT,n
38,MOT,?
39,MOT,n
40,MOT,n
40,MOT,n
40,MOT,?
41,MOT,n
41,MOT,n
41,MOT,?
42,MOT,n
42,MOT,n
43,MOT,v
43,MOT,det:art
43,MOT,n
43,MOT,n
43,MOT,?
44,MOT,v
44,MOT,det:art
44,MOT,n
44,MOT,n
44,MOT,?
