Turn,Speaker,POS
1,MOT,co
1,MOT,pro:per
1,MOT,mod
1,MOT,v
1,MOT,pro:indef
2,MOT,co
2,MOT,pro:per
2,MOT,mod
2,MOT,v
2,MOT,pro:indef
3,MOT,co
3,MOT,pro:per
3,MOT,mod
3,MOT,v
3,MOT,pro:indef
4,EXP,co
4,EXP,co
4,EXP,co
5,EXP,co
5,EXP,co
5,EXP,co
6,EXP,co
6,EXP,co
6,EXP,co
7,MOT,co
8,MOT,co
9,MOT,co
10,EXP,fam
10,EXP,n
11,EXP,fam
11,EXP,n
12,EXP,fam
12,EXP,n
13,EXP,det:num
13,EXP,det:num
13,EXP,det:num
13,EXP,n:let
13,EXP,n:let
14,EXP,det:num
14,EXP,det:num
14,EXP,det:num
14,EXP,n:let
14,EXP,n:let
15,EXP,det:num
15,EXP,det:num
15,EXP,det:num
15,EXP,n:let
15,EXP,n:let
16,EXP,adv:tem
16,EXP,cop
16,EXP,det:num
16,EXP,det:num
17,EXP,adv:tem
17,EXP,cop
17,EXP,det:num
17,EXP,det:num
18,EXP,adv:tem
18,EXP,cop
18,EXP,det:num
18,EXP,det:num
19,EXP,det:num
19,EXP,det:num
19,EXP,det:num
20,EXP,det:num
20,EXP,det:num
20,EXP,det:num
21,EXP,det:num
21,EXP,det:num
21,EXP,det:num
22,EXP,co
23,EXP,co
24,EXP,co
25,EXP,pro:sub
25,EXP,v
25,EXP,pro:per
25,EXP,prep
25,EXP,det:art
25,EXP,adj
26,EXP,pro:sub
26,EXP,v
26,EXP,pro:per
26,EXP,prep
26,EXP,det:art
26,EXP,adj
27,EXP,pro:sub
27,EXP,v
27,EXP,pro:per
27,EXP,prep
27,EXP,det:art
27,EXP,adj
28,EXP,pro:int
28,EXP,adv
28,EXP,pro:per
28,EXP,v
29,EXP,pro:int
29,EXP,adv
29,EXP,pro:per
29,EXP,v
30,EXP,pro:int
30,EXP,adv
30,EXP,pro:per
30,EXP,v
31,MOT,co
31,MOT,co
31,MOT,co
31,MOT,pro:sub
31,MOT,mod
31,MOT,v
32,MOT,co
32,MOT,co
32,MOT,co
32,MOT,pro:sub
32,MOT,mod
32,MOT,v
33,MOT,co
33,MOT,co
33,MOT,co
33,MOT,pro:sub
33,MOT,mod
33,MOT,v
34,EXP,co
34,EXP,co
35,EXP,co
35,EXP,co
36,EXP,co
36,EXP,co
37,EXP,coord
37,EXP,v
37,EXP,pro:per
37,EXP,v
37,EXP,v
37,EXP,pro:dem
38,EXP,coord
38,EXP,v
38,EXP,pro:per
38,EXP,v
38,EXP,v
38,EXP,pro:dem
39,EXP,coord
39,EXP,v
39,EXP,pro:per
39,EXP,v
39,EXP,v
39,EXP,pro:dem
40,EXP,v
40,EXP,pro:int
40,EXP,?
41,EXP,v
41,EXP,pro:int
41,EXP,?
42,EXP,v
42,EXP,pro:int
43,MOT,pro:sub
43,MOT,adv
43,MOT,v
43,MOT,pro:per
43,MOT,adv
43,MOT,+
44,MOT,pro:sub
44,MOT,adv
44,MOT,v
44,MOT,pro:per
44,MOT,adv
44,MOT,+
45,MOT,pro:sub
45,MOT,adv
45,MOT,v
45,MOT,pro:per
45,MOT,adv
45,MOT,+
46,MOT,adv
46,MOT,pro:sub
46,MOT,adv
46,MOT,part
46,MOT,?
47,MOT,adv
47,MOT,pro:sub
47,MOT,adv
47,MOT,part
47,MOT,?
48,MOT,adv
48,MOT,pro:sub
48,MOT,adv
48,MOT,part
49,EXP,co
49,EXP,co
50,EXP,co
50,EXP,co
51,EXP,co
51,EXP,co
52,EXP,coord
52,EXP,pro:sub
52,EXP,v
52,EXP,n
52,EXP,prep
53,EXP,coord
53,EXP,pro:sub
53,EXP,v
53,EXP,n
53,EXP,prep
54,EXP,coord
54,EXP,pro:sub
54,EXP,v
54,EXP,n
54,EXP,prep
55,MOT,co
56,MOT,co
57,MOT,co
58,MOT,cop
58,MOT,pro:sub
58,MOT,part
58,MOT,prep
58,MOT,n
58,MOT,?
59,MOT,cop
59,MOT,pro:sub
59,MOT,part
59,MOT,prep
59,MOT,n
59,MOT,?
60,MOT,cop
60,MOT,pro:sub
60,MOT,part
60,MOT,prep
60,MOT,n
61,MOT,aux
61,MOT,pro:per
61,MOT,co
61,MOT,?
62,MOT,aux
