Turn,Speaker,POS
1,MOT,n
1,MOT,?
2,MOT,n
2,MOT,?
3,MOT,n
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,n:prop
4,MOT,inf
4,MOT,v
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,n:prop
5,MOT,inf
5,MOT,v
6,MOT,mod
6,MOT,pro:per
6,MOT,v
6,MOT,n:prop
6,MOT,inf
6,MOT,v
7,MOT,mod
7,MOT,pro:per
7,MOT,v
7,MOT,n:prop
7,MOT,inf
7,MOT,v
8,MOT,mod
8,MOT,pro:per
8,MOT,v
8,MOT,n:prop
8,MOT,inf
8,MOT,v
9,MOT,mod
9,MOT,pro:per
9,MOT,v
9,MOT,n:prop
9,MOT,inf
9,MOT,v
10,MOT,co
10,MOT,?
11,MOT,co
11,MOT,?
12,MOT,co
13,MOT,v
13,MOT,n:prop
13,MOT,inf
13,MOT,v
13,MOT,pro:per
13,MOT,det:art
13,MOT,n
14,MOT,v
14,MOT,n:prop
14,MOT,inf
14,MOT,v
14,MOT,pro:per
14,MOT,det:art
14,MOT,n
15,MOT,v
15,MOT,n:prop
15,MOT,inf
15,MOT,v
15,MOT,pro:per
15,MOT,det:art
15,MOT,n
16,MOT,adv
16,MOT,pro:sub
16,MOT,v
17,MOT,adv
17,MOT,pro:sub
17,MOT,v
18,MOT,adv
18,MOT,pro:sub
18,MOT,v
19,MOT,co
19,MOT,?
20,MOT,co
20,MOT,?
21,MOT,co
22,MOT,co
22,MOT,!
23,MOT,co
24,MOT,co
25,MOT,pro:per
25,MOT,v
25,MOT,det:art
25,MOT,n
25,MOT,n
25,MOT,?
26,MOT,pro:per
26,MOT,v
26,MOT,det:art
26,MOT,n
26,MOT,n
26,MOT,?
27,MOT,pro:per
27,MOT,v
27,MOT,det:art
27,MOT,n
27,MOT,n
28,MOT,pro:int
28,MOT,prep
28,MOT,det:art
28,MOT,n
28,MOT,?
29,MOT,pro:int
29,MOT,prep
29,MOT,det:art
29,MOT,n
29,MOT,?
30,MOT,pro:int
30,MOT,prep
30,MOT,det:art
30,MOT,n
31,MOT,cop
31,MOT,comp
31,MOT,pro:per
31,MOT,?
32,MOT,cop
32,MOT,comp
32,MOT,pro:per
32,MOT,?
33,MOT,cop
33,MOT,comp
33,MOT,pro:per
34,MOT,v
34,MOT,pro:sub
34,MOT,v
34,MOT,pro:per
34,MOT,!
35,MOT,v
35,MOT,pro:sub
35,MOT,v
35,MOT,pro:per
36,MOT,v
36,MOT,pro:sub
36,MOT,v
36,MOT,pro:per
37,MOT,n:prop
38,MOT,n:prop
39,MOT,n:prop
40,MOT,pro:int
40,MOT,prep
40,MOT,det:art
40,MOT,n
40,MOT,?
41,MOT,pro:int
41,MOT,prep
41,MOT,det:art
41,MOT,n
41,MOT,?
42,MOT,pro:int
42,MOT,prep
42,MOT,det:art
42,MOT,n
43,MOT,pro:int
43,MOT,cop
43,MOT,pro:per
43,MOT,?
44,MOT,pro:int
44,MOT,cop
44,MOT,pro:per
44,MOT,?
45,MOT,pro:int
45,MOT,cop
45,MOT,pro:per
46,MOT,cop
46,MOT,comp
46,MOT,det:poss
46,MOT,n
46,MOT,?
47,MOT,cop
47,MOT,comp
47,MOT,det:poss
47,MOT,n
47,MOT,?
48,MOT,cop
48,MOT,comp
48,MOT,det:poss
48,MOT,n
49,MOT,co
49,MOT,!
50,MOT,co
51,MOT,co
52,MOT,co
52,MOT,!
53,MOT,co
54,MOT,co
55,MOT,co
55,MOT,!
56,MOT,co
57,MOT,co
58,MOT,pro:exist
58,MOT,det:art
58,MOT,n
59,MOT,pro:exist
59,MOT,det:art
59,MOT,n
60,MOT,pro:exist
60,MOT,det:art
60,MOT,n
61,MOT,v
61,MOT,pro:int
61,MOT,cop
61,MOT,pro:per
61,MOT,?
62,MOT,v
62,MOT,pro:int
62,MOT,cop
62,MOT,pro:per
62,MOT,?
63,MOT,v
63,MOT,pro:int
63,MOT,cop
63,MOT,pro:per
64,MOT,cop
64,MOT,pro:per
64,MOT,prep
64,MOT,det:art
64,MOT,n
64,MOT,?
65,MOT,cop
65,MOT,pro:per
65,MOT,prep
65,MOT,det:art
65,MOT,n
65,MOT,?
66,MOT,cop
66,MOT,pro:per
66,MOT,prep
66,MOT,det:art
66,MOT,n
67,MOT,pro:per
67,MOT,part
67,MOT,v
67,MOT,prep
68,MOT,pro:per
68,MOT,part
68,MOT,v
68,MOT,prep
69,MOT,pro:per
69,MOT,part
69,MOT,v
69,MOT,prep
70,MOT,pro:sub
70,MOT,v
70,MOT,pro:per
70,MOT,!
71,MOT,pro:sub
71,MOT,v
71,MOT,pro:per
72,MOT,pro:sub
72,MOT,v
72,MOT,pro:per
73,MOT,pro:int
73,MOT,det:art
73,MOT,n
73,MOT,?
74,MOT,pro:int
74,MOT,det:art
74,MOT,n
74,MOT,?
75,MOT,pro:int
75,MOT,det:art
75,MOT,n
76,MOT,co
76,MOT,n
77,MOT,co
77,MOT,n
78,MOT,co
78,MOT,n
79,MOT,adj
79,MOT,n
80,MOT,adj
80,MOT,n
81,MOT,adj
81,MOT,n
82,MOT,pro:sub
82,MOT,v
82,MOT,pro:per
82,MOT,!
83,MOT,pro:sub
83,MOT,v
83,MOT,pro:per
84,MOT,pro:sub
84,MOT,v
84,MOT,pro:per
85,MOT,pro:int
85,MOT,prep
85,MOT,det:art
85,MOT,n
85,MOT,?
86,MOT,pro:int
86,MOT,prep
86,MOT,det:art
86,MOT,n
86,MOT,?
87,MOT,pro:int
87,MOT,prep
87,MOT,det:art
87,MOT,n
88,MOT,pro:exist
88,MOT,qn
88,MOT,n
89,MOT,pro:exist
89,MOT,qn
89,MOT,n
90,MOT,pro:exist
90,MOT,qn
90,MOT,n
91,MOT,pro:sub
91,MOT,v
91,MOT,pro:sub
91,MOT,v
91,MOT,pro:rel
92,MOT,pro:sub
92,MOT,v
92,MOT,pro:sub
92,MOT,v
92,MOT,pro:rel
93,MOT,pro:sub
93,MOT,v
93,MOT,pro:sub
93,MOT,v
93,MOT,pro:rel
94,MOT,co
94,MOT,!
95,MOT,co
96,MOT,co
97,MOT,n:prop
98,MOT,n:prop
99,MOT,n:prop
100,MOT,co
100,MOT,!
101,MOT,co
102,MOT,co
103,MOT,pro:per
103,MOT,part
103,MOT,v
103,MOT,prep
103,MOT,det:art
104,MOT,pro:per
104,MOT,part
104,MOT,v
104,MOT,prep
104,MOT,det:art
105,MOT,pro:per
105,MOT,part
105,MOT,v
105,MOT,prep
105,MOT,det:art
106,MOT,pro:exist
106,MOT,det:art
106,MOT,adj
107,MOT,pro:exist
107,MOT,det:art
107,MOT,adj
108,MOT,pro:exist
108,MOT,det:art
108,MOT,adj
109,MOT,pro:per
109,MOT,v
109,MOT,det:art
109,MOT,adj
109,MOT,?
110,MOT,pro:per
110,MOT,v
110,MOT,det:art
110,MOT,adj
110,MOT,?
111,MOT,pro:per
111,MOT,v
111,MOT,det:art
111,MOT,adj
112,MOT,pro:per
112,MOT,v
112,MOT,v
112,MOT,prep
112,MOT,det:art
112,MOT,n
113,MOT,pro:per
113,MOT,v
113,MOT,v
113,MOT,prep
113,MOT,det:art
113,MOT,n
114,MOT,pro:per
114,MOT,v
114,MOT,v
114,MOT,prep
114,MOT,det:art
114,MOT,n
115,MOT,on
116,MOT,on
117,MOT,on
118,MOT,on
119,MOT,on
120,MOT,on
121,MOT,pro:int
121,MOT,det:art
121,MOT,adj
121,MOT,co
121,MOT,?
122,MOT,pro:int
122,MOT,det:art
122,MOT,adj
122,MOT,co
122,MOT,?
123,MOT,pro:int
123,MOT,det:art
123,MOT,adj
123,MOT,co
124,MOT,co
124,MOT,pro:dem
124,MOT,adj
125,MOT,co
125,MOT,pro:dem
125,MOT,adj
126,MOT,co
126,MOT,pro:dem
126,MOT,adj
127,MOT,pro:int
127,MOT,det:art
127,MOT,adj
127,MOT,co
127,MOT,?
128,MOT,pro:int
128,MOT,det:art
128,MOT,adj
128,MOT,co
128,MOT,?
129,MOT,pro:int
129,MOT,det:art
129,MOT,adj
129,MOT,co
130,MOT,on
131,MOT,on
132,MOT,on
133,MOT,adj
133,MOT,adj
134,MOT,adj
134,MOT,adj
135,MOT,adj
135,MOT,adj
136,MOT,pro:exist
136,MOT,qn
136,MOT,adj
137,MOT,pro:exist
137,MOT,qn
137,MOT,adj
138,MOT,pro:exist
138,MOT,qn
138,MOT,adj
139,MOT,on
140,MOT,on
141,MOT,on
142,MOT,v
142,MOT,det:art
142,MOT,adj
142,MOT,?
143,MOT,v
143,MOT,det:art
143,MOT,adj
143,MOT,?
144,MOT,v
144,MOT,det:art
144,MOT,adj
145,MOT,co
145,MOT,?
146,MOT,co
146,MOT,?
147,MOT,co
148,MOT,det:art
148,MOT,adj
148,MOT,?
149,MOT,det:art
149,MOT,adj
149,MOT,?
150,MOT,det:art
150,MOT,adj
151,MOT,co
152,MOT,co
153,MOT,co
154,MOT,co
155,MOT,co
156,MOT,co
157,MOT,mod
157,MOT,pro:per
157,MOT,v
157,MOT,co
157,MOT,det:art
157,MOT,adj
157,MOT,?
158,MOT,mod
158,MOT,pro:per
158,MOT,v
158,MOT,co
158,MOT,det:art
158,MOT,adj
158,MOT,?
159,MOT,mod
159,MOT,pro:per
159,MOT,v
159,MOT,co
159,MOT,det:art
159,MOT,adj
160,MOT,adj
161,MOT,adj
162,MOT,adj
163,MOT,co
163,MOT,adj
163,MOT,?
164,MOT,co
164,MOT,adj
164,MOT,?
165,MOT,co
165,MOT,adj
166,MOT,on
167,MOT,on
168,MOT,on
169,MOT,adv
169,MOT,adv
170,MOT,adv
170,MOT,adv
171,MOT,adv
171,MOT,adv
172,MOT,on
173,MOT,on
174,MOT,on
175,MOT,on
176,MOT,on
177,MOT,on
178,MOT,pro:int
178,MOT,?
179,MOT,pro:int
179,MOT,?
180,MOT,pro:int
181,MOT,pro:per
181,MOT,mod
181,MOT,v
181,MOT,prep
181,MOT,det:art
181,MOT,n
182,MOT,pro:per
182,MOT,mod
182,MOT,v
182,MOT,prep
182,MOT,det:art
182,MOT,n
183,MOT,pro:per
183,MOT,mod
183,MOT,v
183,MOT,prep
183,MOT,det:art
183,MOT,n
184,MOT,pro:exist
184,MOT,det:art
184,MOT,adj
185,MOT,pro:exist
185,MOT,det:art
185,MOT,adj
186,MOT,pro:exist
186,MOT,det:art
186,MOT,adj
187,MOT,on
188,MOT,on
189,MOT,on
190,MOT,pro:per
190,MOT,v
190,MOT,adv
190,MOT,pro:indef
190,MOT,?
191,MOT,pro:per
191,MOT,v
191,MOT,adv
191,MOT,pro:indef
191,MOT,?
192,MOT,pro:per
192,MOT,v
192,MOT,adv
192,MOT,pro:indef
193,MOT,adv
194,MOT,adv
195,MOT,adv
196,MOT,adj
196,MOT,?
197,MOT,adj
197,MOT,?
198,MOT,adj
199,MOT,pro:per
199,MOT,v
199,MOT,det:art
199,MOT,n
199,MOT,?
200,MOT,pro:per
200,MOT,v
200,MOT,det:art
200,MOT,n
200,MOT,?
201,MOT,pro:per
201,MOT,v
201,MOT,det:art
201,MOT,n
202,MOT,pro:per
202,MOT,part
202,MOT,v
202,MOT,det:poss
202,MOT,adv
202,MOT,?
203,MOT,pro:per
203,MOT,part
203,MOT,v
203,MOT,det:poss
203,MOT,adv
203,MOT,?
204,MOT,pro:per
204,MOT,part
204,MOT,v
204,MOT,det:poss
204,MOT,adv
205,MOT,pro:per
205,MOT,part
205,MOT,v
205,MOT,pro:obj
205,MOT,det:art
205,MOT,n
206,MOT,pro:per
206,MOT,part
206,MOT,v
206,MOT,pro:obj
206,MOT,det:art
206,MOT,n
207,MOT,pro:per
207,MOT,part
207,MOT,v
207,MOT,pro:obj
207,MOT,det:art
207,MOT,n
208,MOT,pro:per
208,MOT,part
208,MOT,v
208,MOT,pro:obj
208,MOT,det:art
209,MOT,pro:per
209,MOT,part
209,MOT,v
