Turn,Speaker,POS
1,MOT,adj
2,MOT,adj
3,MOT,adj
4,MOT,n
5,MOT,n
6,MOT,n
7,MOT,cop
7,MOT,pro:per
7,MOT,adj
7,MOT,?
8,MOT,cop
8,MOT,pro:per
8,MOT,adj
8,MOT,?
9,MOT,cop
9,MOT,pro:per
9,MOT,adj
10,MOT,qn
10,MOT,n
10,MOT,pro:sub
10,MOT,v
10,MOT,pro:sub
10,MOT,v
10,MOT,adv
11,MOT,qn
11,MOT,n
11,MOT,pro:sub
11,MOT,v
11,MOT,pro:sub
11,MOT,v
11,MOT,adv
12,MOT,qn
12,MOT,n
12,MOT,pro:sub
12,MOT,v
12,MOT,pro:sub
12,MOT,v
12,MOT,adv
13,MOT,mod
13,MOT,pro:sub
13,MOT,v
13,MOT,pro:per
13,MOT,?
14,MOT,mod
14,MOT,pro:sub
14,MOT,v
14,MOT,pro:per
14,MOT,?
15,MOT,mod
15,MOT,pro:sub
15,MOT,v
15,MOT,pro:per
16,MOT,v
16,MOT,pro:per
17,MOT,v
17,MOT,pro:per
18,MOT,v
18,MOT,pro:per
19,MOT,pro:int
19,MOT,post
19,MOT,?
20,MOT,pro:int
20,MOT,post
20,MOT,?
21,MOT,pro:int
21,MOT,post
22,MOT,n
22,MOT,coord
22,MOT,n
23,MOT,n
23,MOT,coord
23,MOT,n
24,MOT,n
24,MOT,coord
24,MOT,n
25,MOT,mod
25,MOT,pro:per
25,MOT,v
25,MOT,v
25,MOT,pro:per
25,MOT,prep
26,MOT,mod
26,MOT,pro:per
26,MOT,v
26,MOT,v
26,MOT,pro:per
26,MOT,prep
27,MOT,mod
27,MOT,pro:per
27,MOT,v
27,MOT,v
27,MOT,pro:per
27,MOT,prep
28,MOT,co
29,MOT,co
30,MOT,co
31,MOT,pro:int
31,MOT,post
31,MOT,mod
31,MOT,pro:sub
31,MOT,v
31,MOT,?
32,MOT,pro:int
32,MOT,post
32,MOT,mod
32,MOT,pro:sub
32,MOT,v
32,MOT,?
33,MOT,pro:int
33,MOT,post
33,MOT,mod
33,MOT,pro:sub
33,MOT,v
34,MOT,n
34,MOT,?
35,MOT,n
35,MOT,?
36,MOT,n
37,MOT,n
37,MOT,?
38,MOT,n
38,MOT,?
39,MOT,n
40,MOT,pro:int
40,MOT,adv
40,MOT,part
40,MOT,?
41,MOT,pro:int
41,MOT,adv
41,MOT,part
41,MOT,?
42,MOT,pro:int
42,MOT,adv
42,MOT,part
43,MOT,co
44,MOT,co
45,MOT,co
46,MOT,pro:int
46,MOT,post
46,MOT,aux
46,MOT,adv
46,MOT,inf
46,MOT,v
46,MOT,?
47,MOT,pro:int
47,MOT,post
47,MOT,aux
47,MOT,adv
47,MOT,inf
47,MOT,v
47,MOT,?
48,MOT,pro:int
48,MOT,post
48,MOT,aux
48,MOT,adv
48,MOT,inf
48,MOT,v
49,MOT,v
49,MOT,qn
49,MOT,n
49,MOT,?
50,MOT,v
50,MOT,qn
50,MOT,n
50,MOT,?
51,MOT,v
51,MOT,qn
51,MOT,n
52,MOT,n:prop
52,MOT,co
52,MOT,n:prop
52,MOT,!
53,MOT,n:prop
53,MOT,co
53,MOT,n:prop
