Turn,Speaker,POS
1,EXP,n
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,v
4,EXP,det:num
5,EXP,v
5,EXP,det:num
6,EXP,v
6,EXP,det:num
7,MOT,n:prop
8,MOT,n:prop
9,MOT,n:prop
10,EXP,n
10,EXP,n
10,EXP,det:num
10,EXP,det:num
10,EXP,det:num
11,EXP,n
11,EXP,n
11,EXP,det:num
11,EXP,det:num
11,EXP,det:num
12,EXP,n
12,EXP,n
12,EXP,det:num
12,EXP,det:num
12,EXP,det:num
13,EXP,co
14,EXP,co
15,EXP,co
16,MOT,pro:int
16,MOT,pro:per
16,MOT,v
16,MOT,n
16,MOT,?
17,MOT,pro:int
17,MOT,pro:per
17,MOT,v
17,MOT,n
17,MOT,?
18,MOT,pro:int
18,MOT,pro:per
18,MOT,v
18,MOT,n
19,MOT,cop
19,MOT,pro:dem
19,MOT,v
19,MOT,?
20,MOT,cop
20,MOT,pro:dem
20,MOT,v
20,MOT,?
21,MOT,cop
21,MOT,pro:dem
21,MOT,v
22,MOT,mod
22,MOT,v
22,MOT,pro:per
22,MOT,adj
22,MOT,!
23,MOT,mod
23,MOT,v
23,MOT,pro:per
23,MOT,adj
24,MOT,mod
24,MOT,v
24,MOT,pro:per
24,MOT,adj
25,MOT,aux
25,MOT,pro:per
25,MOT,det:art
25,MOT,n
25,MOT,?
26,MOT,aux
26,MOT,pro:per
26,MOT,det:art
26,MOT,n
26,MOT,?
27,MOT,aux
27,MOT,pro:per
27,MOT,det:art
27,MOT,n
28,MOT,n:prop
29,MOT,n:prop
30,MOT,n:prop
31,MOT,n:prop
32,MOT,n:prop
33,MOT,n:prop
34,MOT,v
34,MOT,pro:per
34,MOT,prep
34,MOT,det:poss
34,MOT,n
34,MOT,adj
34,MOT,n
35,MOT,v
35,MOT,pro:per
35,MOT,prep
35,MOT,det:poss
35,MOT,n
35,MOT,adj
35,MOT,n
36,MOT,v
36,MOT,pro:per
36,MOT,prep
36,MOT,det:poss
36,MOT,n
36,MOT,adj
36,MOT,n
37,MOT,pro:per
37,MOT,part
37,MOT,v
37,MOT,pro:per
37,MOT,prep
38,MOT,pro:per
38,MOT,part
38,MOT,v
38,MOT,pro:per
38,MOT,prep
39,MOT,pro:per
39,MOT,part
39,MOT,v
39,MOT,pro:per
39,MOT,prep
40,MOT,aux
40,MOT,pro:per
40,MOT,det:art
40,MOT,n
40,MOT,?
41,MOT,aux
41,MOT,pro:per
41,MOT,det:art
41,MOT,n
41,MOT,?
42,MOT,aux
42,MOT,pro:per
42,MOT,det:art
42,MOT,n
43,MOT,v
44,MOT,v
45,MOT,v
46,MOT,pro:int
46,MOT,cop
46,MOT,pro:per
46,MOT,?
47,MOT,pro:int
47,MOT,cop
47,MOT,pro:per
47,MOT,?
48,MOT,pro:int
48,MOT,cop
48,MOT,pro:per
49,MOT,aux
49,MOT,pro:per
49,MOT,det:art
49,MOT,n
49,MOT,?
50,MOT,aux
50,MOT,pro:per
50,MOT,det:art
50,MOT,n
50,MOT,?
51,MOT,aux
51,MOT,pro:per
51,MOT,det:art
51,MOT,n
52,MOT,v
52,MOT,v
53,MOT,v
53,MOT,v
54,MOT,v
54,MOT,v
55,MOT,pro:per
55,MOT,v
55,MOT,v
55,MOT,adv
55,MOT,?
56,MOT,pro:per
56,MOT,v
56,MOT,v
56,MOT,adv
56,MOT,?
57,MOT,pro:per
57,MOT,v
57,MOT,v
57,MOT,adv
58,MOT,pro:int
58,MOT,mod
58,MOT,pro:per
58,MOT,co
58,MOT,prep
58,MOT,det:dem
59,MOT,pro:int
59,MOT,mod
59,MOT,pro:per
59,MOT,co
59,MOT,prep
59,MOT,det:dem
60,MOT,pro:int
60,MOT,mod
60,MOT,pro:per
60,MOT,co
60,MOT,prep
60,MOT,det:dem
