Turn,Speaker,POS
1,MOT,mod
1,MOT,pro:per
1,MOT,co
1,MOT,qn
1,MOT,n
1,MOT,pro:per
1,MOT,v
1,MOT,?
2,MOT,mod
2,MOT,pro:per
2,MOT,co
2,MOT,qn
2,MOT,n
2,MOT,pro:per
2,MOT,v
2,MOT,?
3,MOT,mod
3,MOT,pro:per
3,MOT,co
3,MOT,qn
3,MOT,n
3,MOT,pro:per
3,MOT,v
4,MOT,pro:rel
4,MOT,v
4,MOT,conj
4,MOT,det:art
4,MOT,n
5,MOT,pro:rel
5,MOT,v
5,MOT,conj
5,MOT,det:art
5,MOT,n
6,MOT,pro:rel
6,MOT,v
6,MOT,conj
6,MOT,det:art
6,MOT,n
7,MOT,co
8,MOT,co
9,MOT,co
10,MOT,pro:sub
10,MOT,adv
10,MOT,det:poss
10,MOT,n
11,MOT,pro:sub
11,MOT,adv
11,MOT,det:poss
11,MOT,n
12,MOT,pro:sub
12,MOT,adv
12,MOT,det:poss
12,MOT,n
13,MOT,adj
13,MOT,coord
13,MOT,adv
14,MOT,adj
14,MOT,coord
14,MOT,adv
15,MOT,adj
15,MOT,coord
15,MOT,adv
16,MOT,n
16,MOT,prep
16,MOT,adj
16,MOT,n
16,MOT,co
16,MOT,?
17,MOT,n
17,MOT,prep
17,MOT,adj
17,MOT,n
17,MOT,co
17,MOT,?
18,MOT,n
18,MOT,prep
18,MOT,adj
18,MOT,n
18,MOT,co
19,MOT,pro:sub
19,MOT,mod
19,MOT,v
19,MOT,qn
19,MOT,n
20,MOT,pro:sub
20,MOT,mod
20,MOT,v
20,MOT,qn
20,MOT,n
21,MOT,pro:sub
21,MOT,mod
21,MOT,v
21,MOT,qn
21,MOT,n
22,MOT,v
22,MOT,pro:per
23,MOT,v
23,MOT,pro:per
24,MOT,v
24,MOT,pro:per
25,MOT,pro:per
25,MOT,v
25,MOT,pro:obj
25,MOT,inf
25,MOT,v
25,MOT,pro:per
25,MOT,prep
26,MOT,pro:per
26,MOT,v
26,MOT,pro:obj
26,MOT,inf
26,MOT,v
26,MOT,pro:per
26,MOT,prep
27,MOT,pro:per
27,MOT,v
27,MOT,pro:obj
27,MOT,inf
27,MOT,v
27,MOT,pro:per
27,MOT,prep
28,MOT,pro:int
28,MOT,prep
28,MOT,det:art
28,MOT,n
28,MOT,?
29,MOT,pro:int
29,MOT,prep
29,MOT,det:art
29,MOT,n
29,MOT,?
30,MOT,pro:int
30,MOT,prep
30,MOT,det:art
30,MOT,n
31,MOT,cop
31,MOT,comp
31,MOT,pro:per
31,MOT,?
32,MOT,cop
32,MOT,comp
32,MOT,pro:per
32,MOT,?
33,MOT,cop
33,MOT,comp
33,MOT,pro:per
34,MOT,v
34,MOT,det:art
34,MOT,n
34,MOT,!
35,MOT,v
35,MOT,det:art
35,MOT,n
36,MOT,v
36,MOT,det:art
36,MOT,n
37,MOT,pro:int
37,MOT,prep
37,MOT,det:art
37,MOT,n
37,MOT,?
38,MOT,pro:int
38,MOT,prep
38,MOT,det:art
38,MOT,n
38,MOT,?
39,MOT,pro:int
39,MOT,prep
39,MOT,det:art
39,MOT,n
40,MOT,pro:int
40,MOT,cop
40,MOT,pro:per
40,MOT,?
41,MOT,pro:int
41,MOT,cop
41,MOT,pro:per
41,MOT,?
42,MOT,pro:int
42,MOT,cop
