Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,pro:dem
4,EXP,det:num
4,EXP,det:num
4,EXP,det:num
5,EXP,pro:dem
5,EXP,det:num
5,EXP,det:num
5,EXP,det:num
6,EXP,pro:dem
6,EXP,det:num
6,EXP,det:num
6,EXP,det:num
7,EXP,n:let
7,EXP,n:let
8,EXP,n:let
8,EXP,n:let
9,EXP,n:let
9,EXP,n:let
10,EXP,coord
10,EXP,pro:dem
10,EXP,cop
10,EXP,v
10,EXP,det:num
10,EXP,adj
11,EXP,coord
11,EXP,pro:dem
11,EXP,cop
11,EXP,v
11,EXP,det:num
11,EXP,adj
12,EXP,coord
12,EXP,pro:dem
12,EXP,cop
12,EXP,v
12,EXP,det:num
12,EXP,adj
13,EXP,coord
13,EXP,pro:sub
13,EXP,mod
13,EXP,adv
13,EXP,v
13,EXP,pro:per
13,EXP,prep
14,EXP,coord
14,EXP,pro:sub
14,EXP,mod
14,EXP,adv
14,EXP,v
14,EXP,pro:per
14,EXP,prep
15,EXP,coord
15,EXP,pro:sub
15,EXP,mod
15,EXP,adv
15,EXP,v
15,EXP,pro:per
15,EXP,prep
16,MOT,cop
16,MOT,comp
16,MOT,co
16,MOT,?
17,MOT,cop
17,MOT,comp
17,MOT,co
17,MOT,?
18,MOT,cop
18,MOT,comp
18,MOT,co
19,EXP,adv
19,EXP,cop
19,EXP,v
19,EXP,adv
19,EXP,pro:rel
20,EXP,adv
20,EXP,cop
20,EXP,v
20,EXP,adv
20,EXP,pro:rel
21,EXP,adv
21,EXP,cop
21,EXP,v
21,EXP,adv
21,EXP,pro:rel
22,MOT,cop
22,MOT,comp
22,MOT,co
22,MOT,?
23,MOT,cop
23,MOT,comp
23,MOT,co
23,MOT,?
24,MOT,cop
24,MOT,comp
24,MOT,co
25,EXP,co
25,EXP,pro:dem
25,EXP,adj
26,EXP,co
26,EXP,pro:dem
26,EXP,adj
27,EXP,co
27,EXP,pro:dem
27,EXP,adj
28,MOT,co
29,MOT,co
30,MOT,co
31,EXP,adj
32,EXP,adj
33,EXP,adj
34,EXP,adj
34,EXP,v
34,EXP,det:art
34,EXP,n
34,EXP,pro:per
34,EXP,mod
34,EXP,prep
35,EXP,adj
35,EXP,v
35,EXP,det:art
35,EXP,n
35,EXP,pro:per
35,EXP,mod
35,EXP,prep
36,EXP,adj
36,EXP,v
36,EXP,det:art
36,EXP,n
36,EXP,pro:per
36,EXP,mod
36,EXP,prep
37,EXP,co
37,EXP,conj
37,EXP,pro:per
37,EXP,aux
37,EXP,part
37,EXP,prep
38,EXP,co
38,EXP,conj
38,EXP,pro:per
38,EXP,aux
38,EXP,part
38,EXP,prep
39,EXP,co
39,EXP,conj
39,EXP,pro:per
39,EXP,aux
39,EXP,part
39,EXP,prep
40,EXP,pro:per
40,EXP,mod
40,EXP,v
40,EXP,det:art
40,EXP,micro#n
41,EXP,pro:per
41,EXP,mod
41,EXP,v
41,EXP,det:art
41,EXP,micro#n
42,EXP,pro:per
42,EXP,mod
42,EXP,v
42,EXP,det:art
42,EXP,micro#n
43,MOT,co
44,MOT,co
45,MOT,co
46,MOT,n:prop
47,MOT,n:prop
48,MOT,n:prop
49,EXP,co
49,EXP,co
49,EXP,co
49,EXP,pro:per
49,EXP,v
49,EXP,det:poss
49,EXP,n
50,EXP,co
50,EXP,co
50,EXP,co
50,EXP,pro:per
50,EXP,v
50,EXP,det:poss
50,EXP,n
51,EXP,co
51,EXP,co
51,EXP,co
51,EXP,pro:per
51,EXP,v
51,EXP,det:poss
51,EXP,n
52,MOT,pro:int
52,MOT,mod
52,MOT,pro:per
52,MOT,v
52,MOT,v
52,MOT,?
53,MOT,pro:int
53,MOT,mod
53,MOT,pro:per
53,MOT,v
53,MOT,v
53,MOT,?
54,MOT,pro:int
54,MOT,mod
