Turn,Speaker,POS
1,MOT,co
1,MOT,co
2,MOT,co
2,MOT,co
3,MOT,co
3,MOT,co
4,MOT,n:prop
5,MOT,n:prop
6,MOT,n:prop
7,MOT,v
7,MOT,adv
7,MOT,n:prop
8,MOT,v
8,MOT,adv
8,MOT,n:prop
9,MOT,v
9,MOT,adv
9,MOT,n:prop
10,MOT,co
11,MOT,co
12,MOT,co
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,v
16,MOT,adv
17,MOT,v
17,MOT,adv
18,MOT,v
18,MOT,adv
19,MOT,pro:int
19,MOT,aux
19,MOT,pro:per
19,MOT,part
19,MOT,?
20,MOT,pro:int
20,MOT,aux
20,MOT,pro:per
20,MOT,part
20,MOT,?
21,MOT,pro:int
21,MOT,aux
21,MOT,pro:per
21,MOT,part
22,MOT,pro:int
22,MOT,aux
22,MOT,pro:per
22,MOT,part
22,MOT,?
23,MOT,pro:int
23,MOT,aux
23,MOT,pro:per
23,MOT,part
23,MOT,?
24,MOT,pro:int
24,MOT,aux
24,MOT,pro:per
24,MOT,part
25,MOT,v
25,MOT,adv
25,MOT,pro:per
26,MOT,v
26,MOT,adv
26,MOT,pro:per
27,MOT,v
27,MOT,adv
27,MOT,pro:per
28,MOT,co
28,MOT,pro:sub
28,MOT,v
29,MOT,co
29,MOT,pro:sub
29,MOT,v
30,MOT,co
30,MOT,pro:sub
30,MOT,v
31,MOT,pro:sub
31,MOT,v
32,MOT,pro:sub
32,MOT,v
33,MOT,pro:sub
33,MOT,v
34,MOT,pro:sub
34,MOT,adj
35,MOT,pro:sub
35,MOT,adj
36,MOT,pro:sub
36,MOT,adj
37,MOT,co
38,MOT,co
39,MOT,co
40,MOT,pro:exist
40,MOT,adj
40,MOT,n
41,MOT,pro:exist
41,MOT,adj
41,MOT,n
42,MOT,pro:exist
42,MOT,adj
42,MOT,n
43,MOT,pro:sub
43,MOT,v
43,MOT,adj
43,MOT,n
44,MOT,pro:sub
44,MOT,v
44,MOT,adj
44,MOT,n
45,MOT,pro:sub
45,MOT,v
45,MOT,adj
45,MOT,n
46,MOT,mod
46,MOT,pro:per
46,MOT,v
46,MOT,qn
46,MOT,?
47,MOT,mod
47,MOT,pro:per
47,MOT,v
47,MOT,qn
47,MOT,?
48,MOT,mod
48,MOT,pro:per
48,MOT,v
48,MOT,qn
49,MOT,mod
49,MOT,pro:per
49,MOT,v
49,MOT,det:art
49,MOT,n
49,MOT,n
49,MOT,?
50,MOT,mod
50,MOT,pro:per
50,MOT,v
50,MOT,det:art
50,MOT,n
50,MOT,n
50,MOT,?
51,MOT,mod
51,MOT,pro:per
51,MOT,v
51,MOT,det:art
51,MOT,n
51,MOT,n
52,MOT,co
53,MOT,co
54,MOT,co
55,MOT,co
55,MOT,pro:sub
55,MOT,part
55,MOT,cop
56,MOT,co
56,MOT,pro:sub
56,MOT,part
56,MOT,cop
57,MOT,co
57,MOT,pro:sub
57,MOT,part
57,MOT,cop
58,MOT,co
58,MOT,adj
58,MOT,n
59,MOT,co
59,MOT,adj
59,MOT,n
60,MOT,co
60,MOT,adj
60,MOT,n
61,MOT,co
61,MOT,co
61,MOT,pro:sub
61,MOT,v
61,MOT,adj
61,MOT,adj
61,MOT,n
62,MOT,co
62,MOT,co
62,MOT,pro:sub
62,MOT,v
62,MOT,adj
62,MOT,adj
62,MOT,n
63,MOT,co
63,MOT,co
63,MOT,pro:sub
63,MOT,v
63,MOT,adj
63,MOT,adj
63,MOT,n
64,MOT,v
65,MOT,v
66,MOT,v
67,MOT,pro:per
67,MOT,v
68,MOT,pro:per
68,MOT,v
69,MOT,pro:per
69,MOT,v
70,MOT,pro:int
70,MOT,post
70,MOT,mod
70,MOT,pro:dem
70,MOT,v
70,MOT,?
71,MOT,pro:int
71,MOT,post
71,MOT,mod
71,MOT,pro:dem
71,MOT,v
71,MOT,?
72,MOT,pro:int
72,MOT,post
72,MOT,mod
72,MOT,pro:dem
72,MOT,v
73,MOT,coord
73,MOT,n
73,MOT,cop
73,MOT,adj
74,MOT,coord
74,MOT,n
74,MOT,cop
74,MOT,adj
75,MOT,coord
75,MOT,n
75,MOT,cop
75,MOT,adj
76,MOT,pro:sub
76,MOT,v
76,MOT,n
77,MOT,pro:sub
77,MOT,v
77,MOT,n
78,MOT,pro:sub
78,MOT,v
78,MOT,n
79,MOT,coord
79,MOT,n
79,MOT,prep
79,MOT,n
80,MOT,coord
80,MOT,n
80,MOT,prep
80,MOT,n
81,MOT,coord
81,MOT,n
81,MOT,prep
81,MOT,n
82,MOT,pro:sub
82,MOT,adv
82,MOT,v
82,MOT,adv
82,MOT,adj
82,MOT,neg
83,MOT,pro:sub
83,MOT,adv
83,MOT,v
83,MOT,adv
83,MOT,adj
83,MOT,neg
84,MOT,pro:sub
84,MOT,adv
84,MOT,v
84,MOT,adv
84,MOT,adj
84,MOT,neg
85,MOT,co
86,MOT,co
87,MOT,co
88,MOT,co
89,MOT,co
90,MOT,co
91,MOT,co
92,MOT,co
93,MOT,co
94,MOT,pro:sub
94,MOT,v
94,MOT,pro:per
94,MOT,adj
94,MOT,co
94,MOT,?
95,MOT,pro:sub
95,MOT,v
95,MOT,pro:per
95,MOT,adj
95,MOT,co
95,MOT,?
96,MOT,pro:sub
96,MOT,v
96,MOT,pro:per
96,MOT,adj
96,MOT,co
97,MOT,co
98,MOT,co
99,MOT,co
100,MOT,v
101,MOT,v
102,MOT,v
103,MOT,v
103,MOT,v
103,MOT,pro:dem
103,MOT,adv
103,MOT,?
104,MOT,v
104,MOT,v
104,MOT,pro:dem
104,MOT,adv
104,MOT,?
105,MOT,v
105,MOT,v
105,MOT,pro:dem
105,MOT,adv
106,MOT,v
106,MOT,pro:int
106,MOT,adv
106,MOT,?
107,MOT,v
107,MOT,pro:int
107,MOT,adv
107,MOT,?
108,MOT,v
108,MOT,pro:int
108,MOT,adv
109,MOT,co
109,MOT,n
109,MOT,det:dem
109,MOT,cop
109,MOT,part
110,MOT,co
110,MOT,n
110,MOT,det:dem
110,MOT,cop
110,MOT,part
111,MOT,co
111,MOT,n
111,MOT,det:dem
111,MOT,cop
111,MOT,part
112,MOT,conj
112,MOT,pro:sub
112,MOT,mod
112,MOT,v
113,MOT,conj
113,MOT,pro:sub
113,MOT,mod
113,MOT,v
114,MOT,conj
114,MOT,pro:sub
114,MOT,mod
114,MOT,v
115,MOT,adj
115,MOT,n
116,MOT,adj
116,MOT,n
117,MOT,adj
117,MOT,n
118,MOT,pro:per
118,MOT,det:art
118,MOT,co
118,MOT,+
119,MOT,pro:per
119,MOT,det:art
119,MOT,co
119,MOT,+
120,MOT,pro:per
120,MOT,det:art
120,MOT,co
120,MOT,+
121,MOT,co
121,MOT,det:poss
121,MOT,co
122,MOT,co
122,MOT,det:poss
122,MOT,co
123,MOT,co
123,MOT,det:poss
123,MOT,co
124,MOT,co
125,MOT,co
126,MOT,co
127,MOT,pro:per
127,MOT,part
127,MOT,v
127,MOT,prep
127,MOT,det:art
128,MOT,pro:per
128,MOT,part
128,MOT,v
128,MOT,prep
128,MOT,det:art
129,MOT,pro:per
129,MOT,part
129,MOT,v
129,MOT,prep
129,MOT,det:art
130,MOT,pro:int
130,MOT,prep
130,MOT,n
130,MOT,?
131,MOT,pro:int
131,MOT,prep
131,MOT,n
131,MOT,?
132,MOT,pro:int
132,MOT,prep
132,MOT,n
133,MOT,coord
133,MOT,det:art
133,MOT,n
134,MOT,coord
134,MOT,det:art
134,MOT,n
135,MOT,coord
135,MOT,det:art
135,MOT,n
136,MOT,n
136,MOT,prep
136,MOT,det:art
136,MOT,n
137,MOT,n
137,MOT,prep
137,MOT,det:art
137,MOT,n
138,MOT,n
138,MOT,prep
138,MOT,det:art
138,MOT,n
139,MOT,pro:dem
139,MOT,det:art
139,MOT,+/
140,MOT,pro:dem
140,MOT,det:art
140,MOT,+/
141,MOT,pro:dem
141,MOT,det:art
141,MOT,+/
142,MOT,v
142,MOT,adj
142,MOT,n
143,MOT,v
143,MOT,adj
143,MOT,n
144,MOT,v
144,MOT,adj
144,MOT,n
145,MOT,pro:per
145,MOT,part
145,MOT,cop
145,MOT,det:art
146,MOT,pro:per
146,MOT,part
146,MOT,cop
146,MOT,det:art
147,MOT,pro:per
147,MOT,part
147,MOT,cop
147,MOT,det:art
148,MOT,co
149,MOT,co
150,MOT,co
151,MOT,pro:dem
151,MOT,det:art
151,MOT,adv
151,MOT,adj
151,MOT,n
152,MOT,pro:dem
152,MOT,det:art
152,MOT,adv
152,MOT,adj
152,MOT,n
153,MOT,pro:dem
153,MOT,det:art
153,MOT,adv
153,MOT,adj
153,MOT,n
154,MOT,pro:dem
154,MOT,det:art
154,MOT,adj
154,MOT,n
155,MOT,pro:dem
155,MOT,det:art
155,MOT,adj
155,MOT,n
156,MOT,pro:dem
156,MOT,det:art
156,MOT,adj
156,MOT,n
157,MOT,co
157,MOT,adv
157,MOT,neg
158,MOT,co
158,MOT,adv
158,MOT,neg
159,MOT,co
159,MOT,adv
159,MOT,neg
160,MOT,mod
160,MOT,pro:per
160,MOT,v
160,MOT,det:art
160,MOT,n
160,MOT,n
160,MOT,?
161,MOT,mod
161,MOT,pro:per
161,MOT,v
161,MOT,det:art
161,MOT,n
161,MOT,n
161,MOT,?
162,MOT,mod
162,MOT,pro:per
162,MOT,v
162,MOT,det:art
162,MOT,n
162,MOT,n
163,MOT,co
164,MOT,co
165,MOT,co
166,MOT,adj
166,MOT,n
166,MOT,v
167,MOT,adj
167,MOT,n
