Turn,Speaker,POS
1,MOT,co
1,MOT,!
2,MOT,co
3,MOT,co
4,MOT,pro:per
4,MOT,n
4,MOT,adv
4,MOT,co
4,MOT,?
5,MOT,pro:per
5,MOT,n
5,MOT,adv
5,MOT,co
5,MOT,?
6,MOT,pro:per
6,MOT,n
6,MOT,adv
6,MOT,co
7,MOT,pro:per
7,MOT,adj
7,MOT,pro:int
7,MOT,pro:per
8,MOT,pro:per
8,MOT,adj
8,MOT,pro:int
8,MOT,pro:per
9,MOT,pro:per
9,MOT,adj
9,MOT,pro:int
9,MOT,pro:per
10,MOT,pro:per
10,MOT,adj
10,MOT,prep
10,MOT,det:art
10,MOT,adj
10,MOT,n
11,MOT,pro:per
11,MOT,adj
11,MOT,prep
11,MOT,det:art
11,MOT,adj
11,MOT,n
12,MOT,pro:per
12,MOT,adj
12,MOT,prep
12,MOT,det:art
12,MOT,adj
12,MOT,n
13,MOT,mod
13,MOT,pro:per
13,MOT,v
13,MOT,det:art
13,MOT,n
13,MOT,?
14,MOT,mod
14,MOT,pro:per
14,MOT,v
14,MOT,det:art
14,MOT,n
14,MOT,?
15,MOT,mod
15,MOT,pro:per
15,MOT,v
15,MOT,det:art
15,MOT,n
16,MOT,pro:dem
16,MOT,adv
16,MOT,adj
17,MOT,pro:dem
17,MOT,adv
17,MOT,adj
18,MOT,pro:dem
18,MOT,adv
18,MOT,adj
19,MOT,pro:int
19,MOT,aux
19,MOT,pro:per
19,MOT,part
19,MOT,v
20,MOT,pro:int
20,MOT,aux
20,MOT,pro:per
20,MOT,part
20,MOT,v
21,MOT,pro:int
21,MOT,aux
21,MOT,pro:per
21,MOT,part
21,MOT,v
22,MOT,qn
22,MOT,n
22,MOT,co
22,MOT,pro:per
22,MOT,coord
22,MOT,det:art
23,MOT,qn
23,MOT,n
23,MOT,co
23,MOT,pro:per
23,MOT,coord
23,MOT,det:art
24,MOT,qn
24,MOT,n
24,MOT,co
24,MOT,pro:per
24,MOT,coord
24,MOT,det:art
25,MOT,co
25,MOT,!
26,MOT,co
27,MOT,co
28,MOT,co
29,MOT,co
30,MOT,co
31,MOT,n
31,MOT,co
