Turn,Speaker,POS
1,MOT,v
1,MOT,qn
1,MOT,n
1,MOT,prep
1,MOT,det:art
1,MOT,n
1,MOT,prep
2,MOT,v
2,MOT,qn
2,MOT,n
2,MOT,prep
2,MOT,det:art
2,MOT,n
2,MOT,prep
3,MOT,v
3,MOT,qn
3,MOT,n
3,MOT,prep
3,MOT,det:art
3,MOT,n
3,MOT,prep
4,MOT,pro:int
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,?
5,MOT,pro:int
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,?
6,MOT,pro:int
6,MOT,mod
6,MOT,pro:per
6,MOT,v
7,MOT,pro:exist
7,MOT,qn
7,MOT,n
7,MOT,prep
7,MOT,n
8,MOT,pro:exist
8,MOT,qn
8,MOT,n
8,MOT,prep
8,MOT,n
9,MOT,pro:exist
9,MOT,qn
9,MOT,n
9,MOT,prep
9,MOT,n
10,MOT,pro:per
10,MOT,part
10,MOT,prep
10,MOT,pro:obj
11,MOT,pro:per
11,MOT,part
11,MOT,prep
11,MOT,pro:obj
12,MOT,pro:per
12,MOT,part
12,MOT,prep
12,MOT,pro:obj
13,MOT,pro:sub
13,MOT,cop
13,MOT,adv
13,MOT,adj
13,MOT,prep
14,MOT,pro:sub
14,MOT,cop
14,MOT,adv
14,MOT,adj
14,MOT,prep
15,MOT,pro:sub
15,MOT,cop
15,MOT,adv
15,MOT,adj
15,MOT,prep
16,MOT,pro:sub
16,MOT,v
16,MOT,pro:per
17,MOT,pro:sub
17,MOT,v
17,MOT,pro:per
18,MOT,pro:sub
18,MOT,v
18,MOT,pro:per
19,MOT,v
19,MOT,n
19,MOT,?
20,MOT,v
20,MOT,n
20,MOT,?
21,MOT,v
21,MOT,n
22,MOT,mod
22,MOT,pro:per
22,MOT,v
22,MOT,det:art
22,MOT,n
22,MOT,?
23,MOT,mod
23,MOT,pro:per
23,MOT,v
23,MOT,det:art
23,MOT,n
23,MOT,?
24,MOT,mod
24,MOT,pro:per
24,MOT,v
24,MOT,det:art
24,MOT,n
25,MOT,co
25,MOT,pro:int
25,MOT,adv
25,MOT,pro:sub
25,MOT,v
25,MOT,adj
26,MOT,co
26,MOT,pro:int
26,MOT,adv
26,MOT,pro:sub
26,MOT,v
26,MOT,adj
27,MOT,co
27,MOT,pro:int
27,MOT,adv
27,MOT,pro:sub
27,MOT,v
27,MOT,adj
28,MOT,det:art
28,MOT,n
28,MOT,?
29,MOT,det:art
29,MOT,n
29,MOT,?
30,MOT,det:art
30,MOT,n
31,MOT,det:art
31,MOT,n
31,MOT,part
31,MOT,n
31,MOT,n
32,MOT,det:art
32,MOT,n
32,MOT,part
32,MOT,n
32,MOT,n
33,MOT,det:art
33,MOT,n
33,MOT,part
33,MOT,n
33,MOT,n
34,MOT,0pro:int
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,?
35,MOT,0pro:int
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,?
36,MOT,0pro:int
36,MOT,mod
36,MOT,pro:per
36,MOT,v
37,MOT,mod
37,MOT,pro:per
37,MOT,v
37,MOT,adj
37,MOT,adj
37,MOT,?
38,MOT,mod
38,MOT,pro:per
38,MOT,v
38,MOT,adj
38,MOT,adj
38,MOT,?
39,MOT,mod
39,MOT,pro:per
39,MOT,v
39,MOT,adj
39,MOT,adj
40,MOT,adj
40,MOT,n
40,MOT,!
41,MOT,adj
41,MOT,n
42,MOT,adj
42,MOT,n
43,MOT,n
44,MOT,n
45,MOT,n
46,MOT,pro:dem
46,MOT,cop
46,MOT,det:art
46,MOT,n
47,MOT,pro:dem
47,MOT,cop
47,MOT,det:art
47,MOT,n
48,MOT,pro:dem
48,MOT,cop
48,MOT,det:art
48,MOT,n
49,MOT,adj
49,MOT,prep
49,MOT,det:dem
49,MOT,n
50,MOT,adj
50,MOT,prep
50,MOT,det:dem
50,MOT,n
51,MOT,adj
51,MOT,prep
51,MOT,det:dem
51,MOT,n
52,MOT,coord
52,MOT,qn
52,MOT,n
52,MOT,prep
52,MOT,det:dem
52,MOT,n
53,MOT,coord
53,MOT,qn
53,MOT,n
53,MOT,prep
53,MOT,det:dem
53,MOT,n
54,MOT,coord
54,MOT,qn
54,MOT,n
54,MOT,prep
54,MOT,det:dem
54,MOT,n
55,MOT,adv
55,MOT,n
55,MOT,v
55,MOT,n
56,MOT,adv
56,MOT,n
56,MOT,v
56,MOT,n
57,MOT,adv
57,MOT,n
57,MOT,v
57,MOT,n
58,MOT,pro:dem
58,MOT,pro:indef
58,MOT,aux
58,MOT,n
58,MOT,adv
59,MOT,pro:dem
59,MOT,pro:indef
59,MOT,aux
59,MOT,n
59,MOT,adv
60,MOT,pro:dem
60,MOT,pro:indef
60,MOT,aux
60,MOT,n
60,MOT,adv
61,MOT,comp
61,MOT,n
61,MOT,adj
61,MOT,prep
61,MOT,pro:per
62,MOT,comp
62,MOT,n
62,MOT,adj
62,MOT,prep
62,MOT,pro:per
63,MOT,comp
63,MOT,n
63,MOT,adj
63,MOT,prep
63,MOT,pro:per
64,EXP,co
64,EXP,conj
64,EXP,pro:per
64,EXP,mod
64,EXP,n
64,EXP,mod
65,EXP,co
65,EXP,conj
65,EXP,pro:per
65,EXP,mod
